endpoint_filter,cohort,cohort_cases,included_cases,missing_or_unaligned_cases,cases_with_any_material_mixing,mixed_group_lambda_sum,mixed_group_lambda_mean,mixed_group_lambda_min,mixed_group_lambda_max,total_saved_positive_lambda_sum,total_saved_positive_lambda_mean,total_saved_positive_lambda_min,total_saved_positive_lambda_max,mixed_lambda_fraction_sum,mixed_lambda_fraction_mean,mixed_lambda_fraction_min,mixed_lambda_fraction_max,saved_positive_route_count_sum,saved_positive_route_count_mean,saved_positive_route_count_min,saved_positive_route_count_max,mixed_positive_route_count_sum,mixed_positive_route_count_mean,mixed_positive_route_count_min,mixed_positive_route_count_max,pooled_mixed_lambda_fraction
all_table_endpoints,k_minus_1,9,9,0,9,45.3678106650591,5.040867851673234,4.291542123400478,5.900152025833089,261.0000000000547,29.000000000006075,26.00000000000489,31.000000000007784,1.5638402788445467,0.1737600309827274,0.1545087960011159,0.19138829488185669,4852.0,539.1111111111111,501,592,740.0,82.22222222222223,64,99,0.17382302936800612
all_table_endpoints,k,93,93,0,93,237.57187629200456,2.554536304215103,0.8667844686296708,4.496969696972872,2178.0000010505346,23.419354850005746,15.999999999999963,32.0000000000095,10.670025672584165,0.11473145884499103,0.027960789310630577,0.21735266829191546,37069.0,398.59139784946234,220,652,3652.0,39.26881720430107,10,68,0.10907799640836288
final_pool_resolve_only,k_minus_1,9,8,0,8,40.07761515922489,5.009701894903111,4.291542123400478,5.900152025833089,233.00000000004843,29.125000000006054,26.00000000000489,31.000000000007784,1.3749047250647952,0.1718630906330994,0.1545087960011159,0.19138829488185669,4336.0,542,501,592,654.0,81.75,64,99,0.172006932013805
final_pool_resolve_only,k,93,82,0,82,206.97860171618564,2.524129289221776,0.8822900169442639,4.089311946711713,1867.000001050487,22.768292695737646,15.999999999999963,32.0000000000095,9.549751669196038,0.11646038620970778,0.029409667231472213,0.21735266829191546,31424.0,383.219512195122,220,630,3150.0,38.41463414634146,10,68,0.11086159700038938
pricing_certified_only,k_minus_1,9,1,0,1,4.635263880034187,4.635263880034187,4.635263880034187,4.635263880034187,30.000000000004597,30.000000000004597,30.000000000004597,30.000000000004597,0.1545087960011159,0.1545087960011159,0.1545087960011159,0.1545087960011159,501.0,501,501,501,64.0,64,64,64,0.1545087960011159
pricing_certified_only,k,93,49,0,49,124.4346816026564,2.539483298013396,0.9515742969306703,3.686051772666768,1005.0000010502879,20.5102041030671,15.999999999999963,29.00000000000626,6.280882916126263,0.12818128400257678,0.03806297044290222,0.21735266829191546,16030.0,327.14285714285717,220,525,1800.0,36.734693877551024,10,67,0.12381560345533768
size_matched_k27_to32,k_minus_1,9,9,0,9,45.3678106650591,5.040867851673234,4.291542123400478,5.900152025833089,261.0000000000547,29.000000000006075,26.00000000000489,31.000000000007784,1.5638402788445467,0.1737600309827274,0.1545087960011159,0.19138829488185669,4852.0,539.1111111111111,501,592,740.0,82.22222222222223,64,99,0.17382302936800612
size_matched_k27_to32,k,93,27,0,27,65.08245806370115,2.410461409766709,0.8667844686296708,4.496969696972872,792.0000000001346,29.33333333333832,27.000000000002956,32.0000000000095,2.2365205679540447,0.08283409510940908,0.027960789310630577,0.16655443322118865,14352.0,531.5555555555555,418,652,1045.0,38.7037037037037,13,67,0.08217482078748749
exact_k_27,k_minus_1,9,1,0,1,4.291542123400478,4.291542123400478,4.291542123400478,4.291542123400478,26.00000000000489,26.00000000000489,26.00000000000489,26.00000000000489,0.1650593124384489,0.1650593124384489,0.1650593124384489,0.1650593124384489,536.0,536,536,536,75.0,75,75,75,0.1650593124384489
exact_k_27,k,93,5,0,5,13.567386659707346,2.713477331941469,0.9043760743045767,4.496969696972872,135.00000000002132,27.000000000004263,27.000000000002956,27.000000000006178,0.5024958022112993,0.10049916044225984,0.03349541015942372,0.16655443322118865,2322.0,464.4,421,488,221.0,44.2,15,67,0.10049916044226076
exact_k_28,k_minus_1,9,1,0,1,4.561218469780862,4.561218469780862,4.561218469780862,4.561218469780862,27.000000000005937,27.000000000005937,27.000000000005937,27.000000000005937,0.16893401739925407,0.16893401739925407,0.16893401739925407,0.16893401739925407,509.0,509,509,509,80.0,80,80,80,0.16893401739925407
exact_k_28,k,93,5,0,5,13.223233763740302,2.6446467527480606,1.1164515034758251,4.135387513033764,140.000000000026,28.0000000000052,28.0000000000021,28.000000000012506,0.47225834870493033,0.09445166974098607,0.03987326798127553,0.1476924111797662,2422.0,484.4,418,509,203.0,40.6,13,66,0.09445166974098461
exact_k_29,k_minus_1,9,1,0,1,5.290195505834218,5.290195505834218,5.290195505834218,5.290195505834218,28.000000000006224,28.000000000006224,28.000000000006224,28.000000000006224,0.1889355537797515,0.1889355537797515,0.1889355537797515,0.1889355537797515,516.0,516,516,516,86.0,86,86,86,0.1889355537797515
exact_k_29,k,93,5,0,5,11.623995710248426,2.3247991420496854,1.1272967304402552,3.564349111647897,145.00000000002748,29.000000000005496,29.000000000004306,29.00000000000626,0.4008274382843507,0.08016548765687014,0.0388723010496582,0.12290859005679931,2595.0,519,454,544,199.0,39.8,13,57,0.0801654876568705
exact_k_30,k_minus_1,9,2,0,2,10.166908243481835,5.0834541217409175,4.616647691907289,5.550260551574547,58.000000000012705,29.000000000006352,29.000000000003674,29.000000000009035,0.3505830428786102,0.1752915214393051,0.15919474799675348,0.19138829488185669,1089.0,544.5,512,577,168.0,84,78,90,0.1752915214393036
exact_k_30,k,93,4,0,4,8.941177476462553,2.235294369115638,0.8822900169442639,3.457663275353686,120.00000000001776,30.00000000000444,30.000000000003315,30.000000000007027,0.29803924921536934,0.07450981230384233,0.029409667231472213,0.11525544251176253,2174.0,543.5,503,577,147.0,36.75,13,55,0.07450981230384357
exact_k_31,k_minus_1,9,2,0,2,10.266978007367968,5.133489003683984,4.635263880034187,5.6317141273337805,60.00000000001053,30.000000000005265,30.000000000004597,30.00000000000593,0.34223260024553814,0.17111630012276907,0.1545087960011159,0.18772380424442225,1078.0,539,501,577,157.0,78.5,64,93,0.17111630012276943
exact_k_31,k,93,4,0,4,8.869933642072716,2.217483410518179,0.8667844686296708,3.409214092141681,124.00000000001998,31.000000000004995,31.000000000002565,31.000000000007514,0.28612689167971606,0.07153172291992901,0.027960789310630577,0.10997464813357595,2312.0,578,551,603,132.0,33,15,46,0.07153172291992974
exact_k_32,k_minus_1,9,2,0,2,10.790968315193744,5.395484157596872,4.8908162893606555,5.900152025833089,62.00000000001438,31.00000000000719,31.000000000006597,31.000000000007784,0.34809575210294386,0.17404787605147193,0.1577682673986912,0.19032748470425268,1124.0,562,532,592,174.0,87,75,99,0.17404787605147162
exact_k_32,k,93,4,0,4,8.856730811469811,2.214182702867453,0.8978571329475921,3.426241371750684,128.00000000002206,32.000000000005514,32.00000000000104,32.0000000000095,0.27677283785837925,0.06919320946459481,0.028058035404611343,0.10707004286719621,2527.0,631.75,609,652,143.0,35.75,17,49,0.06919320946459598
