target_k,arm,buses,fleet_bound,fleet_optimize_s,charging_optimize_s,total_optimize_s,fleet_status,charging_status
5,fresh,5,5.0,1.3043858176097274,2.160392447374761,3.4647782649844885,OPTIMAL,OPTIMAL
5,sequential,5,5.0,1.1599803380668163,1.7579663500655442,2.9179466881323606,OPTIMAL,OPTIMAL
8,fresh,9,9.0,1580.9472602959722,2018.0649189925753,3599.0121792885475,OPTIMAL,TIME_LIMIT
8,sequential,8,8.0,27.152428023982793,3570.622788998997,3597.7752170229796,OPTIMAL,TIME_LIMIT
10,fresh,11,10.000000000000027,1800.0817513139918,1802.627846196061,3602.709597510053,TIME_LIMIT,TIME_LIMIT
10,sequential,10,10.0,152.28712840005755,3445.215278065065,3597.5024064651225,OPTIMAL,TIME_LIMIT
15,fresh,18,15.000000000000046,1800.2162091659848,1797.4138427530415,3597.6300519190263,TIME_LIMIT,TIME_LIMIT
15,sequential,15,15.0,105.7495603361167,3490.2624844950624,3596.012044831179,OPTIMAL,TIME_LIMIT
