target_k,arm,buses,fleet_bound,fleet_optimize_s,charging_optimize_s,total_optimize_s,fleet_status,charging_status
5,fresh,5,5.0,3.3799684583209455,1.0003865798935294,4.380355038214475,OPTIMAL,OPTIMAL
5,sequential,5,5.0,2.1629769979044795,32.80281692603603,34.96579392394051,OPTIMAL,OPTIMAL
8,fresh,9,8.000000000000004,1800.1264254031703,1799.6429926436394,3599.7694180468097,TIME_LIMIT,TIME_LIMIT
8,sequential,8,8.0,0.9434191132895648,857.6084666689858,858.5518857822753,OPTIMAL,OPTIMAL
10,fresh,11,10.000000000000009,1800.0860785478726,1799.5888547669165,3599.674933314789,TIME_LIMIT,TIME_LIMIT
10,sequential,10,10.0,3.200370332924649,3596.122170672985,3599.3225410059094,OPTIMAL,TIME_LIMIT
15,fresh,18,15.000000000000052,1800.173379466869,1798.9482913590036,3599.1216708258726,TIME_LIMIT,TIME_LIMIT
15,sequential,15,15.0,223.7052487831097,3375.542608615011,3599.2478573981207,OPTIMAL,TIME_LIMIT
