target_k,arm,buses,fleet_bound,fleet_optimize_s,charging_optimize_s,total_optimize_s,fleet_status,charging_status
5,fresh,5,5.0,14.886346774175763,3.637995048891753,18.524341823067516,OPTIMAL,OPTIMAL
5,sequential,5,5.0,0.9465302438475192,10.497386750066653,11.443916993914172,OPTIMAL,OPTIMAL
8,fresh,9,9.0,879.3961809289176,2719.7941801901907,3599.1903611191083,OPTIMAL,TIME_LIMIT
8,sequential,8,8.0,1.9443517639301717,847.783864071127,849.7282158350572,OPTIMAL,OPTIMAL
10,fresh,11,10.000000000000712,1800.0926104069222,1799.3787506360095,3599.4713610429317,TIME_LIMIT,TIME_LIMIT
10,sequential,10,10.0,2.4502056017518044,3596.6140528367832,3599.064258438535,OPTIMAL,TIME_LIMIT
15,fresh,19,15.000000000000068,1800.4961626159493,1797.6195818190463,3598.1157444349956,TIME_LIMIT,TIME_LIMIT
15,sequential,15,15.0,178.59708799561486,3419.1440630331635,3597.7411510287784,OPTIMAL,TIME_LIMIT
