duty,trip_count,battery_kwh,charge_kw,reserve_kwh,source_valid,production_valid,both_valid,minimum_source_soc_kwh,source_terminal_soc_kwh,source_violations,production_first_rejection,input_sha256
13311,14,240,240,0,False,False,False,86.73365959749998,86.73365959749998,"[""row 654: SOC 240.026656 exceeds capacity""]",charge at PARX_1 raises SOC to 240.4 > capacity 240.0,280e98d6e493c9f2d46b4aaf43ec12bab94b98bc96f8923c46afeb105e4fec61
13311,14,240,350,0,False,False,False,86.73365959749998,86.73365959749998,"[""row 654: SOC 240.026656 exceeds capacity""]",charge at PARX_1 raises SOC to 240.4 > capacity 240.0,280e98d6e493c9f2d46b4aaf43ec12bab94b98bc96f8923c46afeb105e4fec61
13312,46,240,240,0,False,False,False,49.42184707829991,66.79245451769998,"[""row 694: recharge exceeds power/window"", ""row 701: recharge exceeds power/window"", ""row 711: recharge exceeds power/window"", ""row 715: recharge exceeds power/window"", ""row 720: recharge exceeds power/window"", ""row 725: recharge exceeds power/window"", ""row 730: recharge exceeds power/window"", ""row 735: recharge exceeds power/window"", ""row 740: recharge exceeds power/window"", ""row 748: recharge exceeds power/window"", ""row 753: recharge exceeds power/window""]",charge 45.1 kWh exceeds 240 kW in 10 min at JON_A_0,dc359b010bd46462ca5368af942ce4f7e31ad8d8fbe6a8f3368c110db7f3c19c
13312,46,240,350,0,True,True,True,49.42184707829991,66.79245451769998,[],,dc359b010bd46462ca5368af942ce4f7e31ad8d8fbe6a8f3368c110db7f3c19c
13313,37,240,240,0,False,False,False,38.63947532679993,65.5044582750999,"[""row 777: recharge exceeds power/window"", ""row 785: recharge exceeds power/window"", ""row 791: recharge exceeds power/window"", ""row 796: recharge exceeds power/window"", ""row 801: recharge exceeds power/window"", ""row 807: recharge exceeds power/window"", ""row 811: recharge exceeds power/window"", ""row 824: recharge exceeds power/window""]",charge 98.8 kWh exceeds 240 kW in 23 min at 3127L_0,01a69f48e2cb9b9061759f547872d2eca67cd7d936c8d13db96c9b0ab7b0515b
13313,37,240,350,0,True,True,True,38.63947532679993,65.5044582750999,[],,01a69f48e2cb9b9061759f547872d2eca67cd7d936c8d13db96c9b0ab7b0515b
13314,16,240,240,0,False,False,False,68.74903739080003,68.74903739080003,"[""row 843: recharge exceeds power/window"", ""row 848: SOC 240.026667 exceeds capacity"", ""row 861: recharge exceeds power/window""]",charge 20.2 kWh exceeds 240 kW in 5 min at JON_A_0,1b6265918d173680da49b24c411312d2b22cff7bddcb955258363c2b57f07955
13314,16,240,350,0,False,False,False,68.74903739080003,68.74903739080003,"[""row 848: SOC 240.026667 exceeds capacity""]",charge at PARX_1 raises SOC to 240.5 > capacity 240.0,1b6265918d173680da49b24c411312d2b22cff7bddcb955258363c2b57f07955
13315,31,240,240,0,False,False,False,54.56627158760011,54.56627158760011,"[""row 881: recharge exceeds power/window"", ""row 888: recharge exceeds power/window"", ""row 895: recharge exceeds power/window"", ""row 902: recharge exceeds power/window"", ""row 909: recharge exceeds power/window"", ""row 913: recharge exceeds power/window""]",charge 41.7 kWh exceeds 240 kW in 10 min at 7880C_0,f14c78584419ef45b96ad8437b0926d37bf1e796af429c8a6f8484665db5630e
13315,31,240,350,0,True,True,True,54.56627158760011,54.56627158760011,[],,f14c78584419ef45b96ad8437b0926d37bf1e796af429c8a6f8484665db5630e
13316m,23,240,240,0,False,False,False,43.944043034599886,43.944043034599886,"[""row 949: recharge exceeds power/window"", ""row 954: recharge exceeds power/window"", ""row 963: recharge exceeds power/window""]",charge 54.1 kWh exceeds 240 kW in 12 min at 3127L_0,a3ca9a41d54858a261acd9172d0fed0fa5f683fb6223219b5963646050729415
13316m,23,240,350,0,True,True,True,43.944043034599886,43.944043034599886,[],,a3ca9a41d54858a261acd9172d0fed0fa5f683fb6223219b5963646050729415
13316uwt,21,240,240,0,False,False,False,53.88235348459993,53.88235348459993,"[""row 992: recharge exceeds power/window"", ""row 997: recharge exceeds power/window"", ""row 1006: recharge exceeds power/window""]",charge 52.9 kWh exceeds 240 kW in 12 min at 3127L_0,bbe82d87fa3b04f48a1c0da56579bb48e64f42ad431c016f3ddb31cb6f226e5e
13316uwt,21,240,350,0,True,True,True,53.88235348459993,53.88235348459993,[],,bbe82d87fa3b04f48a1c0da56579bb48e64f42ad431c016f3ddb31cb6f226e5e
13317,37,240,240,0,False,False,False,39.82883816409995,39.82883816409995,"[""row 1030: recharge exceeds power/window"", ""row 1052: recharge exceeds power/window"", ""row 1062: recharge exceeds power/window"", ""row 1067: recharge exceeds power/window"", ""row 1072: recharge exceeds power/window""]",charge 113.1 kWh exceeds 240 kW in 23 min at 3127L_0,c621f01ef2c2a119e864f01c499f767a8766ffb0b2dfd4cbe5bddce32c35c5f2
13317,37,240,350,0,True,True,True,39.82883816409995,39.82883816409995,[],,c621f01ef2c2a119e864f01c499f767a8766ffb0b2dfd4cbe5bddce32c35c5f2
13318,33,240,240,0,False,False,False,52.68438257359988,148.5046748731999,"[""row 1102: SOC 240.003374 exceeds capacity"", ""row 1122: recharge exceeds power/window"", ""row 1130: recharge exceeds power/window"", ""row 1144: recharge exceeds power/window""]",charge at PARX_1 raises SOC to 240.4 > capacity 240.0,0a35d456e0489d38a340f1d4d150bad30c53fe148c74987cbd6d394b5827570b
13318,33,240,350,0,False,False,False,52.68438257359988,148.5046748731999,"[""row 1102: SOC 240.003374 exceeds capacity""]",charge at PARX_1 raises SOC to 240.4 > capacity 240.0,0a35d456e0489d38a340f1d4d150bad30c53fe148c74987cbd6d394b5827570b
13319,27,240,240,0,False,False,False,69.78861164910008,71.20977064840008,"[""row 1167: SOC 240.025017 exceeds capacity"", ""row 1177: recharge exceeds power/window"", ""row 1185: recharge exceeds power/window"", ""row 1190: recharge exceeds power/window"", ""row 1199: recharge exceeds power/window"", ""row 1204: recharge exceeds power/window"", ""row 1209: recharge exceeds power/window""]",charge at PARX_1 raises SOC to 240.2 > capacity 240.0,4b5d4d5f2956852b297fb1eaadc09e4cac570923c0cf54203af30c839478f9cd
13319,27,240,350,0,False,False,False,69.78861164910008,71.20977064840008,"[""row 1167: SOC 240.025017 exceeds capacity""]",charge at PARX_1 raises SOC to 240.2 > capacity 240.0,4b5d4d5f2956852b297fb1eaadc09e4cac570923c0cf54203af30c839478f9cd
13320,16,240,240,0,False,False,False,69.50200149900002,133.1932897963,"[""row 1238: recharge exceeds power/window"", ""row 1242: recharge exceeds power/window""]",charge 30.9 kWh exceeds 240 kW in 7 min at JON_A_0,07bd8c6f5b55027b9e3457e941a47570dc401f6242d80f87b4323487848e4986
13320,16,240,350,0,True,True,True,69.50200149900002,133.1932897963,[],,07bd8c6f5b55027b9e3457e941a47570dc401f6242d80f87b4323487848e4986
13321,22,240,240,0,False,False,False,97.79804170060001,101.9966743978,"[""row 1256: SOC 240.006679 exceeds capacity"", ""row 1264: recharge exceeds power/window"", ""row 1280: recharge exceeds power/window"", ""row 1291: recharge exceeds power/window""]",charge at PARX_1 raises SOC to 240.5 > capacity 240.0,0891b1baa77747d915cd7ccc430d13c6035c6bea332489e271d29c9f26250a30
13321,22,240,350,0,False,False,False,97.79804170060001,101.9966743978,"[""row 1256: SOC 240.006679 exceeds capacity""]",charge at PARX_1 raises SOC to 240.5 > capacity 240.0,0891b1baa77747d915cd7ccc430d13c6035c6bea332489e271d29c9f26250a30
13322,26,240,240,0,False,False,False,47.09499297429993,47.09499297429993,"[""row 1324: recharge exceeds power/window"", ""row 1328: recharge exceeds power/window"", ""row 1332: recharge exceeds power/window"", ""row 1336: recharge exceeds power/window""]",charge 50.0 kWh exceeds 240 kW in 10 min at JON_A_0,336fcff8b50786160814c9beecfb1e9a68fe650c4a374829bfe6a61f8b1316fb
13322,26,240,350,0,True,True,True,47.09499297429993,47.09499297429993,[],,336fcff8b50786160814c9beecfb1e9a68fe650c4a374829bfe6a61f8b1316fb
13323,8,240,240,0,False,False,False,108.91534804899999,108.91534804899999,"[""row 1357: SOC 240.018347 exceeds capacity""]",charge at PARX_1 raises SOC to 241.0 > capacity 240.0,0d7602c497c435ab9fb08e8d0d7f16c85e4e0b1950fc7279d3e91340a31b6d7d
13323,8,240,350,0,False,False,False,108.91534804899999,108.91534804899999,"[""row 1357: SOC 240.018347 exceeds capacity""]",charge at PARX_1 raises SOC to 241.0 > capacity 240.0,0d7602c497c435ab9fb08e8d0d7f16c85e4e0b1950fc7279d3e91340a31b6d7d
13324muw,17,240,240,0,False,False,False,47.06646718880002,47.06646718880002,"[""row 1378: recharge exceeds power/window"", ""row 1385: recharge exceeds power/window""]",charge 52.4 kWh exceeds 240 kW in 12 min at 7880C_0,266571c2c523f1ef814a9a08d32a1d94e8c786c004714cdb8a05e9295c8c4d57
13324muw,17,240,350,0,True,True,True,47.06646718880002,47.06646718880002,[],,266571c2c523f1ef814a9a08d32a1d94e8c786c004714cdb8a05e9295c8c4d57
