chain,k,unchanged_giro_schedule_valid_count,unchanged_recorded_activity_valid_count,unchanged_production_schedule_valid_count,fixed_trip_optimized_charging_reported_valid_count,fixed_trip_certificate_reverified_this_audit,duties,unchanged_schedule_rejected_duties,fixed_trip_optimized_charging_reverified_valid_count
1,29,0,1,0,29,True,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311;13303;13410;13309;13302;13325;13320;13323;13401;13305;13414;13304;13307;13411;13306;13316m,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311;13303;13410;13309;13302;13325;13320;13323;13401;13305;13414;13304;13307;13411;13306;13316m,29
1,30,0,1,0,30,True,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311;13303;13410;13309;13302;13325;13320;13323;13401;13305;13414;13304;13307;13411;13306;13316m;13314,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311;13303;13410;13309;13302;13325;13320;13323;13401;13305;13414;13304;13307;13411;13306;13316m;13314,30
1,31,0,1,0,31,True,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311;13303;13410;13309;13302;13325;13320;13323;13401;13305;13414;13304;13307;13411;13306;13316m;13314;13308,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311;13303;13410;13309;13302;13325;13320;13323;13401;13305;13414;13304;13307;13411;13306;13316m;13314;13308,31
1,32,0,1,0,32,True,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311;13303;13410;13309;13302;13325;13320;13323;13401;13305;13414;13304;13307;13411;13306;13316m;13314;13308;13315,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311;13303;13410;13309;13302;13325;13320;13323;13401;13305;13414;13304;13307;13411;13306;13316m;13314;13308;13315,32
1,33,0,1,0,33,True,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311;13303;13410;13309;13302;13325;13320;13323;13401;13305;13414;13304;13307;13411;13306;13316m;13314;13308;13315;13407,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311;13303;13410;13309;13302;13325;13320;13323;13401;13305;13414;13304;13307;13411;13306;13316m;13314;13308;13315;13407,33
1,34,0,1,0,34,True,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311;13303;13410;13309;13302;13325;13320;13323;13401;13305;13414;13304;13307;13411;13306;13316m;13314;13308;13315;13407;13301,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311;13303;13410;13309;13302;13325;13320;13323;13401;13305;13414;13304;13307;13411;13306;13316m;13314;13308;13315;13407;13301,34
1,35,0,1,0,35,True,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311;13303;13410;13309;13302;13325;13320;13323;13401;13305;13414;13304;13307;13411;13306;13316m;13314;13308;13315;13407;13301;13405,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311;13303;13410;13309;13302;13325;13320;13323;13401;13305;13414;13304;13307;13411;13306;13316m;13314;13308;13315;13407;13301;13405,35
1,36,0,1,0,36,True,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311;13303;13410;13309;13302;13325;13320;13323;13401;13305;13414;13304;13307;13411;13306;13316m;13314;13308;13315;13407;13301;13405;13317,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311;13303;13410;13309;13302;13325;13320;13323;13401;13305;13414;13304;13307;13411;13306;13316m;13314;13308;13315;13407;13301;13405;13317,36
1,37,0,1,0,37,True,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311;13303;13410;13309;13302;13325;13320;13323;13401;13305;13414;13304;13307;13411;13306;13316m;13314;13308;13315;13407;13301;13405;13317;13322,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311;13303;13410;13309;13302;13325;13320;13323;13401;13305;13414;13304;13307;13411;13306;13316m;13314;13308;13315;13407;13301;13405;13317;13322,37
1,38,0,1,0,38,True,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311;13303;13410;13309;13302;13325;13320;13323;13401;13305;13414;13304;13307;13411;13306;13316m;13314;13308;13315;13407;13301;13405;13317;13322;13406,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311;13303;13410;13309;13302;13325;13320;13323;13401;13305;13414;13304;13307;13411;13306;13316m;13314;13308;13315;13407;13301;13405;13317;13322;13406,38
1,39,0,1,0,39,True,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311;13303;13410;13309;13302;13325;13320;13323;13401;13305;13414;13304;13307;13411;13306;13316m;13314;13308;13315;13407;13301;13405;13317;13322;13406;13412,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311;13303;13410;13309;13302;13325;13320;13323;13401;13305;13414;13304;13307;13411;13306;13316m;13314;13308;13315;13407;13301;13405;13317;13322;13406;13412,39
1,40,0,1,0,40,True,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311;13303;13410;13309;13302;13325;13320;13323;13401;13305;13414;13304;13307;13411;13306;13316m;13314;13308;13315;13407;13301;13405;13317;13322;13406;13412;13321,13313;13310;13408;13413;13324muw;13312;13319;13409;13404;13403;13326;13402;13318;13311;13303;13410;13309;13302;13325;13320;13323;13401;13305;13414;13304;13307;13411;13306;13316m;13314;13308;13315;13407;13301;13405;13317;13322;13406;13412;13321,40
2,2,0,1,0,2,True,13311;13307,13311;13307,2
2,3,0,1,0,3,True,13311;13307;13320,13311;13307;13320,3
2,4,0,1,0,4,True,13311;13307;13320;13406,13311;13307;13320;13406,4
2,5,0,1,0,5,True,13311;13307;13320;13406;13302,13311;13307;13320;13406;13302,5
2,6,0,1,0,6,True,13311;13307;13320;13406;13302;13324t,13311;13307;13320;13406;13302;13324t,6
2,7,0,1,0,7,True,13311;13307;13320;13406;13302;13324t;13310,13311;13307;13320;13406;13302;13324t;13310,7
2,8,0,1,0,8,True,13311;13307;13320;13406;13302;13324t;13310;13321,13311;13307;13320;13406;13302;13324t;13310;13321,8
2,9,0,1,0,9,True,13311;13307;13320;13406;13302;13324t;13310;13321;13312,13311;13307;13320;13406;13302;13324t;13310;13321;13312,9
2,10,0,1,0,10,True,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404,10
2,11,0,1,0,11,True,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414,11
2,12,0,1,0,12,True,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319,12
2,13,0,1,0,13,True,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411,13
2,14,0,1,0,14,True,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303,14
2,15,0,1,0,15,True,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325,15
2,16,0,1,0,16,True,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407,16
2,17,0,1,0,17,True,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308,17
