treatment,case,source_partitions,target_buses,integer_buses,pool_fleet_bound,fleet_proved_in_pool,physical_replay,source_path,source_sha256
decomposition_pool_union_20260914,m_p01,p01,32,35,35.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p01/mip_result.json,18fc2aeae8ede9335251e4508d1a54d7eac5db06304b9643ece6b19efed0d246
decomposition_pool_union_20260914,m_p01_p02,p01 p02,32,35,35.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p01_p02/mip_result.json,0ded5925536a4e1c55df27f40862df0272814ae56756e3959e79d88fbc767913
decomposition_pool_union_20260914,m_p01_p03,p01 p03,32,35,35.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p01_p03/mip_result.json,d0c394ea53a452447a91252517f76a7efda0af57493037a19710ac03062ebd24
decomposition_pool_union_20260914,m_p01_p04,p01 p04,32,35,35.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p01_p04/mip_result.json,b50650c13f39330f8885a6bd994648af9430f251de45455172130e2cae10062a
decomposition_pool_union_20260914,m_p01_p05,p01 p05,32,35,35.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p01_p05/mip_result.json,02ffdfa73850d335ec43d8aa5856a6f34244f05cdf55b7fa9b1b0b6275a8f7bc
decomposition_pool_union_20260914,m_p01_p06,p01 p06,32,35,35.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p01_p06/mip_result.json,fb63bf39524f2849e0d8ab848c1de574203f46892ceeca47240c01c92dbb3426
decomposition_pool_union_20260914,m_p01_p07,p01 p07,32,34,34.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p01_p07/mip_result.json,fa9d9a09169322625bb91c1a8678d56ad2401012cdbfb2af984dda6ae28f452a
decomposition_pool_union_20260914,m_p01_p08,p01 p08,32,35,35.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p01_p08/mip_result.json,511d4912555a74562b05eceaedc7475bd30957fa3e274225f0b70716e41f43bf
decomposition_pool_union_20260914,m_p01_p09,p01 p09,32,35,35.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p01_p09/mip_result.json,751c1a8c32bd38ae52f767b886731e425ca6dd91bd4fdcf91296752b055a5d2d
decomposition_pool_union_20260914,m_p02,p02,32,35,35.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p02/mip_result.json,d4648c6332d02d26b431c054bb235f6e67cc32b10e599c18acff99cfbe7c8b0e
decomposition_pool_union_20260914,m_p02_p03,p02 p03,32,35,35.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p02_p03/mip_result.json,7a09960a7130622317338bbc99aa4a9d0aa88240f1507682a5dc0e8e747a7caf
decomposition_pool_union_20260914,m_p02_p04,p02 p04,32,35,35.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p02_p04/mip_result.json,e57477acb4d235da7fbd3cafbc259c3ff9d267d4d1358ca3b35d3808852c8f25
decomposition_pool_union_20260914,m_p02_p05,p02 p05,32,35,35.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p02_p05/mip_result.json,38edf8210d6efa4cd6620dcfba22096f3ddb9bb73335b06e12e63a4a55116510
decomposition_pool_union_20260914,m_p02_p06,p02 p06,32,35,35.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p02_p06/mip_result.json,c28887bade86b73018908eeb80d8b90f8e7f7a90647cd5b1bc09c1e30fcba38c
decomposition_pool_union_20260914,m_p02_p07,p02 p07,32,34,34.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p02_p07/mip_result.json,2475e4ba283c42726ef3226b7d9ffebee2cb815f367887f9d42509660cad7b94
decomposition_pool_union_20260914,m_p02_p08,p02 p08,32,35,35.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p02_p08/mip_result.json,44b16ccd33fced780bbd1ab6a3420b8b0699d59bd0e156fc49e3858b0a06a453
decomposition_pool_union_20260914,m_p02_p09,p02 p09,32,35,35.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p02_p09/mip_result.json,6d68bcbd8e00fbef186ced8c32e2d74d178dbb618bf7121e17f236080798b94f
decomposition_pool_union_20260914,m_p03,p03,32,36,36.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p03/mip_result.json,56a6c68e3dc6f13a634a6d8a33c8dd5758ac6959ce8d2319934d3130af863e8c
decomposition_pool_union_20260914,m_p03_p04,p03 p04,32,35,35.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p03_p04/mip_result.json,14eab639ef25c25deeabbb3641484946533826869786375070c425801e40f060
decomposition_pool_union_20260914,m_p03_p05,p03 p05,32,35,35.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p03_p05/mip_result.json,59b4272efa7bab26f3aac91da53948183b8a3cf129f89ba2a73a42c9bb47102e
decomposition_pool_union_20260914,m_p03_p06,p03 p06,32,36,36.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p03_p06/mip_result.json,54cb4368d7226018a1bbe90c34e2416faf12ad6919c71b8c67606ff9b6c75ec9
decomposition_pool_union_20260914,m_p03_p07,p03 p07,32,34,34.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p03_p07/mip_result.json,9ffa73220ebfcd3d50d6f383b10d3173c6891d2bb43cb52ef4abfab4853c9009
decomposition_pool_union_20260914,m_p03_p08,p03 p08,32,36,36.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p03_p08/mip_result.json,242d793eabac6214ed4830d0aad745a00eba0b05a5e8ac3f9bc69f7f3527cde9
decomposition_pool_union_20260914,m_p03_p09,p03 p09,32,35,35.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p03_p09/mip_result.json,59f3ca07699b60caab623ecd1f9a725b24bd3a2bddaa5c12d03bfac448c1d6b5
decomposition_pool_union_20260914,m_p04,p04,32,35,35.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p04/mip_result.json,f2f7dc43c33dbcb43e1fe17c42187e115cf070f462738ce38b387fa6daaeacf5
decomposition_pool_union_20260914,m_p04_p05,p04 p05,32,35,35.0,True,True,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p04_p05/mip_result.json,f7c53cc3114e608c9f531830bf3d3db2242062994c048c19cbcb1600b960482d
