case,trips,pool_columns,lp_route_weight,lp_weighted_objective,lp_positive_columns,lp_fractional_positive_columns,lp_max_column_weight,witness_buses,witness_cost,witness_cost_minus_lp,witness_rc_sum,overcoverage_dual_value,decomposition_residual,overcovered_trips,missing_witness_trip_sets,inherited_witness_routes,positive_rc_above_tolerance
c1_k08,194,39940,7.999999999999991,800383.6879776365,99,99,0.49409034966146625,8,800479.96,96.27202236349694,72.1420916178904,24.129930744989927,6.166160915199725e-10,2,8,6,8
c2_k08,173,20800,7.999999999999991,800235.9144683554,101,101,0.513638671416139,8,800336.4639999998,100.54953164444305,64.93504020950058,35.6144914339885,9.53967571604153e-10,18,7,7,7
c3_k08,154,16931,7.999999999999997,800212.6874725271,80,80,0.7362637362637432,8,800227.6879999996,15.000527472468093,10.83307692312519,4.167450549040662,3.02240010796595e-10,2,8,7,8
c4_k08,188,39668,7.999999999999983,800359.8182244832,94,94,0.5000000000000034,8,800428.255999998,68.43777551478706,55.095927699658205,13.341847813350451,1.7784067551929184e-09,3,8,7,6
c5_k08,167,26942,8.000000000000025,800431.7722696166,97,97,0.7289684547950218,8,800505.176,73.40373038337566,47.78444204444531,25.61928834120347,-2.273125687679567e-09,9,8,7,8
