Trip,EL
188,PC_7
189,PC_7
190,PC_7
191,PC_7
192,PC_7
193,PC_7
194,PC_7
195,PC_7
196,PC_7
200,JON_B
201,JON_B
202,JON_B
203,JON_B
204,JON_B
205,JON_B
206,JON_B
214,PC_7
215,PC_7
216,PC_7
217,PC_3
218,PC_3
219,PC_3
220,PC_3
221,PC_6
222,PC_6
223,PC_6
224,PC_6
228,PC_10
229,PC_10
235,PC_5
236,PC_5
237,PC_5
238,PC_5
239,PC_5
240,PC_5
241,PC_5
242,JON_B
243,JON_B
244,JON_B
245,JON_B
246,JON_B
247,JON_B
248,JON_B
249,JON_B
250,JON_B
251,JON_B
252,JON_B
253,JON_B
254,PC_7
255,PC_6
256,PC_6
257,PC_6
258,PC_6
264,PC_10
279,JON_B
280,JON_B
281,JON_B
282,JON_B
283,JON_B
284,JON_B
285,JON_B
286,JON_B
287,JON_B
288,JON_B
289,JON_B
290,JON_B
291,JON_B
292,JON_B
293,GMV_G
294,GMV_G
295,GMV_G
296,GMV_G
297,GMV_G
298,GMV_G
299,GMV_G
300,GMV_G
301,GMV_G
302,GMV_G
303,GMV_G
304,GMV_G
305,GMV_G
306,GMV_G
307,GMV_G
308,GMV_G
309,GMV_G
310,GMV_G
311,GMV_G
312,GMV_G
313,GMV_G
314,GMV_G
315,GMV_G
316,GMV_G
317,GMV_G
318,GMV_G
319,GMV_G
320,JON_B
321,JON_B
322,JON_B
323,JON_B
324,JON_B
325,JON_B
326,PC_9
327,PC_9
328,PC_9
329,PC_9
330,PC_9
331,PC_9
332,PC_9
333,PC_9
334,PC_9
335,PC_9
336,PC_9
337,PC_9
338,PC_9
339,PC_9
340,PC_9
341,PC_9
342,PC_9
343,PC_9
344,PC_9
345,PC_9
346,PC_5
347,PC_5
348,PC_7
349,PC_7
350,PC_7
351,PC_7
352,PC_5
353,PC_5
354,PC_5
355,PC_5
356,PC_5
357,PC_5
358,PC_5
359,PC_5
360,PC_7
361,PC_7
362,PC_7
363,PC_7
364,PC_7
365,PC_7
366,PC_7
367,PC_7
368,PC_7
369,PC_7
370,PC_7
371,PC_7
372,PC_7
373,PC_7
374,PC_7
375,PC_7
376,PC_7
377,PC_7
378,PC_7
379,PC_7
380,PC_7
381,PC_7
382,PC_7
383,PC_7
384,PC_7
385,PC_7
404,PC_7
405,PC_7
406,PC_7
407,PC_7
408,PC_7
409,PC_7
410,PC_7
411,PC_7
412,PC_7
413,PC_7
414,PC_7
415,PC_7
416,PC_7
417,PC_7
418,PC_7
419,PC_7
420,PC_7
421,PC_7
422,PC_7
423,PC_7
424,PC_7
425,PC_7
426,PC_3
427,PC_3
428,PC_3
429,PC_3
430,GMV_G
431,PC_9
432,PC_9
433,PC_3
434,PC_3
435,PC_3
436,PC_3
437,PC_3
438,PC_3
439,PC_3
440,PC_3
441,PC_3
442,PC_3
443,PC_3
444,PC_3
445,PC_5
446,PC_5
448,PC_10
449,PC_10
450,PC_10
451,PC_10
452,PC_10
453,PC_10
454,PC_10
455,PC_10
456,PC_10
457,PC_10
458,PC_10
459,PC_10
460,PC_10
461,PC_10
462,PC_10
463,PC_10
464,PC_10
465,PC_10
466,PC_10
467,PC_10
468,PC_10
469,PC_10
470,PC_10
471,PC_10
472,PC_10
473,PC_10
474,PC_10
475,PC_10
476,PC_10
477,PC_10
478,PC_10
479,PC_10
480,PC_10
481,PC_10
482,PC_10
500,PC_10
501,PC_10
502,PC_10
503,PC_10
504,PC_10
505,PC_10
506,PC_10
507,PC_10
508,PC_10
509,PC_10
510,PC_10
511,PC_10
512,PC_10
513,PC_10
514,PC_10
515,PC_10
557,PC_9
558,PC_9
559,JON_B
560,JON_B
561,JON_B
562,PC_6
563,PC_6
564,PC_6
565,PC_6
566,PC_6
570,JON_B
571,JON_B
572,JON_B
573,JON_B
574,JON_B
575,PC_6
576,PC_6
577,PC_6
578,PC_6
579,PC_6
580,PC_6
581,PC_6
582,PC_6
583,PC_6
584,PC_6
585,PC_6
586,PC_6
587,PC_6
588,PC_6
589,PC_6
590,PC_6
591,PC_6
592,PC_6
593,PC_6
594,PC_6
595,PC_6
596,PC_6
597,PC_6
598,PC_6
599,JON_B
600,JON_B
601,JON_B
602,JON_B
603,JON_B
604,JON_B
605,JON_B
608,PC_7
609,PC_7
624,PC_7
625,PC_7
626,GMV_G
627,GMV_G
628,GMV_G
629,GMV_G
630,GMV_G
631,GMV_G
632,GMV_G
633,GMV_G
634,GMV_G
635,GMV_G
636,GMV_G
637,GMV_G
642,PC_10
643,PC_10
644,PC_5
645,PC_5
646,PC_5
647,PC_5
648,PC_5
