duty_id,base_duty_id,included_variant,excluded_variant_id,trip_count,local_trip_ids_json,source_ordered_trip_ids_json,route_incidence_sha256,recorded_charge_count,recorded_charge_kwh
13317,13317,True,,37,"[53,82,105,149,176,212,223,232,282,306,330,352,376,545,569,614,644,671,685,706,718,730,738,762,773,796,809,831,846,855,862,872,880,889,895,907,910]","[576,580,236,245,217,904,906,257,262,608,612,616,620,534,438,446,952,955,956,959,742,743,547,550,466,469,470,473,865,866,867,868,869,870,762,763,567]",09c08a605dd900016bf83107d02266d8b6cba9b9971a46f0e8c5d66ce1104bc8,8,435.5678367
13318,13318,True,,33,"[76,107,125,140,171,185,398,424,446,468,480,494,509,534,548,567,599,651,686,712,731,766,783,795,801,813,821,840,851,887,902,926,934]","[232,891,783,784,788,789,624,627,927,931,724,725,829,832,301,305,311,322,654,657,334,338,968,969,970,971,670,673,347,352,353,356,486]",baaf67d605c03e0435fb3ed8fea319a6d86591b8530b4df712f558feae3a8a2f,8,504.3336679
13319,13319,True,,27,"[80,122,130,159,173,553,586,617,643,690,716,742,754,778,792,815,827,839,845,857,859,882,893,915,922,940,945]","[214,782,893,898,382,219,644,647,321,329,332,463,464,467,553,556,754,755,756,757,476,479,480,483,484,487,879]",0f57a7ca59796cf688f4cbb5270c6cabe3723fcf1e7de2094b370c88bc4dc77e,8,377.0617672
13320,13320,True,,16,"[86,123,144,152,163,198,228,252,274,298,588,623,650,664,709,733]","[370,240,895,896,381,386,598,601,604,607,309,949,953,326,331,962]",0ce855914d082e8f9b54928c67928ce54ca6305cbdc626df9d85211dd4d332c8,3,199.71628570000001
13321,13321,True,,22,"[89,120,150,521,549,596,657,684,728,749,770,785,806,818,853,869,881,888,908,919,930,937]","[581,585,246,430,434,210,452,328,333,662,665,666,669,343,348,978,979,678,681,682,683,684]",7f213976acd7be1685a0fe582b1f8decd056098510e3953603785957cc6c62f1,5,358.8436715
13322,13322,True,,26,"[109,153,180,191,236,257,272,281,293,303,318,325,353,373,394,406,426,439,460,473,495,505,524,560,605,646]","[215,897,900,254,258,909,800,911,912,913,806,403,406,813,816,817,820,821,824,825,828,290,295,304,444,222]",78e5c265ce9343c3bc55fc60f56d1e84dba7fc022ee0bde3db927dd5ed32cf44,6,248.1599922
13323,13323,True,,8,"[111,143,177,206,532,577,611,647]","[584,587,590,594,208,306,445,450]",bb2f245baf03a3a9e6dcd3ccf4bd5569917e83cefb7cd6f54c8fc2b26c878694,1,80.5063477
13324t,13324,True,13324muw,18,"[116,162,197,222,241,271,288,300,310,340,355,383,464,492,511,537,583,629]","[239,250,593,597,506,510,707,709,514,518,408,412,930,287,429,299,441,212]",04451e66b7f75319f773fccd1081eb74e403d18653eee7f87b8b50caa3613df6,3,154.7804642
13325,13325,True,,42,"[142,184,215,234,255,263,291,312,332,342,362,372,399,421,448,472,500,528,557,570,608,631,668,695,714,726,741,747,759,764,802,819,830,834,870,886,897,903,913,918,938,943]","[216,384,388,795,798,395,398,805,808,809,918,410,414,417,420,423,426,831,834,535,538,448,453,847,850,851,963,964,965,337,342,972,973,345,350,980,981,982,983,355,358,359]",d033076c060dc84ddfe75a1545928947314cefc1dbf238b81770896356ccdbe6,10,615.153434
13326,13326,True,,21,"[145,156,187,214,238,260,284,302,350,374,385,396,411,422,444,453,483,507,566,609,660]","[785,588,591,595,599,602,605,263,268,919,920,921,818,819,822,421,424,531,209,312,213]",4753a77cd8155ca4dd0520f715684adc06da9b43821b55deac77cf759608ecdc,3,249.79065680000002
