time_block,cost
0,0.29999999999999999
1,0.29999999999999999
2,0.29999999999999999
3,0.40000000000000002
4,0.40000000000000002
5,0.40000000000000002
6,0.80000000000000004
7,1
8,1
9,1
10,0.69999999999999996
11,0.69999999999999996
12,0.5
13,0.5
14,0.5
15,0.59999999999999998
16,0.69999999999999996
17,1.5
18,1.5
19,1.5
20,1
21,0.80000000000000004
22,0.5
23,0.20000000000000001
24,0.29999999999999999
25,0.29999999999999999
26,0.29999999999999999
