time_block,station,cost
0,PARX,0.09920000000000001
0,JON_A,0.09920000000000001
0,2190L,0.09920000000000001
0,4808,0.09920000000000001
0,3127L,0.09920000000000001
0,7880C,0.09920000000000001
1,PARX,0.09920000000000001
1,JON_A,0.09920000000000001
1,2190L,0.09920000000000001
1,4808,0.09920000000000001
1,3127L,0.09920000000000001
1,7880C,0.09920000000000001
2,PARX,0.09920000000000001
2,JON_A,0.09920000000000001
2,2190L,0.09920000000000001
2,4808,0.09920000000000001
2,3127L,0.09920000000000001
2,7880C,0.09920000000000001
3,PARX,0.09920000000000001
3,JON_A,0.09920000000000001
3,2190L,0.09920000000000001
3,4808,0.09920000000000001
3,3127L,0.09920000000000001
3,7880C,0.09920000000000001
4,PARX,0.09920000000000001
4,JON_A,0.09920000000000001
4,2190L,0.09920000000000001
4,4808,0.09920000000000001
4,3127L,0.09920000000000001
4,7880C,0.09920000000000001
5,PARX,0.09920000000000001
5,JON_A,0.09920000000000001
5,2190L,0.09920000000000001
5,4808,0.09920000000000001
5,3127L,0.09920000000000001
5,7880C,0.09920000000000001
6,PARX,0.09920000000000001
6,JON_A,0.09920000000000001
6,2190L,0.09920000000000001
6,4808,0.09920000000000001
6,3127L,0.09920000000000001
6,7880C,0.09920000000000001
7,PARX,0.09920000000000001
7,JON_A,0.09920000000000001
7,2190L,0.09920000000000001
7,4808,0.09920000000000001
7,3127L,0.09920000000000001
7,7880C,0.09920000000000001
8,PARX,0.09920000000000001
8,JON_A,0.09920000000000001
8,2190L,0.09920000000000001
8,4808,0.09920000000000001
8,3127L,0.09920000000000001
8,7880C,0.09920000000000001
9,PARX,0.09920000000000001
9,JON_A,0.09920000000000001
9,2190L,0.09920000000000001
9,4808,0.09920000000000001
9,3127L,0.09920000000000001
9,7880C,0.09920000000000001
10,PARX,0.09920000000000001
10,JON_A,0.09920000000000001
10,2190L,0.09920000000000001
10,4808,0.09920000000000001
10,3127L,0.09920000000000001
10,7880C,0.09920000000000001
11,PARX,0
11,JON_A,0.09920000000000001
11,2190L,0.09920000000000001
11,4808,0.09920000000000001
11,3127L,0.09920000000000001
11,7880C,0.09920000000000001
12,PARX,0
12,JON_A,0.09920000000000001
12,2190L,0.09920000000000001
12,4808,0.09920000000000001
12,3127L,0.09920000000000001
12,7880C,0.09920000000000001
13,PARX,0
13,JON_A,0.09920000000000001
13,2190L,0.09920000000000001
13,4808,0.09920000000000001
13,3127L,0.09920000000000001
13,7880C,0.09920000000000001
14,PARX,0
14,JON_A,0.09920000000000001
14,2190L,0.09920000000000001
14,4808,0.09920000000000001
14,3127L,0.09920000000000001
14,7880C,0.09920000000000001
15,PARX,0.09920000000000001
15,JON_A,0.09920000000000001
15,2190L,0.09920000000000001
15,4808,0.09920000000000001
15,3127L,0.09920000000000001
15,7880C,0.09920000000000001
16,PARX,0.09920000000000001
16,JON_A,0.09920000000000001
16,2190L,0.09920000000000001
16,4808,0.09920000000000001
16,3127L,0.09920000000000001
16,7880C,0.09920000000000001
17,PARX,0.09920000000000001
17,JON_A,0.09920000000000001
17,2190L,0.09920000000000001
17,4808,0.09920000000000001
17,3127L,0.09920000000000001
17,7880C,0.09920000000000001
18,PARX,0.09920000000000001
18,JON_A,0.09920000000000001
18,2190L,0.09920000000000001
18,4808,0.09920000000000001
18,3127L,0.09920000000000001
18,7880C,0.09920000000000001
19,PARX,0.09920000000000001
19,JON_A,0.09920000000000001
19,2190L,0.09920000000000001
19,4808,0.09920000000000001
19,3127L,0.09920000000000001
19,7880C,0.09920000000000001
20,PARX,0.09920000000000001
20,JON_A,0.09920000000000001
20,2190L,0.09920000000000001
20,4808,0.09920000000000001
20,3127L,0.09920000000000001
20,7880C,0.09920000000000001
21,PARX,0.09920000000000001
21,JON_A,0.09920000000000001
21,2190L,0.09920000000000001
21,4808,0.09920000000000001
21,3127L,0.09920000000000001
21,7880C,0.09920000000000001
22,PARX,0.09920000000000001
22,JON_A,0.09920000000000001
22,2190L,0.09920000000000001
22,4808,0.09920000000000001
22,3127L,0.09920000000000001
22,7880C,0.09920000000000001
23,PARX,0.09920000000000001
23,JON_A,0.09920000000000001
23,2190L,0.09920000000000001
23,4808,0.09920000000000001
23,3127L,0.09920000000000001
23,7880C,0.09920000000000001
24,PARX,0.09920000000000001
24,JON_A,0.09920000000000001
24,2190L,0.09920000000000001
24,4808,0.09920000000000001
24,3127L,0.09920000000000001
24,7880C,0.09920000000000001
25,PARX,0.09920000000000001
25,JON_A,0.09920000000000001
25,2190L,0.09920000000000001
25,4808,0.09920000000000001
25,3127L,0.09920000000000001
25,7880C,0.09920000000000001
26,PARX,0.09920000000000001
26,JON_A,0.09920000000000001
26,2190L,0.09920000000000001
26,4808,0.09920000000000001
26,3127L,0.09920000000000001
26,7880C,0.09920000000000001
