variant,rows,columns,binary,nonzeros,percent_zero,build_seconds,lp_seconds,lp_objective,mip_seconds,mip_objective,mip_bound,fleet_proven,nodes,presolved_rows,presolved_columns,presolved_nonzeros,selected_indices,original_matrix_validation
original_minute,1789,321,321,44844,92.19111601009283,0.20722076576203108,0.04947272827848792,2.9999999999999956,0.33922021416947246,3.0,3.0,True,1.0,82,290,5009,199;274;315,True
identical_rows,303,321,321,10232,89.48006950227733,0.028327613603323698,0.015073102433234453,2.9999999999999956,0.05872593307867646,3.0,3.0,True,1.0,108,292,5596,199;274;315,True
endpoint_difference,307,593,321,7714,95.76272582957522,0.04239864321425557,0.01516684889793396,3.0,0.10023127682507038,3.0,3.0,True,1.0,131,403,6779,199;274;316,True
