Start Place,End Place,Base Duration,Energy used
12114,SAX,8.0,7.6
12115,12232,10.0,5.6
12115,12423,6.0,4.6
12115,12542,12.0,10.4
12115,12610,13.0,13.8
12115,12636,14.0,15.8
12115,12666,17.0,19.6
12115,12711,18.0,27.0
12115,12736,24.0,30.8
12115,12880,27.0,41.8
12115,18110,16.0,14.8
12115,2530,17.0,18.2
12115,2530C,17.0,18.2
12115,3127,17.0,14.8
12115,3127C,16.0,14.8
12115,4510,22.0,24.0
12115,4760,16.0,25.4
12115,4760C,16.0,25.4
12115,6125,21.0,36.4
12115,GVX,17.0,17.2
12115,HEDL,16.0,14.8
12115,HED_P,16.0,14.8
12115,MSTN_P,1.0,0.6
12115,MÖLCL,8.0,3.8
12115,MÖLC_P,3.0,1.6
12115,RÄX,6.0,5.0
12115,SAX,8.0,7.6
12128,12423,2.0,0.6
12128,RÄX,9.0,8.8
12128,SAX,11.0,11.2
12145,KEX,23.0,18.2
12145,KEXC,23.0,17.0
12145,RÄX,11.0,11.4
12145,SAX,13.0,16.0
12232,12423,12.0,8.8
12232,12542,13.0,10.4
12232,12610,15.0,18.4
12232,12636,20.0,19.6
12232,12666,22.0,25.6
12232,12711,18.0,25.2
12232,12736,25.0,31.4
12232,12880,28.0,46.6
12232,18110,20.0,18.6
12232,2530,15.0,17.2
12232,2530C,15.0,17.2
12232,3127,21.0,16.4
12232,3127C,15.0,16.4
12232,4510,13.0,9.4
12232,4760,15.0,18.4
12232,4760C,14.0,12.2
12232,6125,22.0,34.8
12232,GVX,13.0,16.6
12232,HEDL,15.0,16.4
12232,HED_P,15.0,16.4
12232,MÖLCL,9.0,6.0
12232,MÖLC_P,8.0,3.8
12232,RÄX,12.0,8.4
12232,SAX,14.0,11.0
12312,RÄX,1.0,0.4
12312,SAX,2.0,2.6
12329,RÄX,13.0,14.0
12329,SAX,10.0,11.4
12330,RÄX,10.0,11.4
12330,SAX,8.0,8.8
12337,RÄX,6.0,7.758
12337,SAX,4.0,5.158
12342,3127,23.0,19.0
12344,3127,22.0,18.2
12349,RÄX,14.0,15.2
12349,SAX,12.0,12.6
12411,RÄX,11.0,10.886
12411,SAX,13.0,13.486
12423,12542,9.0,7.8
12423,12610,15.0,17.8
12423,12636,17.0,19.4
12423,12666,22.0,24.4
12423,12711,19.0,30.6
12423,12736,23.0,34.2
12423,12880,28.0,38.6
12423,18110,10.0,10.6
12423,2530,16.0,22.0
12423,2530C,16.0,22.0
12423,3127,20.0,20.6
12423,3127C,16.0,20.6
12423,4510,19.0,17.4
12423,4760,19.0,28.6
12423,4760C,19.0,28.6
12423,6125,24.0,39.8
12423,GVX,17.0,21.6
12423,HEDL,16.0,20.6
12423,HED_P,16.0,20.6
12423,MÖLCL,13.0,9.6
12423,MÖLC_P,9.0,6.0
12423,RÄX,11.0,8.6
12423,SAX,13.0,11.2
12510,3127,15.0,15.4
12510,RÄX,8.0,7.8
12510,SAX,10.0,10.4
12542,12610,17.0,21.4
12542,12636,19.0,23.2
12542,12666,24.0,29.6
12542,12711,21.0,29.4
12542,12736,25.0,38.0
12542,12880,26.0,37.6
12542,18110,10.0,10.8
12542,2530,20.0,26.8
12542,2530C,20.0,26.8
12542,3127,16.0,16.0
12542,3127C,13.0,16.0
12542,4510,21.0,20.0
12542,4760,21.0,34.6
12542,4760C,21.0,34.6
12542,6125,27.0,44.8
12542,GVX,13.0,16.6
12542,HEDL,13.0,16.0
12542,HED_P,13.0,16.0
12542,MÖLCL,13.0,15.0
12542,MÖLC_P,13.0,9.6
12542,RÄX,20.0,20.6
12542,SAX,22.0,23.2
12610,12636,3.0,3.0
12610,12666,15.0,14.2
12610,12711,13.0,12.0
12610,12736,16.0,15.8
12610,12880,23.0,32.4
12610,18110,22.0,28.0
12610,2530,16.0,25.4
12610,2530C,15.0,25.0
12610,3127,20.0,25.6
12610,3127C,20.0,25.6
12610,4510,19.0,31.6
12610,4760,19.0,31.6
12610,4760C,19.0,31.6
12610,6125,20.0,26.0
12610,GVX,21.0,28.0
12610,HEDL,20.0,25.6
12610,HED_P,20.0,25.6
12610,KS_P,90.0,0
12610,MÖLCL,15.0,21.6
12610,MÖLC_P,13.0,13.4
12610,RÄX,8.0,9.8
12610,SAX,6.0,7.2
12636,12636P,0,0
12636,12666,19.0,16.6
12636,12711,20.0,25.2
12636,12736,19.0,17.2
12636,12880,17.0,24.2
12636,18110,30.0,29.2
12636,2530,20.0,27.2
12636,2530C,20.0,27.2
12636,3127,23.0,28.0
12636,3127C,23.0,28.0
12636,4510,26.0,33.2
12636,4760,21.0,33.2
12636,4760C,21.0,33.2
12636,6125,22.0,28.4
12636,GVX,24.0,30.4
12636,HEDL,23.0,28.0
12636,HED_P,23.0,28.0
12636,KRGL,1.0,0.2
12636,KRG_P,0,0
12636,KS_B,8.0,8.6
12636,KS_E,8.0,8.6
12636,KS_G,6.0,6.8
12636,KS_H,6.0,6.8
12636,MÖLCL,20.0,15.0
12636,MÖLC_P,15.0,15.0
12636,RÄX,13.0,12.2
12636,SAX,11.0,9.6
12636C,4760C,21.0,33.2
12644,RÄX,9.0,10.2
12644,SAX,7.0,7.6
12662,RÄX,10.0,13.6
12662,SAX,8.0,11.0
12666,12711,15.0,16.4
12666,12736,16.0,17.2
12666,12880,23.0,32.6
12666,18110,28.0,34.8
12666,2530,22.0,33.2
12666,2530C,22.0,33.2
12666,3127,27.0,35.6
12666,3127C,25.0,34.8
12666,4510,25.0,39.8
12666,4760,25.0,39.8
12666,4760C,25.0,39.8
12666,6125,22.0,32.0
12666,HEDL,25.0,34.8
12666,HED_P,25.0,34.8
12666,MÖLCL,18.0,21.6
12666,MÖLC_P,20.0,21.6
12666,RÄX,12.0,15.8
12666,SAX,10.0,13.2
12710,RÄX,13.0,19.0
12710,SAX,11.0,16.4
12711,12736,6.0,4.4
12711,12880,15.0,24.2
12711,18110,27.0,37.6
12711,2530,20.0,35.6
12711,2530C,20.0,35.6
12711,3127,31.0,37.6
12711,3127C,31.0,37.6
12711,4510,25.0,41.8
12711,4760,22.0,35.0
12711,4760C,22.0,35.0
12711,6125,17.0,20.6
12711,GVX,28.0,40.8
12711,HEDL,31.0,37.6
12711,HED_P,31.0,37.6
12711,MÖLCL,22.0,14.4
12711,MÖLC_P,16.0,14.4
12711,RÄX,17.0,22.6
12711,SAX,15.0,20.0
12730,RÄX,13.0,19.4
12730,SAX,11.0,16.8
12736,12880,15.0,23.0
12736,18110,26.0,33.8
12736,2530,28.0,39.6
12736,2530C,28.0,39.6
12736,3127,40.0,41.6
12736,3127C,35.0,41.6
12736,4510,35.0,45.8
12736,4760,26.0,48.2
12736,4760C,26.0,48.2
12736,6125,17.0,21.6
12736,GVX,31.0,43.6
12736,HEDL,40.0,41.6
12736,HED_P,40.0,41.6
12736,MÖLCL,28.0,27.2
12736,MÖLC_P,22.0,27.2
12736,RÄX,20.0,25.4
12736,SAX,18.0,22.8
12750,RÄX,10.0,14.4
12750,SAX,9.0,11.8
12766,RÄX,15.0,24.0
12766,SAX,13.0,21.4
12810,RÄX,23.0,34.4
12810,SAX,21.0,31.8
12811,RÄX,20.0,35.8
12811,SAX,18.0,33.2
12880,18110,22.0,28.2
12880,2530,35.0,54.6
12880,2530C,35.0,54.6
12880,3127,45.0,56.6
12880,3127C,45.0,56.6
12880,4510,35.0,60.4
12880,4760,32.0,61.4
12880,4760C,32.0,61.4
12880,6125,25.0,40.6
12880,GVX,33.0,57.2
12880,HEDL,45.0,56.6
12880,HED_P,45.0,56.6
12880,MÖLCL,23.0,41.6
12880,MÖLC_P,28.0,41.6
12880,RÄX,23.0,39.0
12880,SAX,24.0,36.4
1310,PARX,14.0,16.4
13138,PAGX,14.0,16.0
13138,PARX,13.0,15.4
13215,13311,6.0,5.2
13215,13329,7.0,7.0
13215,13330,8.0,6.4
13215,13410,9.0,11.6
13215,13410C,9.0,11.6
13215,13421,7.0,10.6
13215,13514,11.0,7.4
13215,13722,6.0,4.8
13215,14001,33.0,64.2
13215,14150,35.0,62.2
13215,14152,35.0,62.2
13215,14715,33.0,66.2
13215,17320,33.0,49.6
13215,18110,24.0,32.0
13215,18210,18.0,29.0
13215,18711,27.0,40.4
13215,19205,40.0,77.4
13215,19235,36.0,77.0
13215,3127,15.0,20.6
13215,3127C,16.0,20.6
13215,3180,20.0,28.2
13215,3215,34.0,60.8
13215,3860,24.0,37.2
13215,4485,36.0,57.0
13215,4490,19.0,30.0
13215,4510,20.0,24.6
13215,4524,18.0,24.6
13215,4760,26.0,38.6
13215,4945,17.0,20.8
13215,5147,24.0,28.4
13215,5180,15.0,19.6
13215,5421,28.0,42.0
13215,5865,38.0,67.8
13215,6125,30.0,69.6
13215,6225,21.0,37.4
13215,6480,13.0,16.2
13215,6650,23.0,37.2
13215,7300,16.0,21.0
13215,7488,30.0,44.0
13215,7492,30.0,47.6
13215,7880,8.0,10.8
13215,GRIX,22.0,27.2
13215,HED_P,14.0,20.6
13215,JON_P,9.0,11.6
13215,PAGX,6.0,3.4
13215,PARX,5.0,2.8
13215,PC_P,6.0,2.8
13215,PC_U,2.0,1.8
13240,PAGX,16.0,17.0
13240,PARX,16.0,16.4
13311,13410,6.0,6.8
13311,3127,14.0,25.2
13311,3127L,14.0,25.2
13311,6480,11.0,18.6
13311,7880,8.0,13.4
13311,PARX,6.0,5.6
13329,13410,10.0,10.0
13329,3127,18.0,27.4
13329,3127C,15.0,27.4
13329,6480,16.0,23.2
13329,7880,10.0,15.8
13329,7880C,10.0,15.8
13329,HED_P,15.0,27.4
13329,JON_P,10.0,10.0
13329,PARX,8.0,7.6
13330,3127,19.0,27.4
13330,3127C,19.0,27.4
13330,3860,21.0,37.0
13330,5180,26.0,31.0
13330,6480,13.0,21.8
13330,7300,23.0,25.2
13330,GRIX,23.0,31.0
13330,HED_P,19.0,25.8
13330,PARX,9.0,7.6
13410,13410C,1.0,0.2
13410,13421,6.0,3.8
13410,13514,7.0,10.2
13410,13722,6.0,7.6
13410,17320,19.0,38.4
13410,3127,19.0,28.8
13410,3127C,19.0,28.8
13410,6480,15.0,24.8
13410,7581,12.0,23.0
13410,7880,12.0,18.8
13410,HED_P,19.0,28.8
13410,JON_P,1.0,0.4
13410,PARX,12.0,12.8
13410C,13421,6.0,3.8
13410C,JON_P,1.0,0
13421,3127,18.0,27.0
13421,3127C,18.0,28.8
13421,6480,13.0,23.4
13421,7880,13.0,17.0
13421,7880C,13.0,17.0
13421,HED_P,18.0,27.0
13421,JON_P,6.0,3.8
13421,PARX,9.0,11.2
13514,17320,22.0,45.6
13514,18110,19.0,26.8
13514,18711,24.0,33.0
13514,19205,54.0,93.8
13514,19235,48.0,76.2
13514,3127,21.0,26.8
13514,3127C,21.0,27.0
13514,3180,22.0,26.8
13514,3215,35.0,62.4
13514,3860,24.0,38.0
13514,4485,36.0,64.8
13514,4490,19.0,28.2
13514,4510,19.0,32.2
13514,4760,32.0,41.2
13514,4945,24.0,26.8
13514,5147,24.0,32.0
13514,5180,28.0,32.0
13514,5421,29.0,47.6
13514,5865,44.0,66.6
