source_commit,source_artifact,physics_label,cell_id,target_fleet,representation_id,time_model,soc_step_kwh,block_min,L_model,L_model_certified,I_model_exact,I_model_lower,I_model_upper,I_model_proven,I_model_method,I_pool_exact,I_pool_lower,I_pool_upper,I_pool_proven,I_timed,timed_fleet_proven,proof_state,target_role,physical_witness_valid,source_cg_wall_s,source_cg_iterations,pool_columns,optimality_scope,model_evidence
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k02_s3,2,event_2p5_event5,event,2.5,5,1.9999999439999823,true,2,2,2,true,industrial_event_partition_sandwich,2,2,2,true,2,true,model_and_pool_proven,validated_same-model_upper_bound,true,557.5899436899344,673,15846,full_pool_lexicographic,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_a/model_witness/event/k02_s3/witness.json
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k02_s3,2,uniform_10_10,uniform,10,10,2.3797053449819874,true,,3,8,false,censored_after_sandwich_and_arcflow,8,8,8,true,8,true,pool_proven_model_open,industrial_comparator_only,true,48.35050238927943,510,1160,full_pool_lexicographic,
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k02_s3,2,uniform_4_5,uniform,4,5,2.0555554995556027,true,3,3,3,true,finite_pool_witness_sandwich,3,3,3,true,3,true,model_and_pool_proven,industrial_comparator_only,true,128.25274660490686,389,2796,full_pool_lexicographic,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_b/mip_native/uniform/k02_s3/uniform_4_5/mip.json
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k02_s3,2,uniform_2_5,uniform,2,5,1.9999999440000182,true,2,2,2,true,finite_pool_witness_sandwich,2,2,2,true,2,true,model_and_pool_proven,validated_same-model_upper_bound,true,341.4849266418023,522,7111,full_pool_lexicographic,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_b/mip_native/uniform/k02_s3/uniform_2_5/mip.json
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k02_s3,2,uniform_2_2,uniform,2,2,1.9999999439999643,true,2,2,2,true,industrial_uniform_partition_sandwich,2,2,2,true,2,true,model_and_pool_proven,validated_same-model_upper_bound,true,770.2071609683335,506,4994,full_pool_lexicographic,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_a/model_witness/uniform/k02_s3/uniform_2_2/witness-v2.json
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k02_s3,2,uniform_2_1,uniform,2,1,1.9999999439999885,true,2,2,2,true,industrial_uniform_partition_sandwich,3,3,3,true,3,true,model_and_pool_proven,validated_same-model_upper_bound,true,4144.799447307101,660,7108,full_pool_lexicographic,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_a/model_witness/uniform/k02_s3/uniform_2_1/witness-v2.json
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k03_s1,3,event_2p5_event5,event,2.5,5,2.999999939000001,true,3,3,3,true,industrial_event_partition_sandwich,3,3,3,true,3,true,model_and_pool_proven,validated_same-model_upper_bound,true,486.94799472310115,665,15168,full_pool_lexicographic,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_a/model_witness/event/k03_s1/witness.json
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k03_s1,3,uniform_10_10,uniform,10,10,3.209718609076744,true,,4,7,false,censored_after_sandwich_and_arcflow,7,7,7,true,7,true,pool_proven_model_open,industrial_comparator_only,true,59.38916779879946,475,4212,full_pool_lexicographic,
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k03_s1,3,uniform_4_5,uniform,4,5,2.999999938999988,true,,3,4,false,censored_after_sandwich_and_arcflow,4,4,4,true,4,true,pool_proven_model_open,industrial_comparator_only,true,248.7743586661527,648,8295,full_pool_lexicographic,
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k03_s1,3,uniform_2_5,uniform,2,5,2.999999939000031,true,,3,4,false,censored_after_sandwich_and_arcflow,4,4,4,true,4,true,pool_proven_model_open,industrial_comparator_only,true,379.13762476152624,524,9846,full_pool_lexicographic,
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k03_s1,3,uniform_2_2,uniform,2,2,2.9999999389999292,true,3,3,3,true,industrial_uniform_partition_sandwich,4,4,4,true,4,true,model_and_pool_proven,validated_same-model_upper_bound,true,2099.350616915908,701,8431,full_pool_lexicographic,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_a/model_witness/uniform/k03_s1/uniform_2_2/witness-v2.json
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k03_s1,3,uniform_2_1,uniform,2,1,2.9999999390000007,true,3,3,3,true,industrial_uniform_partition_sandwich,3,3,3,true,3,true,model_and_pool_proven,validated_same-model_upper_bound,true,7757.8311438218225,987,8466,full_pool_lexicographic,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_a/model_witness/uniform/k03_s1/uniform_2_1/witness-v2.json
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k03_s2,3,event_2p5_event5,event,2.5,5,2.9999999290000017,true,3,3,3,true,industrial_event_partition_sandwich,3,3,3,true,3,true,model_and_pool_proven,validated_same-model_upper_bound,true,750.7859043911449,758,20753,full_pool_lexicographic,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_a/model_witness/event/k03_s2/witness.json
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k03_s2,3,uniform_10_10,uniform,10,10,3.5919304703687263,true,,4,10,false,censored_after_sandwich_and_arcflow,10,10,10,true,10,true,pool_proven_model_open,industrial_comparator_only,true,85.41628742837929,532,5223,full_pool_lexicographic,
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k03_s2,3,uniform_4_5,uniform,4,5,3.1558440848441194,true,,4,5,false,censored_after_sandwich_and_arcflow,5,5,5,true,5,true,pool_proven_model_open,industrial_comparator_only,true,319.7909308829694,701,6777,full_pool_lexicographic,
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k03_s2,3,uniform_2_5,uniform,2,5,3.1249999289999915,true,4,4,4,true,finite_pool_witness_sandwich,4,4,4,true,4,true,model_and_pool_proven,industrial_comparator_only,true,1394.696483287902,1143,18729,full_pool_lexicographic,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_a/mip_native/uniform/k03_s2/uniform_2_5/mip.json
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k03_s2,3,uniform_2_2,uniform,2,2,2.9999999290000003,true,3,3,3,true,industrial_uniform_partition_sandwich,3,3,3,true,3,true,model_and_pool_proven,validated_same-model_upper_bound,true,3110.538508093159,913,10143,full_pool_lexicographic,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_a/model_witness/uniform/k03_s2/uniform_2_2/witness-v2.json
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k03_s2,3,uniform_2_1,uniform,2,1,2.9999999290000363,true,3,3,3,true,industrial_uniform_partition_sandwich,3,3,3,true,3,true,model_and_pool_proven,validated_same-model_upper_bound,true,18928.629194629902,1411,10397,full_pool_lexicographic,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_a/model_witness/uniform/k03_s2/uniform_2_1/witness-v2.json
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k03_s3,3,event_2p5_event5,event,2.5,5,2.999999953000008,true,3,3,3,true,industrial_event_partition_sandwich,3,3,3,true,3,true,model_and_pool_proven,validated_same-model_upper_bound,true,236.1006106560235,627,7654,full_pool_lexicographic,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_a/model_witness/event/k03_s3/witness.json
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k03_s3,3,uniform_10_10,uniform,10,10,2.9999999529999966,true,3,3,3,true,finite_pool_witness_sandwich,3,3,3,true,3,true,model_and_pool_proven,validated_same-model_upper_bound,true,21.50318227338721,230,4944,full_pool_lexicographic,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_b/mip_native/uniform/k03_s3/uniform_10_10/mip.json
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k03_s3,3,uniform_4_5,uniform,4,5,2.9999999530000743,true,3,3,3,true,finite_pool_witness_sandwich,3,3,3,true,3,true,model_and_pool_proven,validated_same-model_upper_bound,true,54.58385263662785,233,4762,full_pool_lexicographic,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_b/mip_native/uniform/k03_s3/uniform_4_5/mip.json
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k03_s3,3,uniform_2_5,uniform,2,5,2.9999999529999934,true,3,3,3,true,finite_pool_witness_sandwich,3,3,3,true,3,true,model_and_pool_proven,validated_same-model_upper_bound,true,112.33277263358468,263,6536,full_pool_lexicographic,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_b/mip_native/uniform/k03_s3/uniform_2_5/mip.json
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k03_s3,3,uniform_2_2,uniform,2,2,2.999999952999996,true,3,3,3,true,industrial_uniform_partition_sandwich,3,3,3,true,3,true,model_and_pool_proven,validated_same-model_upper_bound,true,518.0868673520454,528,7554,full_pool_lexicographic,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_a/model_witness/uniform/k03_s3/uniform_2_2/witness-v2.json
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k03_s3,3,uniform_2_1,uniform,2,1,2.9999999529999957,true,3,3,3,true,industrial_uniform_partition_sandwich,3,3,3,true,3,true,model_and_pool_proven,validated_same-model_upper_bound,true,783.1821204476291,415,4965,full_pool_lexicographic,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_a/model_witness/uniform/k03_s3/uniform_2_1/witness-v2.json
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k05_s1,5,event_2p5_event5,event,2.5,5,4.999999895000181,true,5,5,5,true,industrial_event_partition_sandwich,5,5,5,true,5,true,model_and_pool_proven,validated_same-model_upper_bound,true,5250.275371580035,1908,52601,fleet_only,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_a/model_witness/event/k05_s1/witness.json
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k05_s1,5,uniform_10_10,uniform,10,10,5.576523889811922,true,,6,14,false,censored_after_sandwich_and_arcflow,,7,14,false,14,false,model_and_pool_open,industrial_comparator_only,true,254.80141425898182,598,16608,none,
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k05_s1,5,uniform_4_5,uniform,4,5,5.142857037857117,true,6,6,6,true,finite_pool_witness_sandwich,6,6,6,true,7,false,model_and_pool_proven,industrial_comparator_only,true,779.9299833421537,847,22088,none,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_a/target/uniform/k05_s1/uniform_4_5/target.json
