source_commit,source_artifact,physics_label,cell_id,grid,target_fleet,L_model,I_model_exact,I_model_lower,I_model_upper,I_model_proven,I_pool_reported,status
585f98c01fcba562bca8e28bde10f969bcd68b3d,analysis/arcflow_oracle_20260820/results.csv,historical_300kWh_battery_300kW_charger_zero_reserve,k02_s1,15kWh/10min,2,2.181818182,3,3,3,true,4,fleet_proven_LP_plus_integral_witness;cost_limit
585f98c01fcba562bca8e28bde10f969bcd68b3d,analysis/arcflow_oracle_20260820/results.csv,historical_300kWh_battery_300kW_charger_zero_reserve,k02_s2,15kWh/10min,2,2.1875,3,3,3,true,4,fleet_proven;fixed_fleet_cost_optimal;agrees_corrected_branch_and_price
585f98c01fcba562bca8e28bde10f969bcd68b3d,analysis/arcflow_oracle_20260820/results.csv,historical_300kWh_battery_300kW_charger_zero_reserve,k02_s3,15kWh/10min,2,2.274725275,3,3,3,true,7,fleet_proven_LP_plus_integral_witness;cost_limit
585f98c01fcba562bca8e28bde10f969bcd68b3d,analysis/arcflow_oracle_20260820/results.csv,historical_300kWh_battery_300kW_charger_zero_reserve,k03_s1,15kWh/10min,3,3.181818182,4,4,4,true,5,fleet_proven_LP_plus_integral_witness;cost_limit
585f98c01fcba562bca8e28bde10f969bcd68b3d,analysis/arcflow_oracle_20260820/results.csv,historical_300kWh_battery_300kW_charger_zero_reserve,k03_s2,15kWh/10min,3,3.404697987,4,4,4,true,10,fleet_proven_LP_plus_integral_witness;cost_limit
585f98c01fcba562bca8e28bde10f969bcd68b3d,analysis/arcflow_oracle_20260820/results.csv,historical_300kWh_battery_300kW_charger_zero_reserve,k03_s3,15kWh/10min,3,3,3,3,3,true,4,fleet_proven;fixed_fleet_cost_optimal
585f98c01fcba562bca8e28bde10f969bcd68b3d,analysis/arcflow_oracle_20260820/results.csv,historical_300kWh_battery_300kW_charger_zero_reserve,k05_s1,15kWh/10min,5,5.323651452,,6,11,false,11,integer_limit_no_incumbent;true_fleet_6_to_11
585f98c01fcba562bca8e28bde10f969bcd68b3d,analysis/arcflow_oracle_20260820/results.csv,historical_300kWh_battery_300kW_charger_zero_reserve,k05_s2,15kWh/10min,5,5,5,5,5,true,6,fleet_proven_LP_plus_integral_witness;cost_limit
585f98c01fcba562bca8e28bde10f969bcd68b3d,analysis/arcflow_oracle_20260820/results.csv,historical_300kWh_battery_300kW_charger_zero_reserve,k05_s3,15kWh/10min,5,5,,5,,false,,integer_limit_no_incumbent;true_fleet_at_least_5
