campaign,case_id,partitions,target,buses,pool_bound,pool_integer_bound,fleet_proved,replay,best_contributing_fleet,result_path,result_sha256,source_status_sha256,source_journal_sha256,improves_contributing_fleet
decomposition_pool_union_20260914,m_p01,1,32,35,35.0,35,True,True,35,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p01/mip_result.json,18fc2aeae8ede9335251e4508d1a54d7eac5db06304b9643ece6b19efed0d246,71d0153a0c1fe0d0a38733068a3d0151c770c98e8baa2e5b26ac2b592be2a4ed,0de8b032d43b9213f6faf1345eb949e152a2f0c10117c474c51d41f4206a9674,False
decomposition_pool_union_20260914,m_p01_p02,2,32,35,35.0,35,True,True,35,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p01_p02/mip_result.json,0ded5925536a4e1c55df27f40862df0272814ae56756e3959e79d88fbc767913,9e81a367e7cec318d716fc4814a0c30c5b700c19cfcdf85f8c0ae021f4173877,37826df8bb8297a23564473fafdd62e5b148e0aef68031ecc1c4a6bf05f62656,False
decomposition_pool_union_20260914,m_p01_p03,2,32,35,35.0,35,True,True,35,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p01_p03/mip_result.json,d0c394ea53a452447a91252517f76a7efda0af57493037a19710ac03062ebd24,93477720c017e83bad4a0d4afb36f3ff1736677a37e408f6a15a8db87036d741,d00844133138d3243c03580cf7d7f499038a4a323a846bd9769d99d2e375e57e,False
decomposition_pool_union_20260914,m_p01_p04,2,32,35,35.0,35,True,True,35,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p01_p04/mip_result.json,b50650c13f39330f8885a6bd994648af9430f251de45455172130e2cae10062a,53de22272b1b00c3252e73678f4b70daef5a564d35f30c7ca48ffe16e169d2c0,8f1228c3eff1902a30d9a8c80d0627530e1fbf86a37f46aeaa025c6e1cbbabec,False
decomposition_pool_union_20260914,m_p01_p05,2,32,35,35.0,35,True,True,35,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p01_p05/mip_result.json,02ffdfa73850d335ec43d8aa5856a6f34244f05cdf55b7fa9b1b0b6275a8f7bc,8fd033c8dc58ab25a0ab3bfe31dc52f261f7e247a2219289a00d726da8ec6f73,1f154e12f7480924b4463483d37009411332b3d8315094418f38af9364b82fcb,False
decomposition_pool_union_20260914,m_p01_p06,2,32,35,35.0,35,True,True,35,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p01_p06/mip_result.json,fb63bf39524f2849e0d8ab848c1de574203f46892ceeca47240c01c92dbb3426,bac6b148a03ca43fa8e0f1fdf299b2447e8bc5e0d1afd7c99f648a10727937d7,e8dd4e1d0aed5074703f858546703a8ae5be364937f27fdc731927c575e2c3c4,False
decomposition_pool_union_20260914,m_p01_p07,2,32,34,34.0,34,True,True,34,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p01_p07/mip_result.json,fa9d9a09169322625bb91c1a8678d56ad2401012cdbfb2af984dda6ae28f452a,337f224dfd258c86810543bad237b86a87f354604380993da0ec3137adc694bb,a6f08cd29959e5a3aa8f08bef331c745783087b0623a0307f3604e936259cec9,False
decomposition_pool_union_20260914,m_p01_p08,2,32,35,35.0,35,True,True,35,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p01_p08/mip_result.json,511d4912555a74562b05eceaedc7475bd30957fa3e274225f0b70716e41f43bf,de012190bcc94f739ccf4a57b84f8c07c4fc54810976b2e4abaed1b30356f729,b91106bf38a7c19d92b81cbe71ee60296126509ff033ddd49391afa0af95b440,False
decomposition_pool_union_20260914,m_p01_p09,2,32,35,35.0,35,True,True,35,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p01_p09/mip_result.json,751c1a8c32bd38ae52f767b886731e425ca6dd91bd4fdcf91296752b055a5d2d,10eda91ff7240a5a0caf98786b9045a6250c2a60910d4af4394a74171c0e0bda,a0834065c30408905d1d7f24427201f8c403f1178b36b1da97bd0647fca03d62,False
decomposition_pool_union_20260914,m_p02,1,32,35,35.0,35,True,True,35,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p02/mip_result.json,d4648c6332d02d26b431c054bb235f6e67cc32b10e599c18acff99cfbe7c8b0e,a5232f2bf2d3f9f3fec57b5b9591b8e26e4bd8b0936b75f70289231be8ccb951,69d8cb2d74caa76e691014621c82a4d5dab45b1c38acd3a907e9481502cf8a53,False
decomposition_pool_union_20260914,m_p02_p03,2,32,35,35.0,35,True,True,35,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p02_p03/mip_result.json,7a09960a7130622317338bbc99aa4a9d0aa88240f1507682a5dc0e8e747a7caf,07f94ceb8b1ee2ca3274b1feb57b598018c690ea40f9a850d4a64294f472948a,1886ce17d26f470f3b90af2eeb2617736138c3f7dbb33962ed310d20581becd4,False
decomposition_pool_union_20260914,m_p02_p04,2,32,35,35.0,35,True,True,35,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p02_p04/mip_result.json,e57477acb4d235da7fbd3cafbc259c3ff9d267d4d1358ca3b35d3808852c8f25,eb1cbf193ec115a7afd32786c86bfe49efae88f2317ad39c9b5d05338137c9d5,8fa27a8a825edaaf29ab4410cf122b3953c219d3ad626e57d808a910d09c2410,False
decomposition_pool_union_20260914,m_p02_p05,2,32,35,35.0,35,True,True,35,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p02_p05/mip_result.json,38edf8210d6efa4cd6620dcfba22096f3ddb9bb73335b06e12e63a4a55116510,5cd7d4ea69a847ea75dee9e846820cff7a4464a6dfe1e0d1ef5517658cf0392b,de6c3c97d8f9a37e1b4fa34d97bc3503862cb7b1d7debf41e6d8b6000ddab8aa,False
decomposition_pool_union_20260914,m_p02_p06,2,32,35,35.0,35,True,True,35,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p02_p06/mip_result.json,c28887bade86b73018908eeb80d8b90f8e7f7a90647cd5b1bc09c1e30fcba38c,4ad2997489230a34392922ddd04d0cbd8220070015fb7100093a592e2296583f,b5aa4c5a75a55b6aa7d51246c318120df8048d0dddf57217b04c187a65381771,False
decomposition_pool_union_20260914,m_p02_p07,2,32,34,34.0,34,True,True,34,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p02_p07/mip_result.json,2475e4ba283c42726ef3226b7d9ffebee2cb815f367887f9d42509660cad7b94,356a5fbffdfcbf2c38e6727dd6285e0739b3e0d3d10d4efcf504827ac8ada199,55f51bffdfdd72911eec578741dfd99d8ef8b247eceaa3959911d5c4d7fd8791,False
decomposition_pool_union_20260914,m_p02_p08,2,32,35,35.0,35,True,True,35,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p02_p08/mip_result.json,44b16ccd33fced780bbd1ab6a3420b8b0699d59bd0e156fc49e3858b0a06a453,49cc89af7ff896508b6cf20975a79d187913a4f2f3607d470aeb12324ae2dc7e,1cf3b416adc798783a2ea1f32861390732fa6143453b783ebed203f2d4ee8d83,False
decomposition_pool_union_20260914,m_p02_p09,2,32,35,35.0,35,True,True,35,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p02_p09/mip_result.json,6d68bcbd8e00fbef186ced8c32e2d74d178dbb618bf7121e17f236080798b94f,6009d89a15e55e2289481182e5e0ecb9cbc5ed90b884bea7aa74338211a5a3e7,3ca1d62187157e8fcaf38b267a2343ee90a386c24ebc0bafad0a27e1593ae447,False
decomposition_pool_union_20260914,m_p03,1,32,36,36.0,36,True,True,36,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p03/mip_result.json,56a6c68e3dc6f13a634a6d8a33c8dd5758ac6959ce8d2319934d3130af863e8c,dac70385a861c030748eb09d031cc426f28de0c48571378d8866130a1f8a0e37,f8d682db110eeccc2bffd49a8df2db43494bebd3e6dbfcb14187cb877ec6c2bc,False
decomposition_pool_union_20260914,m_p03_p04,2,32,35,35.0,35,True,True,35,/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p03_p04/mip_result.json,14eab639ef25c25deeabbb3641484946533826869786375070c425801e40f060,edfbc7af7720374048cdbcd7cadf5a9df859d572a50aad43351b92186880be5d,532130306a97e5a9416de86a354c3edd63a28f95b04accd714dd1d4bbaf9d1a7,False
