case	arm	seed	job_id
c1_k15	control	20260921	704510
c1_k15	treatment	20260921	704511
c3_k15	control	20260921	704512
c3_k15	treatment	20260921	704513
c5_k15	control	20260921	704514
c5_k15	treatment	20260921	704515
