case_id,target_k,mip_incumbent_fleet,mip_bound_fleet,fleet_proven,runtime_s,pool_size,physical_selected_validated,full_model_lp_certified,job_ids,source_path,source_sha256
m_p04_p05,32,35,35.0,True,8.735966205131263,4131,True,,['190212'],/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p04_p05/mip_result.json,f7c53cc3114e608c9f531830bf3d3db2242062994c048c19cbcb1600b960482d
m_p04_p06,32,35,35.0,True,13.559492444153875,4131,True,,['190213'],/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p04_p06/mip_result.json,4b2d15601c8f7f9db3f67e77673fe9882afc444a319fe39417941dbf85f503fe
m_p04_p07,32,34,34.0,True,9.334114416968077,4130,True,,['190214'],/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p04_p07/mip_result.json,d4e758a015f0227cedea3ec2fda6c6780b814846011dbaea53447896ab83b910
m_p04_p08,32,35,35.0,True,11.439424261916429,4131,True,,['190215'],/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p04_p08/mip_result.json,a46a741ef2e6913f7446c5bef5ada54e68df0afd21c79b461118038ccfcc53ef
m_p04_p09,32,35,35.0,True,8.593023675959557,4131,True,,['190216'],/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p04_p09/mip_result.json,0e0fc29386d01dcb71eb70bdf17e44dbda43a8a4be42118b86b4c7bbb692625d
m_p05,32,35,35.0,True,5.732992619043216,2083,True,,['190186'],/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p05/mip_result.json,c745a4c99a9664eb58fd51125cee89ce9a8e7f783da3bb8c066cf336c9f02369
m_p05_p06,32,35,35.0,True,20.437092653941363,4131,True,,['190217'],/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p05_p06/mip_result.json,9b14ccc4776d0da960229824baa926692a061d7960456c6c808dcfea87bd9a07
m_p05_p07,32,34,34.0,True,9.199315214995295,4130,True,,['190218'],/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p05_p07/mip_result.json,76302b743c45d4d40df5104cc1ef86e46dd22dccc0c48adc022d6b97d39bcd39
m_p05_p08,32,35,35.0,True,11.488690239842981,4131,True,,['190219'],/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p05_p08/mip_result.json,56adb1dd159045d96f1e64bcc023a9b68b3c93095f18ed11d61e0ce9479edecb
m_p05_p09,32,35,35.0,True,7.132864798884839,4131,True,,['190220'],/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p05_p09/mip_result.json,a4838a90c85ff64f3f68b7943f2c0fa9a5a13511c89b016b50a42f464639ff13
m_p06,32,36,36.0,True,6.761808203999976,2084,True,,['190187'],/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p06/mip_result.json,eb6cf15fa0b746ebade7a3be38cce0118f46730dae172350f1d938d300c0560c
m_p06_p07,32,34,34.0,True,8.683623439166695,4130,True,,['190221'],/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p06_p07/mip_result.json,d5cbefc41ee198cef24b0a2098640f8f5c48ff0581c6cde779164aaf831b4470
m_p06_p08,32,36,36.0,True,12.256681691389531,4132,True,,['190222'],/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p06_p08/mip_result.json,35b4eea27abfc3e729ca66e2e91aae8558099a8fe1f2237e908853f6ff1abd35
m_p06_p09,32,35,35.0,True,10.648552975151688,4131,True,,['190223'],/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p06_p09/mip_result.json,00b1b1e439c422fcebc38b1e1692ef55994cdc22ac1a6fc8e1c683a133c546c6
m_p07,32,34,34.0,True,6.623896564000006,2082,True,,['190188'],/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p07/mip_result.json,c8eb5032098c5c2ab8f0040709513be73c8d08d073a57faff785ed45eeeff762
m_p07_p08,32,34,34.0,True,8.068712466862053,4130,True,,['190224'],/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p07_p08/mip_result.json,18ae0c1b1cee2c7687694fadc51a841633e9c8a984e6b6a7aeb4a346a1b7c772
m_p07_p09,32,34,34.0,True,9.89714973513037,4130,True,,['190225'],/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p07_p09/mip_result.json,306f390b5fa7ffe3953fad65ab96ce948984fadb88b3f65f5618f0db7fd74d97
m_p08,32,37,37.0,True,6.636739899999952,2085,True,,['190189'],/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p08/mip_result.json,9864ae2f42408e7bdbe7bb2b7ecfec7f050a5878e1e7dc90727580b5e08775e6
m_p08_p09,32,35,35.0,True,8.648537294007838,4131,True,,['190226'],/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p08_p09/mip_result.json,f01a9395e9b3832ede8968c4be534d44377f76ab428591c048eed431401ddf7c
m_p09,32,35,35.0,True,6.507622668999943,2083,True,,['190190'],/home/nc437/ladder-lite/decomposition_pool_union_20260914/cases/m_p09/mip_result.json,c15178caddff69c10ac64b7f7ffc7d3bb8739b5265abec691f004962142ada43
