case,job,target_duties,trips,iterations,pricing_certified,stop_reason,route_weight,weighted_RMP,last_pricing_min_rc,artificials,graph_original_build_s,cache_io_s,reported_cg_wall_s,wrapper_wall_s,scheduler_elapsed,app_RUSAGE_SELF_peak_mb,slurm_batch_MaxRSS,git_dirty_reported,saved_positive_objective_delta,saved_positive_weight_delta,reported_max_bound_violation,reported_feasibility_tolerance,result_sha256
w1_k34,661620,34,821,68,False,wall_limit,33.00000000000009,3301488.163687474,-64.37106180587394,0.0,60440.02366399765,127.62369799613953,14399.086551973596,14653.01294207573,04:04:30,48189.66015625,272141328K,True,5.397014319896698e-07,5.3930193644191604e-12,8.362584416424272e-13,1e-06,f1f701298ae454c0bb498b70abd41a9963217d86acaa87636cb0eaab71ba0e85
w2_k33,661636,33,787,138,False,wall_limit,31.9999999999998,3201358.3634775938,-2.0078755777917685,0.0,48761.8790435791,103.45683646202087,14394.130497627426,14500.459961652756,04:01:47,44528.6484375,241963544K,True,0.03753763297572732,3.751601767021384e-07,3.751559720223936e-07,1e-06,e8f1a121dc06f999d89830b98c6d86ef3909b481b4c46f94ec33dc05b3db1c7d
w3_k34,661670,34,797,198,False,wall_limit,33.99999999999996,3401433.1389859784,-0.012311815516451663,0.0,57497.855086803436,142.83067965507507,14393.84739229735,14628.859277248383,04:04:04,45005.53125,240367976K,True,6.901100277900696e-07,6.899369964230573e-12,3.713313997620493e-13,1e-06,6f11e5aca5d342b72c624a3ab5107552a47563157790ab0f1a9235dc752c25a4
w4_k34,661693,34,816,197,False,wall_limit,33.00000000000023,3301451.696199127,-0.2040937174261428,0.0,35256.32660651207,109.43217158317566,14394.984122990165,14517.27136874199,04:02:06,47671.2578125,262891036K,True,3.7439167499542236e-07,3.737454790098127e-12,2.4752422334017865e-13,1e-06,71da7e9670a6d489055cc05769120a87a0dcc5f325754093e5ead4150ebf8f23
w6_k33,661724,33,796,149,False,wall_limit,31.999999999999794,3201471.514998098,-1.5525381160176188,0.0,54351.12718462944,101.08437943458557,14394.553510105237,14485.512506008148,04:01:35,44950.82421875,247936588K,True,7.492490112781525e-07,7.489120434911456e-12,6.076320002712521e-13,1e-06,0b43b3848f562384afd149cead16d48e5035d60659dd72f990ff342dbfd25d20
