case_id,trip_count,station_count,route_count,soc_step,delayed_charging,tariff_shape,station_reachability_density,lp_agrees,integer_agrees,pricing_agrees,agreement,pricing_samples,pricing_max_absolute_error,cg_pool_columns,bnp_nodes,arc_variables,wall_s
random_0047,14,1,1653,1.0,True,time_varying,0.6071428571428571,True,True,True,True,32,5.820766091346741e-11,138,5,2859,0.62238335100119
random_0048,14,2,11125,1.0,True,flat,0.8928571428571429,True,False,True,False,32,1.1641532182693481e-10,230,6,5201,2.2944938970031217
random_0049,10,1,455,1.0,False,flat,0.8,True,True,True,True,32,4.3655745685100555e-11,85,3,501,0.10666576999938115
random_0050,11,2,1387,1.0,True,flat,0.6136363636363636,True,True,True,True,32,5.820766091346741e-11,72,3,3372,0.6573672710001119
random_0051,10,2,613,1.0,True,flat,0.525,True,True,True,True,32,1.1641532182693481e-10,80,3,2318,0.39951899100560695
random_0052,8,1,16,0.5,True,flat,0.4375,True,True,True,True,32,2.1827872842550278e-11,14,2,319,0.03082256199559197
random_0053,9,1,74,0.5,False,time_varying,0.5,True,True,True,True,32,5.820766091346741e-11,39,1,206,0.031598432004102506
random_0054,13,1,1233,2.0,True,time_varying,0.5,True,True,True,True,32,1.7462298274040222e-10,119,11,1720,0.3806393720005872
random_0055,11,2,492,1.0,True,time_varying,0.5,True,True,True,True,32,1.1641532182693481e-10,86,1,2593,0.31936181699711597
random_0056,12,1,1389,2.0,True,flat,0.5833333333333334,True,True,True,True,32,5.820766091346741e-11,139,8,1810,0.44326924600318307
random_0057,11,1,548,0.5,True,time_varying,0.7272727272727273,True,True,True,True,32,5.820766091346741e-11,85,1,1500,0.17616562300099758
random_0058,11,2,952,1.0,False,flat,0.7272727272727273,True,True,True,True,32,5.820766091346741e-11,86,2,840,0.15360145999875385
random_0059,11,1,435,1.0,False,time_varying,0.5,True,True,True,True,32,5.820766091346741e-11,83,2,419,0.07951950599817792
random_0060,10,1,174,1.0,False,flat,0.65,True,True,True,True,32,5.820766091346741e-11,76,7,464,0.12622880099661415
random_0061,14,2,6600,1.0,True,flat,0.5892857142857143,True,True,True,True,32,1.1641532182693481e-10,279,7,4701,1.6699534419967677
random_0062,8,2,17,0.5,True,time_varying,0.25,True,True,True,True,32,1.4551915228366852e-11,15,1,244,0.02650435500254389
random_0063,13,1,74,1.0,True,flat,0.38461538461538464,True,True,True,True,32,5.820766091346741e-11,35,1,850,0.05127406900282949
random_0064,12,1,256,2.0,False,time_varying,0.375,True,True,True,True,32,1.1641532182693481e-10,65,1,467,0.052946927993616555
random_0065,12,1,480,1.0,True,flat,0.7083333333333334,True,True,True,True,32,1.1641532182693481e-10,40,1,1535,0.16776670100080082
random_0066,10,1,536,0.5,False,time_varying,0.65,True,True,True,True,32,5.820766091346741e-11,102,3,635,0.15124345399817685
random_0067,12,1,845,0.5,False,time_varying,0.4166666666666667,True,True,True,True,32,1.1641532182693481e-10,137,2,725,0.17328852399805328
