instance,instance_path,time_model,soc_step_kwh,uniform_containment_min,certified_lp,certified,dag_nodes,dag_arcs,arc_mode,packed_arc_bytes,iterations,wall_s,peak_rss_mib,physical_journal_records,physical_rejections,positive_lp_witnesses,producer_commit,audit_commit
k02_s3,scale_ladder/instances/Practice_Custom_DutyUnion_k02_r3.csv,event,2.5,5,2.0,True,5077,7810190,lazy,124963040,673,557.1835843378212,671.06640625,15882,0,2,ba9c17c8bb1ba0604bebe6f8f9e0291c1971140d,f7baa6221f2ab87074c57964c7f1de4f13d7900a
k05_s2,tariff_response/frozen_instances/Practice_Custom_DutyUnion_k05_r2.csv,event,2.5,5,4.999999999999998,True,8784,22161911,lazy,354590576,639,1013.3299011030176,1069.1796875,16253,0,53,f0b482cf0390ae51ea091871785e70e38ff68671,f7baa6221f2ab87074c57964c7f1de4f13d7900a
