Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,4808,4:30,5:21,2190,21.25,42.5,0,1
Regular,GMV_H,6:03,6:27,PC_7,9.153,18.3059998,1,575
Regular,ÖS_H,7:34,7:57,PC_6,8.205,16.4099998,2,498
