arm,kind,from_code,to_code,start_min,end_min,travel_min,energy_kwh,distance_km,source,source_pointer,basis,static_model_comparison
original_giro_13414,Pull-out,PARX,4808,403,411,8,7.80000019,3.9,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,CSV line2169,original scheduled directional movement; may reflect departure-time DHD interval,"{""travel_min"": 7.0, ""energy_kwh"": 7.8, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/par_ref_dhd.csv"", ""model_source_lines"": ""16"", ""model_lookup"": ""symmetric unordered reference pair 13801<->4808"", ""model_basis"": ""static symmetric reference DHD; minimum-duration row""}"
original_giro_13414,Deadhead,2190,2190L,469,470,1,0.400000006,0.2,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,CSV line2171,original scheduled directional movement; may reflect departure-time DHD interval,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""9;10"", ""model_lookup"": ""2190->2190;2190L->2190;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
original_giro_13414,Deadhead,2190L,2190,480,480,0,0.0,0.0,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,CSV line2173,original scheduled directional movement; may reflect departure-time DHD interval,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""10;9"", ""model_lookup"": ""2190L->2190;2190->2190;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
original_giro_13414,Deadhead,2190,ET_R,602,603,1,0.200000003,0.1,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,CSV line2177,original scheduled directional movement; may reflect departure-time DHD interval,
original_giro_13414,Deadhead,ET_R,2190,639,640,1,0.200000003,0.1,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,CSV line2178,original scheduled directional movement; may reflect departure-time DHD interval,
original_giro_13414,Deadhead,2190,ET_R,759,760,1,0.200000003,0.1,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,CSV line2182,original scheduled directional movement; may reflect departure-time DHD interval,
original_giro_13414,Deadhead,ET_R,2190,799,800,1,0.200000003,0.1,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,CSV line2183,original scheduled directional movement; may reflect departure-time DHD interval,
original_giro_13414,Deadhead,2190,2190L,922,923,1,0.400000006,0.2,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,CSV line2187,original scheduled directional movement; may reflect departure-time DHD interval,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""9;10"", ""model_lookup"": ""2190->2190;2190L->2190;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
original_giro_13414,Deadhead,2190L,2190,929,929,0,0.0,0.0,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,CSV line2189,original scheduled directional movement; may reflect departure-time DHD interval,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""10;9"", ""model_lookup"": ""2190L->2190;2190->2190;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
original_giro_13414,Deadhead,2190,2190L,1060,1061,1,0.400000006,0.2,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,CSV line2193,original scheduled directional movement; may reflect departure-time DHD interval,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""9;10"", ""model_lookup"": ""2190->2190;2190L->2190;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
