case_id,pair_id,chain,target_k,treatment,inherited_sequences,cg_minutes,cg_certified,stopping_reason,weighted_lp_objective,fractional_route_weight,minimum_reduced_cost,buses,pool_fleet_bound,fleet_proved_in_pool,individual_route_replay,mip_minutes,input_sha256,cg_path,cg_sha256,mip_path,mip_sha256
c6_k10_core,c6_k10,6,10,previous_k_core,99,12.450115447095595,True,certified,1000377.8715555543,9.999999999999988,-1.8925757849785896e-08,10,10.0,True,True,1.1080526471138001,b6b8abf3c83ef5e8d3167d6a785b8403fb20c8927e25c409193e1c744174ffc0,/home/nc437/ladder-lite/compact_seed_support_20260914/cases/c6_k10_core/cg.json,66636c4cc3b43905037828871670a1f4c4e0dec763d236c6d9c82986e533f213,/home/nc437/ladder-lite/compact_seed_support_20260914/cases/c6_k10_core_mip/mip_result.json,d91993b0def62fa5df267e511b74290ff082a26a757abe3286b7149f9b761b33
c6_k10_core512,c6_k10,6,10,previous_k_core512,512,8.134940083957433,True,certified,1000377.8715555546,9.99999999999999,-1.45711145371763e-08,10,10.0,True,True,1.3211509903271994,b6b8abf3c83ef5e8d3167d6a785b8403fb20c8927e25c409193e1c744174ffc0,/home/nc437/ladder-lite/compact_seed_support_20260914/cases/c6_k10_core512/cg.json,2417bfb6f0b2a1a28a346152656aa3a103bd06b3027d41b2b6e934249f3b73b7,/home/nc437/ladder-lite/compact_seed_support_20260914/cases/c6_k10_core512_mip/mip_result.json,24eda75df364d37a33b334c7abad107e9a1308d8e62b726dc413b1d772dcd005
c1_k15_core,c1_k15,1,15,previous_k_core,208,,,,,,,,,,,,00e65586e3f6732d476adb184af9ae1c55f8d160798fbb629e47ebcaf5906390,,,,
c1_k15_core512,c1_k15,1,15,previous_k_core512,512,,,,,,,,,,,,00e65586e3f6732d476adb184af9ae1c55f8d160798fbb629e47ebcaf5906390,,,,
c2_k15_core,c2_k15,2,15,previous_k_core,216,,,,,,,,,,,,79c73bc74bdba12d53a76b79c4a6408bda71d2e444a1a95508800da95f5d9188,,,,
c2_k15_core512,c2_k15,2,15,previous_k_core512,512,,,,,,,,,,,,79c73bc74bdba12d53a76b79c4a6408bda71d2e444a1a95508800da95f5d9188,,,,
c3_k15_core,c3_k15,3,15,previous_k_core,198,,,,,,,,,,,,44d91ad2cd6604441b3ea36dfb77cda9f89901d14755ec30d502887f0efb3490,,,,
c3_k15_core512,c3_k15,3,15,previous_k_core512,512,,,,,,,,,,,,44d91ad2cd6604441b3ea36dfb77cda9f89901d14755ec30d502887f0efb3490,,,,
c4_k15_core,c4_k15,4,15,previous_k_core,213,,,,,,,,,,,,16cd175ed25d1872a191a750b6586ef2fd395c587ad6323ff5895f4094d15fb2,,,,
c4_k15_core512,c4_k15,4,15,previous_k_core512,512,,,,,,,,,,,,16cd175ed25d1872a191a750b6586ef2fd395c587ad6323ff5895f4094d15fb2,,,,
c5_k15_core,c5_k15,5,15,previous_k_core,192,,,,,,,,,,,,985760e3065f3ba1d7d62960ae77ff6d61e7d331eb3ebb6582cc774c4835e240,,,,
c5_k15_core512,c5_k15,5,15,previous_k_core512,512,,,,,,,,,,,,985760e3065f3ba1d7d62960ae77ff6d61e7d331eb3ebb6582cc774c4835e240,,,,
c6_k15_core,c6_k15,6,15,previous_k_core,234,,,,,,,,,,,,7c28172dd2dc8b5fde8419b6600f8de3d0a587be7f538aa073cffe7696662c95,,,,
c6_k15_core512,c6_k15,6,15,previous_k_core512,512,,,,,,,,,,,,7c28172dd2dc8b5fde8419b6600f8de3d0a587be7f538aa073cffe7696662c95,,,,
