campaign,stage,path,sha256,payload_sha256,summary
chain_extension_20260914,mip,/home/nc437/ladder-lite/chain_extension_20260914/cases/w1_k27/mip/187971_r0/result.json,8b6b01a98fe0e82e670c59a5cbf2cac75b89addce23337483e83a5addcc86b63,8b6b01a98fe0e82e670c59a5cbf2cac75b89addce23337483e83a5addcc86b63,"{""buses"": 28, ""fleet_bound"": 27.000000000000043, ""fleet_proven"": false, ""physical_replay_validated"": true, ""runtime_s"": 3609.3601729869843, ""status_name"": ""TIME_LIMIT"", ""final"": {}}"
chain_extension_20260914,mip,/home/nc437/ladder-lite/chain_extension_20260914/cases/w2_k28/mip/187979_r0/result.json,a66fa36e29904ff36ade72d3043235491c8665fad9e97c20a005a43bca219784,a66fa36e29904ff36ade72d3043235491c8665fad9e97c20a005a43bca219784,"{""buses"": 28, ""fleet_bound"": 28.0, ""fleet_proven"": true, ""physical_replay_validated"": true, ""runtime_s"": 3611.318966627121, ""status_name"": ""TIME_LIMIT"", ""final"": {}}"
chain_extension_20260914,cg,/home/nc437/ladder-lite/chain_extension_20260914/cases/w5_k28/cg.json,,a406330275b3f007e0b44b56b656692478d06b3334c15e0c20513a44e4b410f3,"{""certified_rc_optimal"": false, ""stop_reason"": ""wall_limit"", ""wall_s"": 14386.714485798031, ""final"": {""iter"": 204, ""attempt_iter"": 204, ""lp_obj"": 2701242.9135160954, ""route_weight"": 26.999999999999744, ""artificials"": 0.0, ""min_rc"": -0.27154588093145815, ""max_row_violation"": 5.563327576396659e-13, ""max_bound_violation"": 4.492647215588231e-13}}"
