case,columns,identical_columns,redundant_rows,safe_dominated_columns,dominated_percent,connected_components,complete_structure_scan,fleet_certified_lower,fleet_validated_upper,fleet_safe_zero_fix_count,charging_cap,charging_certified_lower,charging_validated_upper,charging_safe_zero_fix_count,matrix_identity_sha256,source_receipt
c1_k08_fresh,39940,0,0,2575,6.447170756134201,1,True,8.0,9.0,0,9,361.6932813,426.82400006,425,63cebd926aa1af7da2b04b0339201ef71452ac588b6d95761430050fdd85cdac,outputs/research_management_20260922/mip_structure/collections/20260922T053806Z/receipt.json
c1_k15_fresh,79611,0,0,1298,1.6304279559357375,1,True,14.99999991,18.0,0,18,670.75003505,1163.62400006,0,ccb4a6b55eaca7624eb1f70ed5a97005f612c4ed130a0068401ac7effe750b3d,outputs/research_management_20260922/mip_structure/collections/20260922T053806Z/receipt.json
c1_k15_sequential,130468,0,0,1442,1.1052518625256769,1,True,14.99999989,15.0,8458,15,717.37332424,1063.80800007,0,f7d0a404c3081edb304dee1d60856947c1751237c0559ba68bfad555f722d8a4,outputs/research_management_20260922/mip_structure/collections/20260922T053806Z/receipt.json
c4_k08_fresh,39668,0,0,2748,6.927498235353434,1,True,8.0,9.0,0,9,335.8206195,411.24000005,18,d27e254a66aaf9d608d0a7d1f40718650d74e8f790a3cb1fb46157be6051bb7a,outputs/research_management_20260922/mip_structure/collections/20260922T053806Z/receipt.json
