case,rows,columns,nonzeros,identical_columns,redundant_rows,safe_dominated_columns,component_count,dominance_complete,fleet_lb,fleet_ub,fleet_safe_zero,charging_lb,charging_ub,charging_safe_zero,matrix_identity_sha256
c1_k08_fresh,194,39940,1092654,0,0,2575,1,True,8.0,9.0,0,361.6932813,426.82400006,425,63cebd926aa1af7da2b04b0339201ef71452ac588b6d95761430050fdd85cdac
c1_k15_fresh,364,79611,2322459,0,0,1298,1,True,14.99999991,18.0,0,670.75003505,1163.62400006,0,ccb4a6b55eaca7624eb1f70ed5a97005f612c4ed130a0068401ac7effe750b3d
c1_k15_sequential,364,130468,3541122,0,0,1442,1,True,14.99999989,15.0,8458,717.37332424,1063.80800007,0,f7d0a404c3081edb304dee1d60856947c1751237c0559ba68bfad555f722d8a4
c3_k15_fresh,302,38130,896915,0,0,997,1,True,14.99999992,18.0,0,447.02888632,676.21600005,0,d6e8a3cdbadb3e0ded791b855d5a2bd4c7e594e46d7e7087805b6b44f76f0ba8
c4_k08_fresh,188,39668,1057136,0,0,2748,1,True,8.0,9.0,0,335.8206195,411.24000005,18,d27e254a66aaf9d608d0a7d1f40718650d74e8f790a3cb1fb46157be6051bb7a
