case,route_index_zero_based,trip_count,shared,target_denominator,coverage,jaccard,union_denominator,source_trip_ids,shared_trip_ids,charge_starts,fleet_size,fleet_overcovered_trips,input_hash
w3_k15_fee0,2,13,0,22,0.0,0.0,35,"[""886"", ""579"", ""583"", ""242"", ""281"", ""933"", ""937"", ""294"", ""437"", ""947"", ""951"", ""320"", ""325""]",[],2,15,17,44d91ad2cd6604441b3ea36dfb77cda9f89901d14755ec30d502887f0efb3490
w3_k15_fee0,3,18,0,22,0.0,0.0,40,"[""239"", ""250"", ""593"", ""597"", ""506"", ""510"", ""707"", ""709"", ""514"", ""518"", ""408"", ""412"", ""930"", ""287"", ""429"", ""299"", ""441"", ""212""]",[],4,15,17,44d91ad2cd6604441b3ea36dfb77cda9f89901d14755ec30d502887f0efb3490
w3_k15_fee0,4,38,0,22,0.0,0.0,60,"[""769"", ""360"", ""363"", ""491"", ""494"", ""779"", ""205"", ""590"", ""510"", ""606"", ""609"", ""613"", ""617"", ""815"", ""924"", ""720"", ""721"", ""823"", ""826"", ""425"", ""432"", ""303"", ""443"", ""315"", ""327"", ""958"", ""961"", ""661"", ""663"", ""966"", ""967"", ""339"", ""344"", ""672"", ""675"", ""676"", ""679"", ""680""]",[],9,15,17,44d91ad2cd6604441b3ea36dfb77cda9f89901d14755ec30d502887f0efb3490
w3_k15_fee0,5,24,0,22,0.0,0.0,46,"[""769"", ""363"", ""581"", ""585"", ""246"", ""430"", ""434"", ""210"", ""452"", ""328"", ""333"", ""662"", ""665"", ""666"", ""669"", ""343"", ""348"", ""978"", ""979"", ""678"", ""681"", ""682"", ""683"", ""684""]",[],7,15,17,44d91ad2cd6604441b3ea36dfb77cda9f89901d14755ec30d502887f0efb3490
w3_k15_fee0,6,18,0,22,0.0,0.0,40,"[""769"", ""685"", ""771"", ""772"", ""365"", ""368"", ""495"", ""498"", ""248"", ""281"", ""292"", ""296"", ""730"", ""731"", ""313"", ""317"", ""223"", ""659""]",[],2,15,17,44d91ad2cd6604441b3ea36dfb77cda9f89901d14755ec30d502887f0efb3490
w3_k15_fee0,7,12,0,22,0.0,0.0,34,"[""23"", ""36"", ""49"", ""68"", ""81"", ""100"", ""113"", ""126"", ""139"", ""154"", ""165"", ""178""]",[],8,15,17,44d91ad2cd6604441b3ea36dfb77cda9f89901d14755ec30d502887f0efb3490
w3_k15_fee0,8,37,0,22,0.0,0.0,59,"[""880"", ""571"", ""573"", ""884"", ""776"", ""369"", ""237"", ""206"", ""218"", ""300"", ""944"", ""948"", ""316"", ""318"", ""845"", ""848"", ""849"", ""852"", ""462"", ""465"", ""748"", ""749"", ""859"", ""860"", ""861"", ""862"", ""472"", ""475"", ""561"", ""564"", ""565"", ""568"", ""875"", ""876"", ""767"", ""768"", ""986""]",[],10,15,17,44d91ad2cd6604441b3ea36dfb77cda9f89901d14755ec30d502887f0efb3490
w3_k15_fee0,9,14,0,22,0.0,0.0,36,"[""2"", ""10"", ""30"", ""43"", ""62"", ""75"", ""88"", ""101"", ""114"", ""127"", ""142"", ""155"", ""170"", ""179""]",[],13,15,17,44d91ad2cd6604441b3ea36dfb77cda9f89901d14755ec30d502887f0efb3490
w3_k15_fee0,10,15,0,22,0.0,0.0,37,"[""19"", ""32"", ""45"", ""58"", ""71"", ""86"", ""99"", ""112"", ""125"", ""140"", ""153"", ""164"", ""173"", ""182"", ""189""]",[],13,15,17,44d91ad2cd6604441b3ea36dfb77cda9f89901d14755ec30d502887f0efb3490
w3_k15_fee0,11,14,0,22,0.0,0.0,36,"[""15"", ""28"", ""41"", ""54"", ""67"", ""80"", ""93"", ""106"", ""119"", ""132"", ""145"", ""158"", ""167"", ""176""]",[],13,15,17,44d91ad2cd6604441b3ea36dfb77cda9f89901d14755ec30d502887f0efb3490
w3_k15_fee0,14,23,0,22,0.0,0.0,45,"[""779"", ""785"", ""588"", ""591"", ""595"", ""599"", ""602"", ""605"", ""263"", ""268"", ""919"", ""920"", ""921"", ""818"", ""819"", ""822"", ""421"", ""424"", ""531"", ""209"", ""312"", ""213"", ""848""]",[],8,15,17,44d91ad2cd6604441b3ea36dfb77cda9f89901d14755ec30d502887f0efb3490
w3_k15_fee5,6,10,0,22,0.0,0.0,32,"[""23"", ""36"", ""49"", ""68"", ""81"", ""100"", ""113"", ""126"", ""139"", ""154""]",[],2,15,18,44d91ad2cd6604441b3ea36dfb77cda9f89901d14755ec30d502887f0efb3490
w3_k15_fee5,7,36,0,22,0.0,0.0,58,"[""880"", ""571"", ""573"", ""884"", ""776"", ""369"", ""237"", ""206"", ""218"", ""300"", ""944"", ""948"", ""316"", ""318"", ""845"", ""848"", ""849"", ""852"", ""462"", ""465"", ""748"", ""749"", ""859"", ""860"", ""861"", ""862"", ""472"", ""475"", ""561"", ""564"", ""565"", ""568"", ""875"", ""876"", ""767"", ""768""]",[],5,15,18,44d91ad2cd6604441b3ea36dfb77cda9f89901d14755ec30d502887f0efb3490
w3_k15_fee5,8,11,0,22,0.0,0.0,33,"[""2"", ""10"", ""30"", ""43"", ""88"", ""101"", ""114"", ""127"", ""142"", ""165"", ""178""]",[],2,15,18,44d91ad2cd6604441b3ea36dfb77cda9f89901d14755ec30d502887f0efb3490
w3_k15_fee5,10,15,0,22,0.0,0.0,37,"[""19"", ""32"", ""45"", ""58"", ""71"", ""86"", ""99"", ""112"", ""125"", ""140"", ""153"", ""164"", ""173"", ""182"", ""189""]",[],10,15,18,44d91ad2cd6604441b3ea36dfb77cda9f89901d14755ec30d502887f0efb3490
w3_k15_fee5,11,22,0,22,0.0,0.0,44,"[""15"", ""28"", ""41"", ""54"", ""67"", ""80"", ""93"", ""106"", ""119"", ""132"", ""145"", ""158"", ""167"", ""176"", ""978"", ""979"", ""678"", ""681"", ""682"", ""683"", ""684"", ""986""]",[],13,15,18,44d91ad2cd6604441b3ea36dfb77cda9f89901d14755ec30d502887f0efb3490
w3_k15_fee5,13,22,0,22,0.0,0.0,44,"[""769"", ""685"", ""489"", ""492"", ""887"", ""890"", ""373"", ""380"", ""207"", ""62"", ""75"", ""88"", ""930"", ""427"", ""435"", ""308"", ""314"", ""323"", ""455"", ""330"", ""333"", ""662""]",[],2,15,18,44d91ad2cd6604441b3ea36dfb77cda9f89901d14755ec30d502887f0efb3490
w3_k15_fee5,14,23,0,22,0.0,0.0,45,"[""779"", ""785"", ""588"", ""591"", ""595"", ""599"", ""602"", ""605"", ""263"", ""268"", ""919"", ""920"", ""921"", ""818"", ""819"", ""822"", ""421"", ""424"", ""531"", ""209"", ""312"", ""213"", ""848""]",[],3,15,18,44d91ad2cd6604441b3ea36dfb77cda9f89901d14755ec30d502887f0efb3490
w6_k05_fee0,0,12,0,22,0.0,0.0,34,"[""0"", ""6"", ""22"", ""35"", ""56"", ""69"", ""82"", ""95"", ""116"", ""129"", ""144"", ""157""]",[],11,5,0,607cba23d981e3ed76448f035f89785b2d253c2f5242559ed65dee6b0dac9236
w6_k05_fee0,1,16,0,22,0.0,0.0,38,"[""370"", ""240"", ""895"", ""896"", ""381"", ""386"", ""598"", ""601"", ""604"", ""607"", ""309"", ""949"", ""953"", ""326"", ""331"", ""962""]",[],4,5,0,607cba23d981e3ed76448f035f89785b2d253c2f5242559ed65dee6b0dac9236
w6_k05_fee0,2,11,0,22,0.0,0.0,33,"[""8"", ""20"", ""33"", ""48"", ""61"", ""74"", ""87"", ""108"", ""121"", ""135"", ""149""]",[],8,5,0,607cba23d981e3ed76448f035f89785b2d253c2f5242559ed65dee6b0dac9236
w6_k05_fee0,4,18,0,22,0.0,0.0,40,"[""239"", ""250"", ""593"", ""597"", ""506"", ""510"", ""707"", ""709"", ""514"", ""518"", ""408"", ""412"", ""930"", ""287"", ""429"", ""299"", ""441"", ""212""]",[],4,5,0,607cba23d981e3ed76448f035f89785b2d253c2f5242559ed65dee6b0dac9236
w6_k05_fee5,0,12,0,22,0.0,0.0,34,"[""0"", ""6"", ""22"", ""35"", ""56"", ""69"", ""82"", ""95"", ""116"", ""129"", ""144"", ""157""]",[],2,5,0,607cba23d981e3ed76448f035f89785b2d253c2f5242559ed65dee6b0dac9236
w6_k05_fee5,1,11,0,22,0.0,0.0,33,"[""8"", ""20"", ""33"", ""48"", ""61"", ""74"", ""87"", ""108"", ""121"", ""135"", ""149""]",[],2,5,0,607cba23d981e3ed76448f035f89785b2d253c2f5242559ed65dee6b0dac9236
w6_k10_fee0,0,11,0,22,0.0,0.0,33,"[""8"", ""22"", ""35"", ""56"", ""69"", ""82"", ""95"", ""116"", ""129"", ""144"", ""157""]",[],8,10,7,b6b8abf3c83ef5e8d3167d6a785b8403fb20c8927e25c409193e1c744174ffc0
w6_k10_fee0,2,18,0,22,0.0,0.0,40,"[""0"", ""11"", ""24"", ""37"", ""50"", ""63"", ""76"", ""89"", ""102"", ""115"", ""128"", ""141"", ""162"", ""171"", ""180"", ""187"", ""196"", ""201""]",[],18,10,7,b6b8abf3c83ef5e8d3167d6a785b8403fb20c8927e25c409193e1c744174ffc0
w6_k10_fee0,3,11,0,22,0.0,0.0,33,"[""6"", ""20"", ""33"", ""48"", ""61"", ""74"", ""87"", ""108"", ""121"", ""135"", ""149""]",[],8,10,7,b6b8abf3c83ef5e8d3167d6a785b8403fb20c8927e25c409193e1c744174ffc0
w6_k10_fee0,4,17,0,22,0.0,0.0,39,"[""9"", ""21"", ""34"", ""47"", ""60"", ""73"", ""92"", ""105"", ""124"", ""137"", ""152"", ""163"", ""172"", ""181"", ""190"", ""197"", ""200""]",[],14,10,7,b6b8abf3c83ef5e8d3167d6a785b8403fb20c8927e25c409193e1c744174ffc0
w6_k10_fee0,7,15,0,22,0.0,0.0,37,"[""771"", ""772"", ""370"", ""240"", ""895"", ""896"", ""248"", ""429"", ""299"", ""441"", ""313"", ""317"", ""326"", ""331"", ""962""]",[],3,10,7,b6b8abf3c83ef5e8d3167d6a785b8403fb20c8927e25c409193e1c744174ffc0
w6_k10_fee0,8,50,0,22,0.0,0.0,72,"[""570"", ""224"", ""364"", ""775"", ""778"", ""372"", ""243"", ""251"", ""255"", ""907"", ""908"", ""259"", ""264"", ""915"", ""916"", ""267"", ""271"", ""923"", ""926"", ""630"", ""633"", ""288"", ""433"", ""835"", ""838"", ""839"", ""842"", ""843"", ""846"", ""457"", ""460"", ""853"", ""854"", ""855"", ""856"", ""857"", ""858"", ""750"", ""751"", ""555"", ""558"", ""474"", ""477"", ""563"", ""566"", ""482"", ""485"", ""877"", ""878"", ""488""]",[],18,10,7,b6b8abf3c83ef5e8d3167d6a785b8403fb20c8927e25c409193e1c744174ffc0
w6_k10_fee0,9,21,0,22,0.0,0.0,43,"[""489"", ""492"", ""887"", ""890"", ""373"", ""380"", ""207"", ""597"", ""506"", ""510"", ""707"", ""709"", ""930"", ""427"", ""435"", ""308"", ""314"", ""323"", ""455"", ""330"", ""855""]",[],7,10,7,b6b8abf3c83ef5e8d3167d6a785b8403fb20c8927e25c409193e1c744174ffc0
w6_k10_fee5,0,11,0,22,0.0,0.0,33,"[""8"", ""22"", ""35"", ""56"", ""69"", ""82"", ""95"", ""116"", ""129"", ""144"", ""157""]",[],2,10,12,b6b8abf3c83ef5e8d3167d6a785b8403fb20c8927e25c409193e1c744174ffc0
w6_k10_fee5,1,18,0,22,0.0,0.0,40,"[""0"", ""11"", ""24"", ""37"", ""50"", ""63"", ""76"", ""89"", ""102"", ""115"", ""128"", ""141"", ""162"", ""171"", ""180"", ""187"", ""196"", ""201""]",[],10,10,12,b6b8abf3c83ef5e8d3167d6a785b8403fb20c8927e25c409193e1c744174ffc0
w6_k10_fee5,2,11,0,22,0.0,0.0,33,"[""6"", ""20"", ""33"", ""48"", ""61"", ""74"", ""87"", ""108"", ""121"", ""135"", ""149""]",[],2,10,12,b6b8abf3c83ef5e8d3167d6a785b8403fb20c8927e25c409193e1c744174ffc0
w6_k10_fee5,3,17,0,22,0.0,0.0,39,"[""9"", ""21"", ""34"", ""47"", ""60"", ""73"", ""92"", ""105"", ""124"", ""137"", ""152"", ""163"", ""172"", ""181"", ""190"", ""197"", ""200""]",[],6,10,12,b6b8abf3c83ef5e8d3167d6a785b8403fb20c8927e25c409193e1c744174ffc0
w6_k10_fee5,9,23,0,22,0.0,0.0,45,"[""489"", ""492"", ""887"", ""890"", ""373"", ""380"", ""207"", ""597"", ""506"", ""510"", ""707"", ""709"", ""930"", ""427"", ""435"", ""308"", ""314"", ""323"", ""455"", ""330"", ""855"", ""750"", ""751""]",[],1,10,12,b6b8abf3c83ef5e8d3167d6a785b8403fb20c8927e25c409193e1c744174ffc0
w6_k15_fee0,0,11,0,22,0.0,0.0,33,"[""8"", ""22"", ""35"", ""56"", ""69"", ""82"", ""95"", ""116"", ""129"", ""144"", ""157""]",[],8,15,33,7c28172dd2dc8b5fde8419b6600f8de3d0a587be7f538aa073cffe7696662c95
w6_k15_fee0,2,18,0,22,0.0,0.0,40,"[""0"", ""11"", ""24"", ""37"", ""50"", ""63"", ""76"", ""89"", ""102"", ""115"", ""128"", ""141"", ""162"", ""171"", ""180"", ""187"", ""196"", ""201""]",[],18,15,33,7c28172dd2dc8b5fde8419b6600f8de3d0a587be7f538aa073cffe7696662c95
w6_k15_fee0,3,11,0,22,0.0,0.0,33,"[""6"", ""20"", ""33"", ""48"", ""61"", ""74"", ""87"", ""108"", ""121"", ""135"", ""149""]",[],8,15,33,7c28172dd2dc8b5fde8419b6600f8de3d0a587be7f538aa073cffe7696662c95
w6_k15_fee0,4,17,0,22,0.0,0.0,39,"[""9"", ""21"", ""34"", ""47"", ""60"", ""73"", ""92"", ""105"", ""124"", ""137"", ""152"", ""163"", ""172"", ""181"", ""190"", ""197"", ""200""]",[],14,15,33,7c28172dd2dc8b5fde8419b6600f8de3d0a587be7f538aa073cffe7696662c95
w6_k15_fee0,6,44,0,22,0.0,0.0,66,"[""570"", ""224"", ""364"", ""775"", ""778"", ""372"", ""243"", ""251"", ""255"", ""907"", ""908"", ""259"", ""264"", ""915"", ""916"", ""267"", ""271"", ""923"", ""926"", ""630"", ""633"", ""288"", ""433"", ""835"", ""838"", ""839"", ""842"", ""843"", ""846"", ""457"", ""460"", ""853"", ""854"", ""855"", ""856"", ""857"", ""858"", ""750"", ""751"", ""555"", ""558"", ""474"", ""477"", ""563""]",[],17,15,33,7c28172dd2dc8b5fde8419b6600f8de3d0a587be7f538aa073cffe7696662c95
w6_k15_fee0,8,26,0,22,0.0,0.0,48,"[""881"", ""227"", ""230"", ""889"", ""892"", ""376"", ""383"", ""387"", ""390"", ""797"", ""910"", ""261"", ""266"", ""917"", ""812"", ""270"", ""273"", ""525"", ""528"", ""634"", ""637"", ""728"", ""729"", ""220"", ""953"", ""223""]",[],8,15,33,7c28172dd2dc8b5fde8419b6600f8de3d0a587be7f538aa073cffe7696662c95
w6_k15_fee0,10,52,0,22,0.0,0.0,74,"[""569"", ""572"", ""883"", ""367"", ""371"", ""375"", ""247"", ""899"", ""902"", ""700"", ""701"", ""702"", ""703"", ""508"", ""512"", ""710"", ""711"", ""516"", ""520"", ""716"", ""717"", ""523"", ""530"", ""726"", ""727"", ""940"", ""943"", ""307"", ""310"", ""539"", ""542"", ""543"", ""546"", ""744"", ""745"", ""746"", ""747"", ""551"", ""554"", ""752"", ""753"", ""557"", ""560"", ""758"", ""759"", ""760"", ""761"", ""871"", ""872"", ""873"", ""874"", ""766""]",[],9,15,33,7c28172dd2dc8b5fde8419b6600f8de3d0a587be7f538aa073cffe7696662c95
w6_k15_fee0,11,45,0,22,0.0,0.0,67,"[""490"", ""773"", ""888"", ""233"", ""377"", ""787"", ""790"", ""791"", ""794"", ""391"", ""394"", ""801"", ""804"", ""401"", ""404"", ""811"", ""814"", ""413"", ""416"", ""419"", ""422"", ""827"", ""830"", ""431"", ""439"", ""537"", ""540"", ""541"", ""544"", ""545"", ""548"", ""549"", ""552"", ""468"", ""471"", ""863"", ""864"", ""562"", ""478"", ""481"", ""764"", ""765"", ""984"", ""985"", ""488""]",[],17,15,33,7c28172dd2dc8b5fde8419b6600f8de3d0a587be7f538aa073cffe7696662c95
w6_k15_fee0,13,37,0,22,0.0,0.0,59,"[""225"", ""882"", ""774"", ""203"", ""374"", ""378"", ""252"", ""385"", ""394"", ""801"", ""804"", ""812"", ""621"", ""625"", ""628"", ""631"", ""284"", ""291"", ""833"", ""836"", ""442"", ""449"", ""954"", ""957"", ""656"", ""660"", ""335"", ""340"", ""668"", ""671"", ""974"", ""975"", ""976"", ""977"", ""349"", ""485"", ""357""]",[],14,15,33,7c28172dd2dc8b5fde8419b6600f8de3d0a587be7f538aa073cffe7696662c95
w6_k15_fee0,14,28,0,22,0.0,0.0,50,"[""685"", ""775"", ""215"", ""897"", ""900"", ""254"", ""258"", ""909"", ""800"", ""911"", ""912"", ""913"", ""806"", ""403"", ""406"", ""813"", ""816"", ""817"", ""820"", ""821"", ""824"", ""825"", ""828"", ""290"", ""295"", ""304"", ""444"", ""222""]",[],10,15,33,7c28172dd2dc8b5fde8419b6600f8de3d0a587be7f538aa073cffe7696662c95
w6_k15_fee5,2,11,0,22,0.0,0.0,33,"[""6"", ""24"", ""37"", ""50"", ""63"", ""76"", ""115"", ""128"", ""141"", ""162"", ""171""]",[],3,15,18,7c28172dd2dc8b5fde8419b6600f8de3d0a587be7f538aa073cffe7696662c95
w6_k15_fee5,3,12,0,22,0.0,0.0,34,"[""0"", ""11"", ""22"", ""35"", ""56"", ""69"", ""82"", ""95"", ""108"", ""441"", ""212"", ""326""]",[],2,15,18,7c28172dd2dc8b5fde8419b6600f8de3d0a587be7f538aa073cffe7696662c95
w6_k15_fee5,4,11,0,22,0.0,0.0,33,"[""8"", ""20"", ""33"", ""48"", ""61"", ""74"", ""89"", ""116"", ""129"", ""144"", ""157""]",[],2,15,18,7c28172dd2dc8b5fde8419b6600f8de3d0a587be7f538aa073cffe7696662c95
w6_k15_fee5,5,15,0,22,0.0,0.0,37,"[""9"", ""21"", ""34"", ""47"", ""60"", ""87"", ""102"", ""121"", ""135"", ""149"", ""172"", ""181"", ""190"", ""197"", ""200""]",[],3,15,18,7c28172dd2dc8b5fde8419b6600f8de3d0a587be7f538aa073cffe7696662c95
w6_k15_fee5,6,46,0,22,0.0,0.0,68,"[""570"", ""224"", ""364"", ""775"", ""778"", ""372"", ""243"", ""251"", ""255"", ""907"", ""908"", ""259"", ""264"", ""915"", ""916"", ""267"", ""271"", ""923"", ""926"", ""630"", ""633"", ""288"", ""433"", ""835"", ""838"", ""839"", ""842"", ""843"", ""846"", ""457"", ""460"", ""853"", ""854"", ""855"", ""856"", ""857"", ""858"", ""750"", ""751"", ""555"", ""558"", ""474"", ""477"", ""563"", ""566"", ""482""]",[],12,15,18,7c28172dd2dc8b5fde8419b6600f8de3d0a587be7f538aa073cffe7696662c95
w6_k15_fee5,7,19,0,22,0.0,0.0,41,"[""771"", ""772"", ""365"", ""368"", ""495"", ""498"", ""248"", ""60"", ""73"", ""92"", ""105"", ""124"", ""137"", ""152"", ""163"", ""180"", ""187"", ""196"", ""201""]",[],3,15,18,7c28172dd2dc8b5fde8419b6600f8de3d0a587be7f538aa073cffe7696662c95
w6_k15_fee5,8,21,0,22,0.0,0.0,43,"[""489"", ""492"", ""887"", ""890"", ""373"", ""380"", ""207"", ""597"", ""506"", ""510"", ""707"", ""709"", ""930"", ""427"", ""435"", ""308"", ""314"", ""323"", ""455"", ""330"", ""855""]",[],1,15,18,7c28172dd2dc8b5fde8419b6600f8de3d0a587be7f538aa073cffe7696662c95
w6_k15_fee5,9,26,0,22,0.0,0.0,48,"[""881"", ""227"", ""230"", ""889"", ""892"", ""376"", ""383"", ""387"", ""390"", ""797"", ""910"", ""261"", ""266"", ""917"", ""812"", ""270"", ""273"", ""525"", ""528"", ""634"", ""637"", ""728"", ""729"", ""220"", ""953"", ""223""]",[],5,15,18,7c28172dd2dc8b5fde8419b6600f8de3d0a587be7f538aa073cffe7696662c95
w6_k15_fee5,10,53,0,22,0.0,0.0,75,"[""569"", ""572"", ""883"", ""367"", ""371"", ""375"", ""247"", ""899"", ""902"", ""700"", ""701"", ""702"", ""703"", ""508"", ""512"", ""710"", ""711"", ""516"", ""520"", ""716"", ""717"", ""523"", ""526"", ""530"", ""726"", ""727"", ""940"", ""943"", ""307"", ""310"", ""539"", ""542"", ""543"", ""546"", ""744"", ""745"", ""746"", ""747"", ""551"", ""554"", ""752"", ""753"", ""557"", ""560"", ""758"", ""759"", ""760"", ""761"", ""871"", ""872"", ""873"", ""874"", ""766""]",[],11,15,18,7c28172dd2dc8b5fde8419b6600f8de3d0a587be7f538aa073cffe7696662c95
w6_k15_fee5,12,46,0,22,0.0,0.0,68,"[""490"", ""773"", ""888"", ""233"", ""377"", ""787"", ""790"", ""791"", ""794"", ""391"", ""394"", ""801"", ""804"", ""401"", ""404"", ""811"", ""814"", ""413"", ""416"", ""419"", ""422"", ""827"", ""830"", ""431"", ""439"", ""537"", ""540"", ""541"", ""544"", ""545"", ""548"", ""549"", ""552"", ""468"", ""471"", ""863"", ""864"", ""559"", ""562"", ""478"", ""481"", ""764"", ""765"", ""984"", ""985"", ""357""]",[],14,15,18,7c28172dd2dc8b5fde8419b6600f8de3d0a587be7f538aa073cffe7696662c95
w6_k15_fee5,13,39,0,22,0.0,0.0,61,"[""225"", ""882"", ""774"", ""203"", ""374"", ""378"", ""252"", ""385"", ""394"", ""801"", ""804"", ""812"", ""621"", ""625"", ""628"", ""631"", ""284"", ""291"", ""833"", ""836"", ""442"", ""449"", ""954"", ""957"", ""656"", ""660"", ""335"", ""340"", ""668"", ""671"", ""974"", ""975"", ""976"", ""977"", ""349"", ""485"", ""877"", ""878"", ""488""]",[],5,15,18,7c28172dd2dc8b5fde8419b6600f8de3d0a587be7f538aa073cffe7696662c95
w6_k15_fee5,14,28,0,22,0.0,0.0,50,"[""685"", ""775"", ""215"", ""897"", ""900"", ""254"", ""258"", ""909"", ""800"", ""911"", ""912"", ""913"", ""806"", ""403"", ""406"", ""813"", ""816"", ""817"", ""820"", ""821"", ""824"", ""825"", ""828"", ""290"", ""295"", ""304"", ""444"", ""222""]",[],6,15,18,7c28172dd2dc8b5fde8419b6600f8de3d0a587be7f538aa073cffe7696662c95
