case,route_index_zero_based,trip_count,shared,target_denominator,coverage,jaccard,union_denominator,source_trip_ids,shared_trip_ids,charge_starts,fleet_size,fleet_overcovered_trips,input_hash
w3_k10_fee5,4,29,8,22,0.36363636363636365,0.18604651162790697,43,"[""239"", ""250"", ""901"", ""792"", ""793"", ""796"", ""606"", ""609"", ""613"", ""617"", ""815"", ""922"", ""275"", ""430"", ""434"", ""447"", ""451"", ""456"", ""659"", ""663"", ""966"", ""967"", ""666"", ""669"", ""343"", ""348"", ""676"", ""679"", ""680""]","[""447"", ""451"", ""456"", ""792"", ""793"", ""796"", ""901"", ""922""]",2,10,1,0a24efed4fe106a7a0e1d7038964c976e3a46ea62027e1ce879bc151f3a2b18d
w3_k10_fee0,3,19,6,22,0.2727272727272727,0.17142857142857143,35,"[""579"", ""583"", ""586"", ""589"", ""593"", ""597"", ""506"", ""510"", ""707"", ""709"", ""514"", ""518"", ""408"", ""635"", ""638"", ""641"", ""210"", ""452"", ""459""]","[""459"", ""586"", ""589"", ""635"", ""638"", ""641""]",4,10,1,0a24efed4fe106a7a0e1d7038964c976e3a46ea62027e1ce879bc151f3a2b18d
w3_k10_fee5,3,19,6,22,0.2727272727272727,0.17142857142857143,35,"[""579"", ""583"", ""586"", ""589"", ""593"", ""597"", ""506"", ""510"", ""707"", ""709"", ""514"", ""518"", ""408"", ""635"", ""638"", ""641"", ""210"", ""452"", ""459""]","[""459"", ""586"", ""589"", ""635"", ""638"", ""641""]",1,10,1,0a24efed4fe106a7a0e1d7038964c976e3a46ea62027e1ce879bc151f3a2b18d
w6_k15_fee0,1,22,6,22,0.2727272727272727,0.15789473684210525,38,"[""226"", ""370"", ""240"", ""895"", ""896"", ""381"", ""386"", ""793"", ""796"", ""393"", ""396"", ""514"", ""518"", ""922"", ""930"", ""429"", ""299"", ""441"", ""212"", ""326"", ""331"", ""962""]","[""226"", ""393"", ""396"", ""793"", ""796"", ""922""]",7,15,33,7c28172dd2dc8b5fde8419b6600f8de3d0a587be7f538aa073cffe7696662c95
w6_k15_fee5,0,22,6,22,0.2727272727272727,0.15789473684210525,38,"[""239"", ""250"", ""901"", ""792"", ""793"", ""796"", ""393"", ""396"", ""514"", ""518"", ""408"", ""412"", ""930"", ""287"", ""429"", ""299"", ""309"", ""949"", ""953"", ""326"", ""331"", ""962""]","[""393"", ""396"", ""792"", ""793"", ""796"", ""901""]",1,15,18,7c28172dd2dc8b5fde8419b6600f8de3d0a587be7f538aa073cffe7696662c95
w3_k15_fee5,2,20,5,22,0.22727272727272727,0.13513513513513514,37,"[""579"", ""583"", ""586"", ""589"", ""593"", ""597"", ""506"", ""510"", ""707"", ""709"", ""514"", ""518"", ""408"", ""635"", ""638"", ""641"", ""210"", ""452"", ""328"", ""333""]","[""586"", ""589"", ""635"", ""638"", ""641""]",1,15,18,44d91ad2cd6604441b3ea36dfb77cda9f89901d14755ec30d502887f0efb3490
w6_k15_fee0,9,23,5,22,0.22727272727272727,0.125,40,"[""365"", ""368"", ""239"", ""250"", ""593"", ""597"", ""506"", ""510"", ""707"", ""709"", ""915"", ""916"", ""917"", ""922"", ""630"", ""633"", ""427"", ""435"", ""308"", ""447"", ""451"", ""456"", ""459""]","[""447"", ""451"", ""456"", ""459"", ""922""]",6,15,33,7c28172dd2dc8b5fde8419b6600f8de3d0a587be7f538aa073cffe7696662c95
w6_k05_fee5,3,15,4,22,0.18181818181818182,0.12121212121212122,33,"[""229"", ""234"", ""586"", ""589"", ""593"", ""597"", ""506"", ""510"", ""707"", ""709"", ""441"", ""212"", ""326"", ""331"", ""962""]","[""229"", ""234"", ""586"", ""589""]",1,5,0,607cba23d981e3ed76448f035f89785b2d253c2f5242559ed65dee6b0dac9236
w3_k15_fee5,4,17,4,22,0.18181818181818182,0.11428571428571428,35,"[""886"", ""581"", ""585"", ""246"", ""412"", ""626"", ""629"", ""632"", ""635"", ""294"", ""437"", ""947"", ""951"", ""320"", ""325"", ""739"", ""741""]","[""626"", ""629"", ""632"", ""635""]",1,15,18,44d91ad2cd6604441b3ea36dfb77cda9f89901d14755ec30d502887f0efb3490
w6_k10_fee5,8,38,6,22,0.2727272727272727,0.1111111111111111,54,"[""226"", ""370"", ""240"", ""895"", ""896"", ""248"", ""255"", ""907"", ""908"", ""259"", ""264"", ""915"", ""922"", ""626"", ""629"", ""632"", ""635"", ""292"", ""433"", ""835"", ""838"", ""839"", ""953"", ""457"", ""460"", ""853"", ""858"", ""555"", ""558"", ""474"", ""477"", ""563"", ""566"", ""482"", ""485"", ""877"", ""878"", ""488""]","[""226"", ""626"", ""629"", ""632"", ""635"", ""922""]",2,10,12,b6b8abf3c83ef5e8d3167d6a785b8403fb20c8927e25c409193e1c744174ffc0
