341352_12|RUNNING|kim-cpu-01|7:08|12:30:00|2|64G|kim-cpu-01
341352_13|RUNNING|kim-cpu-01|7:08|12:30:00|2|64G|kim-cpu-01
341259|RUNNING|jingjie-cpu-18|8:08|6:00:00|8|48G|jingjie-cpu-18
341263|RUNNING|jingjie-cpu-21|8:08|6:00:00|8|48G|jingjie-cpu-21
341190|RUNNING|jingjie-cpu-16|13:10|13:00:00|8|32G|jingjie-cpu-16
341191|RUNNING|jingjie-cpu-16|13:10|9:00:00|8|32G|jingjie-cpu-16
341192|RUNNING|jingjie-cpu-16|13:10|13:00:00|8|32G|jingjie-cpu-16
341193|RUNNING|jingjie-cpu-16|13:10|9:00:00|8|32G|jingjie-cpu-16
341194|RUNNING|jingjie-cpu-17|13:10|13:00:00|8|32G|jingjie-cpu-17
341195|RUNNING|jingjie-cpu-17|13:10|9:00:00|8|32G|jingjie-cpu-17
341196|RUNNING|jingjie-cpu-17|13:10|13:00:00|8|32G|jingjie-cpu-17
341197|RUNNING|jingjie-cpu-17|13:10|9:00:00|8|32G|jingjie-cpu-17
341198|RUNNING|jingjie-cpu-17|13:10|13:00:00|8|32G|jingjie-cpu-17
341199|RUNNING|jingjie-cpu-19|13:10|9:00:00|8|32G|jingjie-cpu-19
341152|RUNNING|joachims-cpu-01|13:21|13:00:00|8|32G|joachims-cpu-01
341153|RUNNING|joachims-cpu-02|13:21|9:00:00|8|32G|joachims-cpu-02
341154|RUNNING|garg-cpu-02|13:21|13:00:00|8|32G|garg-cpu-02
341155|RUNNING|garg-cpu-02|13:21|9:00:00|8|32G|garg-cpu-02
341156|RUNNING|jingjie-cpu-07|13:21|13:00:00|8|32G|jingjie-cpu-07
341157|RUNNING|jingjie-cpu-03|13:21|9:00:00|8|32G|jingjie-cpu-03
341158|RUNNING|jingjie-cpu-03|13:21|13:00:00|8|32G|jingjie-cpu-03
341159|RUNNING|jingjie-cpu-03|13:21|9:00:00|8|32G|jingjie-cpu-03
341160|RUNNING|jingjie-cpu-11|13:21|13:00:00|8|32G|jingjie-cpu-11
341161|RUNNING|jingjie-cpu-11|13:21|9:00:00|8|32G|jingjie-cpu-11
341162|RUNNING|jingjie-cpu-11|13:21|13:00:00|8|32G|jingjie-cpu-11
341163|RUNNING|jingjie-cpu-13|13:21|9:00:00|8|32G|jingjie-cpu-13
341164|RUNNING|jingjie-cpu-13|13:21|13:00:00|8|32G|jingjie-cpu-13
341165|RUNNING|jingjie-cpu-13|13:21|9:00:00|8|32G|jingjie-cpu-13
341166|RUNNING|jingjie-cpu-13|13:21|13:00:00|8|32G|jingjie-cpu-13
341167|RUNNING|jingjie-cpu-12|13:21|9:00:00|8|32G|jingjie-cpu-12
341168|RUNNING|jingjie-cpu-12|13:21|13:00:00|8|32G|jingjie-cpu-12
341169|RUNNING|jingjie-cpu-12|13:21|9:00:00|8|32G|jingjie-cpu-12
341170|RUNNING|jingjie-cpu-12|13:21|13:00:00|8|32G|jingjie-cpu-12
341171|RUNNING|jingjie-cpu-12|13:21|9:00:00|8|32G|jingjie-cpu-12
341172|RUNNING|jingjie-cpu-09|13:21|13:00:00|8|32G|jingjie-cpu-09
341173|RUNNING|jingjie-cpu-09|13:21|9:00:00|8|32G|jingjie-cpu-09
341174|RUNNING|jingjie-cpu-09|13:21|13:00:00|8|32G|jingjie-cpu-09
341175|RUNNING|jingjie-cpu-09|13:21|9:00:00|8|32G|jingjie-cpu-09
341176|RUNNING|jingjie-cpu-09|13:21|13:00:00|8|32G|jingjie-cpu-09
341177|RUNNING|jingjie-cpu-10|13:21|9:00:00|8|32G|jingjie-cpu-10
341178|RUNNING|jingjie-cpu-10|13:21|13:00:00|8|32G|jingjie-cpu-10
341179|RUNNING|jingjie-cpu-10|13:21|9:00:00|8|32G|jingjie-cpu-10
