cell_id,duty_id,soc_step,block_min,failed_local_from_trip,failed_local_to_trip,failed_ordered_from_trip,failed_ordered_to_trip,mode,certificate_scope,feasible,option_kind,station,start_soc_after_trip_kwh,station_arrival_soc_kwh,available_minutes,usable_blocks,charge_gain_kwh,outgoing_deadhead_kwh,resulting_soc_kwh,successor_energy_plus_reserve_kwh,binding_margin_kwh,binding_inequality,witness_json
k05_s1,13411,15.0,10,46,53,106,119,production_block_timing_production_soc_flooring,diagnostic_counterfactual_not_a_certificate,False,direct,,,,,,,0.0,15.0,,,,"{""accepted"":false,""arrival_min"":889.0,""deadline_min"":896.0,""direct_arc_exists"":true,""direct_arc_type"":""trip_trip"",""failed_predicates"":[""successor_energy_and_reserve_satisfied""],""option_kind"":""direct"",""outgoing_deadhead_kwh"":0.0,""outgoing_deadhead_min"":0.0,""position"":7,""predecessor_level"":4,""predecessor_soc_kwh"":60.0,""predicates"":{""deadline_satisfied"":true,""direct_arc_exists"":true,""resulting_level_valid"":true,""resulting_soc_meets_reserve"":true,""successor_energy_and_reserve_satisfied"":false},""reserve_kwh"":0.0,""resulting_soc_before_floor_kwh"":18.270000500000002,""resulting_soc_kwh"":15.0,""resulting_soc_level"":1,""soc_after_trip_kwh"":18.270000500000002,""station"":null,""successor"":53,""successor_energy_kwh"":42.5,""trip"":46,""trip_energy_kwh"":41.7299995}"
k05_s1,13411,15.0,10,46,53,106,119,continuous_timing_production_soc_flooring,diagnostic_counterfactual_not_a_certificate,True,station,4808_0,18.270000500000002,18.270000500000002,7.0,,30.0,0.0,45.0,42.5,2.5,45.000000000 >= 42.500000000,"{""arrival_min"":889.0,""available_minutes"":7.0,""binding_inequality"":""45.000000000 >= 42.500000000"",""binding_margin_kwh"":2.5,""charge_gain_kwh"":30.0,""feasible"":true,""latest_departure_min"":896.0,""option_kind"":""station"",""outgoing_deadhead_kwh"":0.0,""resulting_soc_kwh"":45.0,""start_soc_after_trip_kwh"":18.270000500000002,""station"":""4808_0"",""station_arrival_soc_kwh"":18.270000500000002,""successor_energy_plus_reserve_kwh"":42.5,""usable_blocks"":null}"
k05_s1,13411,15.0,10,46,53,106,119,production_block_timing_without_soc_flooring,diagnostic_counterfactual_not_a_certificate,True,direct,,45.28000200000002,,0.0,0,0.0,0.0,45.28000200000002,42.5,2.7800020000000174,45.280002000 >= 42.500000000,"{""available_minutes"":0.0,""binding_inequality"":""45.280002000 >= 42.500000000"",""binding_margin_kwh"":2.7800020000000174,""charge_gain_kwh"":0.0,""feasible"":true,""option_kind"":""direct"",""outgoing_deadhead_kwh"":0.0,""resulting_soc_kwh"":45.28000200000002,""start_soc_after_trip_kwh"":45.28000200000002,""station"":null,""station_arrival_soc_kwh"":null,""successor_energy_plus_reserve_kwh"":42.5,""usable_blocks"":0}"
k05_s1,13411,15.0,10,46,53,106,119,continuous_timing_continuous_soc,diagnostic_counterfactual_not_a_certificate,True,station,4808_0,45.28000200000002,45.28000200000002,7.0,,35.00000000000001,0.0,80.28000200000002,42.5,37.780002000000025,80.280002000 >= 42.500000000,"{""arrival_min"":889.0,""available_minutes"":7.0,""binding_inequality"":""80.280002000 >= 42.500000000"",""binding_margin_kwh"":37.780002000000025,""charge_gain_kwh"":35.00000000000001,""feasible"":true,""latest_departure_min"":896.0,""option_kind"":""station"",""outgoing_deadhead_kwh"":0.0,""resulting_soc_kwh"":80.28000200000002,""start_soc_after_trip_kwh"":45.28000200000002,""station"":""4808_0"",""station_arrival_soc_kwh"":45.28000200000002,""successor_energy_plus_reserve_kwh"":42.5,""usable_blocks"":null}"
k05_s1,13411,5.0,10,46,53,106,119,production_block_timing_production_soc_flooring,diagnostic_counterfactual_not_a_certificate,False,direct,,,,,,,0.0,30.0,,,,"{""accepted"":false,""arrival_min"":889.0,""deadline_min"":896.0,""direct_arc_exists"":true,""direct_arc_type"":""trip_trip"",""failed_predicates"":[""successor_energy_and_reserve_satisfied""],""option_kind"":""direct"",""outgoing_deadhead_kwh"":0.0,""outgoing_deadhead_min"":0.0,""position"":7,""predecessor_level"":15,""predecessor_soc_kwh"":75.0,""predicates"":{""deadline_satisfied"":true,""direct_arc_exists"":true,""resulting_level_valid"":true,""resulting_soc_meets_reserve"":true,""successor_energy_and_reserve_satisfied"":false},""reserve_kwh"":0.0,""resulting_soc_before_floor_kwh"":33.2700005,""resulting_soc_kwh"":30.0,""resulting_soc_level"":6,""soc_after_trip_kwh"":33.2700005,""station"":null,""successor"":53,""successor_energy_kwh"":42.5,""trip"":46,""trip_energy_kwh"":41.7299995}"
k05_s1,13411,5.0,10,46,53,106,119,continuous_timing_production_soc_flooring,diagnostic_counterfactual_not_a_certificate,True,station,4808_0,33.2700005,33.2700005,7.0,,35.0,0.0,65.0,42.5,22.5,65.000000000 >= 42.500000000,"{""arrival_min"":889.0,""available_minutes"":7.0,""binding_inequality"":""65.000000000 >= 42.500000000"",""binding_margin_kwh"":22.5,""charge_gain_kwh"":35.0,""feasible"":true,""latest_departure_min"":896.0,""option_kind"":""station"",""outgoing_deadhead_kwh"":0.0,""resulting_soc_kwh"":65.0,""start_soc_after_trip_kwh"":33.2700005,""station"":""4808_0"",""station_arrival_soc_kwh"":33.2700005,""successor_energy_plus_reserve_kwh"":42.5,""usable_blocks"":null}"
k05_s1,13411,5.0,10,46,53,106,119,production_block_timing_without_soc_flooring,diagnostic_counterfactual_not_a_certificate,True,direct,,55.28000199999999,,0.0,0,0.0,0.0,55.28000199999999,42.5,12.780001999999989,55.280002000 >= 42.500000000,"{""available_minutes"":0.0,""binding_inequality"":""55.280002000 >= 42.500000000"",""binding_margin_kwh"":12.780001999999989,""charge_gain_kwh"":0.0,""feasible"":true,""option_kind"":""direct"",""outgoing_deadhead_kwh"":0.0,""resulting_soc_kwh"":55.28000199999999,""start_soc_after_trip_kwh"":55.28000199999999,""station"":null,""station_arrival_soc_kwh"":null,""successor_energy_plus_reserve_kwh"":42.5,""usable_blocks"":0}"
k05_s1,13411,5.0,10,46,53,106,119,continuous_timing_continuous_soc,diagnostic_counterfactual_not_a_certificate,True,station,4808_0,55.28000199999999,55.28000199999999,7.0,,35.00000000000001,0.0,90.280002,42.5,47.780001999999996,90.280002000 >= 42.500000000,"{""arrival_min"":889.0,""available_minutes"":7.0,""binding_inequality"":""90.280002000 >= 42.500000000"",""binding_margin_kwh"":47.780001999999996,""charge_gain_kwh"":35.00000000000001,""feasible"":true,""latest_departure_min"":896.0,""option_kind"":""station"",""outgoing_deadhead_kwh"":0.0,""resulting_soc_kwh"":90.280002,""start_soc_after_trip_kwh"":55.28000199999999,""station"":""4808_0"",""station_arrival_soc_kwh"":55.28000199999999,""successor_energy_plus_reserve_kwh"":42.5,""usable_blocks"":null}"
k05_s1,13411,2.5,10,53,59,119,132,production_block_timing_production_soc_flooring,diagnostic_counterfactual_not_a_certificate,False,direct,,,,,,,0.0,7.5,,,,"{""accepted"":false,""arrival_min"":953.0,""deadline_min"":958.0,""direct_arc_exists"":true,""direct_arc_type"":""trip_trip"",""failed_predicates"":[""successor_energy_and_reserve_satisfied""],""option_kind"":""direct"",""outgoing_deadhead_kwh"":0.0,""outgoing_deadhead_min"":0.0,""position"":8,""predecessor_level"":20,""predecessor_soc_kwh"":50.0,""predicates"":{""deadline_satisfied"":true,""direct_arc_exists"":true,""resulting_level_valid"":true,""resulting_soc_meets_reserve"":true,""successor_energy_and_reserve_satisfied"":false},""reserve_kwh"":0.0,""resulting_soc_before_floor_kwh"":7.5,""resulting_soc_kwh"":7.5,""resulting_soc_level"":3,""soc_after_trip_kwh"":7.5,""station"":null,""successor"":59,""successor_energy_kwh"":41.7299995,""trip"":53,""trip_energy_kwh"":42.5}"
k05_s1,13411,2.5,10,53,59,119,132,continuous_timing_production_soc_flooring,diagnostic_counterfactual_not_a_certificate,False,station,2190L_0,7.5,7.5,5.0,,25.0,0.0,32.5,41.7299995,-9.229999499999998,32.500000000 >= 41.729999500,"{""arrival_min"":953.0,""available_minutes"":5.0,""binding_inequality"":""32.500000000 >= 41.729999500"",""binding_margin_kwh"":-9.229999499999998,""charge_gain_kwh"":25.0,""feasible"":false,""latest_departure_min"":958.0,""option_kind"":""station"",""outgoing_deadhead_kwh"":0.0,""resulting_soc_kwh"":32.5,""start_soc_after_trip_kwh"":7.5,""station"":""2190L_0"",""station_arrival_soc_kwh"":7.5,""successor_energy_plus_reserve_kwh"":41.7299995,""usable_blocks"":null}"
