cell_id,duty_id,soc_step,block_min,failed_local_from_trip,failed_local_to_trip,failed_ordered_from_trip,failed_ordered_to_trip,mode,certificate_scope,feasible,option_kind,station,start_soc_after_trip_kwh,station_arrival_soc_kwh,available_minutes,usable_blocks,charge_gain_kwh,outgoing_deadhead_kwh,resulting_soc_kwh,successor_energy_plus_reserve_kwh,binding_margin_kwh,binding_inequality,witness_json
k05_s1,13411,2.5,10,53,59,119,132,production_block_timing_without_soc_flooring,diagnostic_counterfactual_not_a_certificate,False,direct,,12.780001999999989,,0.0,0,0.0,0.0,12.780001999999989,41.7299995,-28.94999750000001,12.780002000 >= 41.729999500,"{""available_minutes"":0.0,""binding_inequality"":""12.780002000 >= 41.729999500"",""binding_margin_kwh"":-28.94999750000001,""charge_gain_kwh"":0.0,""feasible"":false,""option_kind"":""direct"",""outgoing_deadhead_kwh"":0.0,""resulting_soc_kwh"":12.780001999999989,""start_soc_after_trip_kwh"":12.780001999999989,""station"":null,""station_arrival_soc_kwh"":null,""successor_energy_plus_reserve_kwh"":41.7299995,""usable_blocks"":0}"
k05_s1,13411,2.5,10,53,59,119,132,continuous_timing_continuous_soc,diagnostic_counterfactual_not_a_certificate,False,station,2190L_0,12.780001999999989,12.780001999999989,5.0,,25.0,0.0,37.78000199999999,41.7299995,-3.949997500000009,37.780002000 >= 41.729999500,"{""arrival_min"":953.0,""available_minutes"":5.0,""binding_inequality"":""37.780002000 >= 41.729999500"",""binding_margin_kwh"":-3.949997500000009,""charge_gain_kwh"":25.0,""feasible"":false,""latest_departure_min"":958.0,""option_kind"":""station"",""outgoing_deadhead_kwh"":0.0,""resulting_soc_kwh"":37.78000199999999,""start_soc_after_trip_kwh"":12.780001999999989,""station"":""2190L_0"",""station_arrival_soc_kwh"":12.780001999999989,""successor_energy_plus_reserve_kwh"":41.7299995,""usable_blocks"":null}"
k05_s1,13411,1.0,10,53,59,119,132,production_block_timing_production_soc_flooring,diagnostic_counterfactual_not_a_certificate,False,direct,,,,,,,0.0,9.0,,,,"{""accepted"":false,""arrival_min"":953.0,""deadline_min"":958.0,""direct_arc_exists"":true,""direct_arc_type"":""trip_trip"",""failed_predicates"":[""successor_energy_and_reserve_satisfied""],""option_kind"":""direct"",""outgoing_deadhead_kwh"":0.0,""outgoing_deadhead_min"":0.0,""position"":8,""predecessor_level"":52,""predecessor_soc_kwh"":52.0,""predicates"":{""deadline_satisfied"":true,""direct_arc_exists"":true,""resulting_level_valid"":true,""resulting_soc_meets_reserve"":true,""successor_energy_and_reserve_satisfied"":false},""reserve_kwh"":0.0,""resulting_soc_before_floor_kwh"":9.5,""resulting_soc_kwh"":9.0,""resulting_soc_level"":9,""soc_after_trip_kwh"":9.5,""station"":null,""successor"":59,""successor_energy_kwh"":41.7299995,""trip"":53,""trip_energy_kwh"":42.5}"
k05_s1,13411,1.0,10,53,59,119,132,continuous_timing_production_soc_flooring,diagnostic_counterfactual_not_a_certificate,False,station,2190L_0,9.5,9.5,5.0,,25.0,0.0,34.0,41.7299995,-7.729999499999998,34.000000000 >= 41.729999500,"{""arrival_min"":953.0,""available_minutes"":5.0,""binding_inequality"":""34.000000000 >= 41.729999500"",""binding_margin_kwh"":-7.729999499999998,""charge_gain_kwh"":25.0,""feasible"":false,""latest_departure_min"":958.0,""option_kind"":""station"",""outgoing_deadhead_kwh"":0.0,""resulting_soc_kwh"":34.0,""start_soc_after_trip_kwh"":9.5,""station"":""2190L_0"",""station_arrival_soc_kwh"":9.5,""successor_energy_plus_reserve_kwh"":41.7299995,""usable_blocks"":null}"
k05_s1,13411,1.0,10,53,59,119,132,production_block_timing_without_soc_flooring,diagnostic_counterfactual_not_a_certificate,False,direct,,12.780001999999989,,0.0,0,0.0,0.0,12.780001999999989,41.7299995,-28.94999750000001,12.780002000 >= 41.729999500,"{""available_minutes"":0.0,""binding_inequality"":""12.780002000 >= 41.729999500"",""binding_margin_kwh"":-28.94999750000001,""charge_gain_kwh"":0.0,""feasible"":false,""option_kind"":""direct"",""outgoing_deadhead_kwh"":0.0,""resulting_soc_kwh"":12.780001999999989,""start_soc_after_trip_kwh"":12.780001999999989,""station"":null,""station_arrival_soc_kwh"":null,""successor_energy_plus_reserve_kwh"":41.7299995,""usable_blocks"":0}"
k05_s1,13411,1.0,10,53,59,119,132,continuous_timing_continuous_soc,diagnostic_counterfactual_not_a_certificate,False,station,2190L_0,12.780001999999989,12.780001999999989,5.0,,25.0,0.0,37.78000199999999,41.7299995,-3.949997500000009,37.780002000 >= 41.729999500,"{""arrival_min"":953.0,""available_minutes"":5.0,""binding_inequality"":""37.780002000 >= 41.729999500"",""binding_margin_kwh"":-3.949997500000009,""charge_gain_kwh"":25.0,""feasible"":false,""latest_departure_min"":958.0,""option_kind"":""station"",""outgoing_deadhead_kwh"":0.0,""resulting_soc_kwh"":37.78000199999999,""start_soc_after_trip_kwh"":12.780001999999989,""station"":""2190L_0"",""station_arrival_soc_kwh"":12.780001999999989,""successor_energy_plus_reserve_kwh"":41.7299995,""usable_blocks"":null}"
k05_s1,13411,1.0,5,73,77,158,167,production_block_timing_production_soc_flooring,diagnostic_counterfactual_not_a_certificate,False,direct,,,,,,,0.0,7.0,,,,"{""accepted"":false,""arrival_min"":1149.0,""deadline_min"":1153.0,""direct_arc_exists"":true,""direct_arc_type"":""trip_trip"",""failed_predicates"":[""successor_energy_and_reserve_satisfied""],""option_kind"":""direct"",""outgoing_deadhead_kwh"":0.0,""outgoing_deadhead_min"":0.0,""position"":11,""predecessor_level"":49,""predecessor_soc_kwh"":49.0,""predicates"":{""deadline_satisfied"":true,""direct_arc_exists"":true,""resulting_level_valid"":true,""resulting_soc_meets_reserve"":true,""successor_energy_and_reserve_satisfied"":false},""reserve_kwh"":0.0,""resulting_soc_before_floor_kwh"":7.270000500000002,""resulting_soc_kwh"":7.0,""resulting_soc_level"":7,""soc_after_trip_kwh"":7.270000500000002,""station"":null,""successor"":77,""successor_energy_kwh"":42.5,""trip"":73,""trip_energy_kwh"":41.7299995}"
k05_s1,13411,1.0,5,73,77,158,167,continuous_timing_production_soc_flooring,diagnostic_counterfactual_not_a_certificate,False,station,4808_0,7.270000500000002,7.270000500000002,4.0,,20.0,0.0,27.0,42.5,-15.5,27.000000000 >= 42.500000000,"{""arrival_min"":1149.0,""available_minutes"":4.0,""binding_inequality"":""27.000000000 >= 42.500000000"",""binding_margin_kwh"":-15.5,""charge_gain_kwh"":20.0,""feasible"":false,""latest_departure_min"":1153.0,""option_kind"":""station"",""outgoing_deadhead_kwh"":0.0,""resulting_soc_kwh"":27.0,""start_soc_after_trip_kwh"":7.270000500000002,""station"":""4808_0"",""station_arrival_soc_kwh"":7.270000500000002,""successor_energy_plus_reserve_kwh"":42.5,""usable_blocks"":null}"
k05_s1,13411,1.0,5,73,77,158,167,production_block_timing_without_soc_flooring,diagnostic_counterfactual_not_a_certificate,False,direct,,11.820003000000007,,0.0,0,0.0,0.0,11.820003000000007,42.5,-30.679996999999993,11.820003000 >= 42.500000000,"{""available_minutes"":0.0,""binding_inequality"":""11.820003000 >= 42.500000000"",""binding_margin_kwh"":-30.679996999999993,""charge_gain_kwh"":0.0,""feasible"":false,""option_kind"":""direct"",""outgoing_deadhead_kwh"":0.0,""resulting_soc_kwh"":11.820003000000007,""start_soc_after_trip_kwh"":11.820003000000007,""station"":null,""station_arrival_soc_kwh"":null,""successor_energy_plus_reserve_kwh"":42.5,""usable_blocks"":0}"
k05_s1,13411,1.0,5,73,77,158,167,continuous_timing_continuous_soc,diagnostic_counterfactual_not_a_certificate,False,station,4808_0,11.820003000000007,11.820003000000007,4.0,,20.0,0.0,31.820003000000007,42.5,-10.679996999999993,31.820003000 >= 42.500000000,"{""arrival_min"":1149.0,""available_minutes"":4.0,""binding_inequality"":""31.820003000 >= 42.500000000"",""binding_margin_kwh"":-10.679996999999993,""charge_gain_kwh"":20.0,""feasible"":false,""latest_departure_min"":1153.0,""option_kind"":""station"",""outgoing_deadhead_kwh"":0.0,""resulting_soc_kwh"":31.820003000000007,""start_soc_after_trip_kwh"":11.820003000000007,""station"":""4808_0"",""station_arrival_soc_kwh"":11.820003000000007,""successor_energy_plus_reserve_kwh"":42.5,""usable_blocks"":null}"
