cell_id,duty_id,soc_step,block_min,position,local_trip,ordered_trip,local_successor,ordered_successor,level,soc_kwh,cost,actions_json
k05_s1,13411,15.0,10,7,46,106,53,119,4,60.0,100018.92800000001,"[{""deadhead_kwh"":7.8,""kind"":""source"",""next_trip"":4,""travel_min"":7.0,""waiting_min"":369.0},{""deadhead_kwh"":0.0,""entry_level"":16,""exit_level"":19,""expanded_grid_kwh"":45.0,""first_block"":43,""from_trip"":4,""kind"":""charge"",""last_block"":43,""next_trip"":11,""station"":""2190L_0"",""travel_min"":0.0,""waiting_min"":0.0},{""deadhead_kwh"":0.0,""from_trip"":11,""kind"":""direct"",""next_trip"":17,""travel_min"":0.0,""waiting_min"":7.0},{""deadhead_kwh"":0.0,""from_trip"":17,""kind"":""direct"",""next_trip"":23,""travel_min"":0.0,""waiting_min"":6.0},{""deadhead_kwh"":0.0,""from_trip"":23,""kind"":""direct"",""next_trip"":29,""travel_min"":0.0,""waiting_min"":7.0},{""deadhead_kwh"":0.0,""from_trip"":29,""kind"":""direct"",""next_trip"":35,""travel_min"":0.0,""waiting_min"":10.0},{""deadhead_kwh"":0.0,""from_trip"":35,""kind"":""direct"",""next_trip"":41,""travel_min"":0.0,""waiting_min"":7.0},{""deadhead_kwh"":0.0,""entry_level"":1,""exit_level"":4,""expanded_grid_kwh"":45.0,""first_block"":82,""from_trip"":41,""kind"":""charge"",""last_block"":82,""next_trip"":46,""station"":""2190L_0"",""travel_min"":0.0,""waiting_min"":0.0}]"
k05_s1,13411,5.0,10,7,46,106,53,119,15,75.0,100019.92000000001,"[{""deadhead_kwh"":7.8,""kind"":""source"",""next_trip"":4,""travel_min"":7.0,""waiting_min"":369.0},{""deadhead_kwh"":0.0,""entry_level"":49,""exit_level"":59,""expanded_grid_kwh"":50.0,""first_block"":43,""from_trip"":4,""kind"":""charge"",""last_block"":43,""next_trip"":11,""station"":""2190L_0"",""travel_min"":0.0,""waiting_min"":0.0},{""deadhead_kwh"":0.0,""from_trip"":11,""kind"":""direct"",""next_trip"":17,""travel_min"":0.0,""waiting_min"":7.0},{""deadhead_kwh"":0.0,""from_trip"":17,""kind"":""direct"",""next_trip"":23,""travel_min"":0.0,""waiting_min"":6.0},{""deadhead_kwh"":0.0,""from_trip"":23,""kind"":""direct"",""next_trip"":29,""travel_min"":0.0,""waiting_min"":7.0},{""deadhead_kwh"":0.0,""from_trip"":29,""kind"":""direct"",""next_trip"":35,""travel_min"":0.0,""waiting_min"":10.0},{""deadhead_kwh"":0.0,""from_trip"":35,""kind"":""direct"",""next_trip"":41,""travel_min"":0.0,""waiting_min"":7.0},{""deadhead_kwh"":0.0,""entry_level"":5,""exit_level"":15,""expanded_grid_kwh"":50.0,""first_block"":82,""from_trip"":41,""kind"":""charge"",""last_block"":82,""next_trip"":46,""station"":""2190L_0"",""travel_min"":0.0,""waiting_min"":0.0}]"
k05_s1,13411,2.5,10,8,53,119,59,132,20,50.0,100019.92000000001,"[{""deadhead_kwh"":7.8,""kind"":""source"",""next_trip"":4,""travel_min"":7.0,""waiting_min"":369.0},{""deadhead_kwh"":0.0,""entry_level"":99,""exit_level"":119,""expanded_grid_kwh"":50.0,""first_block"":43,""from_trip"":4,""kind"":""charge"",""last_block"":43,""next_trip"":11,""station"":""2190L_0"",""travel_min"":0.0,""waiting_min"":0.0},{""deadhead_kwh"":0.0,""from_trip"":11,""kind"":""direct"",""next_trip"":17,""travel_min"":0.0,""waiting_min"":7.0},{""deadhead_kwh"":0.0,""from_trip"":17,""kind"":""direct"",""next_trip"":23,""travel_min"":0.0,""waiting_min"":6.0},{""deadhead_kwh"":0.0,""from_trip"":23,""kind"":""direct"",""next_trip"":29,""travel_min"":0.0,""waiting_min"":7.0},{""deadhead_kwh"":0.0,""from_trip"":29,""kind"":""direct"",""next_trip"":35,""travel_min"":0.0,""waiting_min"":10.0},{""deadhead_kwh"":0.0,""from_trip"":35,""kind"":""direct"",""next_trip"":41,""travel_min"":0.0,""waiting_min"":7.0},{""deadhead_kwh"":0.0,""entry_level"":17,""exit_level"":37,""expanded_grid_kwh"":50.0,""first_block"":82,""from_trip"":41,""kind"":""charge"",""last_block"":82,""next_trip"":46,""station"":""2190L_0"",""travel_min"":0.0,""waiting_min"":0.0},{""deadhead_kwh"":0.0,""from_trip"":46,""kind"":""direct"",""next_trip"":53,""travel_min"":0.0,""waiting_min"":7.0}]"
k05_s1,13411,1.0,10,8,53,119,59,132,52,52.0,100019.92000000001,"[{""deadhead_kwh"":7.8,""kind"":""source"",""next_trip"":4,""travel_min"":7.0,""waiting_min"":369.0},{""deadhead_kwh"":0.0,""entry_level"":249,""exit_level"":299,""expanded_grid_kwh"":50.0,""first_block"":43,""from_trip"":4,""kind"":""charge"",""last_block"":43,""next_trip"":11,""station"":""2190L_0"",""travel_min"":0.0,""waiting_min"":0.0},{""deadhead_kwh"":0.0,""from_trip"":11,""kind"":""direct"",""next_trip"":17,""travel_min"":0.0,""waiting_min"":7.0},{""deadhead_kwh"":0.0,""from_trip"":17,""kind"":""direct"",""next_trip"":23,""travel_min"":0.0,""waiting_min"":6.0},{""deadhead_kwh"":0.0,""from_trip"":23,""kind"":""direct"",""next_trip"":29,""travel_min"":0.0,""waiting_min"":7.0},{""deadhead_kwh"":0.0,""from_trip"":29,""kind"":""direct"",""next_trip"":35,""travel_min"":0.0,""waiting_min"":10.0},{""deadhead_kwh"":0.0,""from_trip"":35,""kind"":""direct"",""next_trip"":41,""travel_min"":0.0,""waiting_min"":7.0},{""deadhead_kwh"":0.0,""entry_level"":44,""exit_level"":94,""expanded_grid_kwh"":50.0,""first_block"":82,""from_trip"":41,""kind"":""charge"",""last_block"":82,""next_trip"":46,""station"":""2190L_0"",""travel_min"":0.0,""waiting_min"":0.0},{""deadhead_kwh"":0.0,""from_trip"":46,""kind"":""direct"",""next_trip"":53,""travel_min"":0.0,""waiting_min"":7.0}]"
k05_s1,13411,1.0,5,11,73,158,77,167,49,49.0,100057.31999999999,"[{""deadhead_kwh"":7.8,""kind"":""source"",""next_trip"":4,""travel_min"":7.0,""waiting_min"":369.0},{""deadhead_kwh"":0.0,""entry_level"":249,""exit_level"":299,""expanded_grid_kwh"":50.0,""first_block"":86,""from_trip"":4,""kind"":""charge"",""last_block"":87,""next_trip"":11,""station"":""2190L_0"",""travel_min"":0.0,""waiting_min"":0.0},{""deadhead_kwh"":0.0,""entry_level"":257,""exit_level"":282,""expanded_grid_kwh"":25.0,""first_block"":100,""from_trip"":11,""kind"":""charge"",""last_block"":100,""next_trip"":17,""station"":""4808_0"",""travel_min"":0.0,""waiting_min"":2.0},{""deadhead_kwh"":0.0,""entry_level"":239,""exit_level"":264,""expanded_grid_kwh"":25.0,""first_block"":113,""from_trip"":17,""kind"":""charge"",""last_block"":113,""next_trip"":23,""station"":""2190L_0"",""travel_min"":0.0,""waiting_min"":1.0},{""deadhead_kwh"":0.0,""from_trip"":23,""kind"":""direct"",""next_trip"":29,""travel_min"":0.0,""waiting_min"":7.0},{""deadhead_kwh"":0.0,""entry_level"":179,""exit_level"":204,""expanded_grid_kwh"":25.0,""first_block"":138,""from_trip"":29,""kind"":""charge"",""last_block"":138,""next_trip"":35,""station"":""2190L_0"",""travel_min"":0.0,""waiting_min"":5.0},{""deadhead_kwh"":0.0,""from_trip"":35,""kind"":""direct"",""next_trip"":41,""travel_min"":0.0,""waiting_min"":7.0},{""deadhead_kwh"":0.0,""entry_level"":119,""exit_level"":169,""expanded_grid_kwh"":50.0,""first_block"":164,""from_trip"":41,""kind"":""charge"",""last_block"":165,""next_trip"":46,""station"":""2190L_0"",""travel_min"":0.0,""waiting_min"":0.0},{""deadhead_kwh"":0.0,""entry_level"":127,""exit_level"":152,""expanded_grid_kwh"":25.0,""first_block"":178,""from_trip"":46,""kind"":""charge"",""last_block"":178,""next_trip"":53,""station"":""4808_0"",""travel_min"":0.0,""waiting_min"":2.0},{""deadhead_kwh"":0.0,""from_trip"":53,""kind"":""direct"",""next_trip"":59,""travel_min"":0.0,""waiting_min"":5.0},{""deadhead_kwh"":0.0,""from_trip"":59,""kind"":""direct"",""next_trip"":66,""travel_min"":0.0,""waiting_min"":7.0},{""deadhead_kwh"":0.0,""entry_level"":24,""exit_level"":49,""expanded_grid_kwh"":25.0,""first_block"":217,""from_trip"":66,""kind"":""charge"",""last_block"":217,""next_trip"":73,""station"":""2190L_0"",""travel_min"":0.0,""waiting_min"":3.0}]"
