schema,cell_id,scale,selection_replicate,duty_id,trip_count,instance_file_sha256,duty_ordered_trip_sequence_sha256,known_partition_continuously_feasible,known_partition_in_primary_expanded_space,fixed_sequence_pricing_certified,first_feasible_soc_step,first_feasible_block_min,nonrepresentability_reason,grid_outcome_count,v1_parity_verified,trip_identity_schema
evsp-dr-scale-ladder-duty-membership-summary-v2,k02_s1,2,1,13310,24,57f672139f86849429c2f580bb68126246aca7b804f9303239fbe1a35fba887e,dcfe4d18847b249928320cf3a081c134eed6730aed99fa38fc738ff43225c583,True,False,True,1.0,5,no fixed-duty transition 21->22,5,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k02_s1,2,1,13316m,23,57f672139f86849429c2f580bb68126246aca7b804f9303239fbe1a35fba887e,c23ae04b38aa5cfeee1ecbe9ce9a8cfb669889c2390de772481d08b98a6c26fc,True,False,True,1.0,5,no fixed-duty transition 40->41,5,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k02_s2,2,2,13406,14,6ca7e2db690120699d59fc81428b0f1af00c5cc3889770e8f2860af040244932,352e0d8eca2de5341bc7e7e2b00acad7851d2b5eebf64bb4cfeaf610652c5b88,True,True,True,15.0,10,,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k02_s2,2,2,13413,15,6ca7e2db690120699d59fc81428b0f1af00c5cc3889770e8f2860af040244932,475dc16737406cb49efbc199851c630d344fdf797b99e84b6d7c777a0c0e72d5,True,False,True,1.0,5,no fixed-duty transition 14->16,5,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k02_s3,2,3,13305,30,ec5d73b5b841b36be694c3ef8e4003b8cdfa1997f6f8afb8e6b7aad7581461b5,74dff6b15bcaf2d172bb850a62f131480ca1bf559c1607eb76e12ac18d82899b,True,False,True,1.0,5,no fixed-duty transition 18->22,5,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k02_s3,2,3,13322,26,ec5d73b5b841b36be694c3ef8e4003b8cdfa1997f6f8afb8e6b7aad7581461b5,e4a831817da57ac646d13e696f3928d5934a2fb4d445c13d71177e34c8740675,True,False,True,1.0,5,no fixed-duty transition 28->30,5,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k03_s1,3,1,13310,24,e6ed7045cb2778b4de5954163a91d7ad439b9c6e3f42dd823c122c2ae35cbec5,dcfe4d18847b249928320cf3a081c134eed6730aed99fa38fc738ff43225c583,True,False,True,1.0,5,no fixed-duty transition 27->29,5,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k03_s1,3,1,13316m,23,e6ed7045cb2778b4de5954163a91d7ad439b9c6e3f42dd823c122c2ae35cbec5,c23ae04b38aa5cfeee1ecbe9ce9a8cfb669889c2390de772481d08b98a6c26fc,True,False,True,1.0,5,no fixed-duty transition 50->51,5,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k03_s1,3,1,13406,14,e6ed7045cb2778b4de5954163a91d7ad439b9c6e3f42dd823c122c2ae35cbec5,352e0d8eca2de5341bc7e7e2b00acad7851d2b5eebf64bb4cfeaf610652c5b88,True,True,True,15.0,10,,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k03_s2,3,2,13305,30,0205f86e964212942b6af5690adcbcd006df8263cc2fe103ea7923d28e378397,74dff6b15bcaf2d172bb850a62f131480ca1bf559c1607eb76e12ac18d82899b,True,False,True,1.0,5,no fixed-duty transition 22->26,5,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k03_s2,3,2,13322,26,0205f86e964212942b6af5690adcbcd006df8263cc2fe103ea7923d28e378397,e4a831817da57ac646d13e696f3928d5934a2fb4d445c13d71177e34c8740675,True,False,True,1.0,5,no fixed-duty transition 33->36,5,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k03_s2,3,2,13413,15,0205f86e964212942b6af5690adcbcd006df8263cc2fe103ea7923d28e378397,475dc16737406cb49efbc199851c630d344fdf797b99e84b6d7c777a0c0e72d5,True,False,True,1.0,5,no fixed-duty transition 39->46,5,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k03_s3,3,3,13319,27,2532b4fb13b6c22968578a3abd6d909986116318a08a3506ed7e41b41aa43f95,5e89d69b91afd3b597c1d04f392b386c87ed396e165f8c9e49a452aab006dc2e,True,False,True,1.0,5,no fixed-duty transition 32->33,5,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k03_s3,3,3,13323,8,2532b4fb13b6c22968578a3abd6d909986116318a08a3506ed7e41b41aa43f95,6417017ba38dc24b35cbe87c27d8128c938ede3921293c23a72f2ad948e4e09d,True,True,True,15.0,10,,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k03_s3,3,3,13414,12,2532b4fb13b6c22968578a3abd6d909986116318a08a3506ed7e41b41aa43f95,b591009977b72b269bc6f903f4e58b8a376efb8646da5212e6c9845829ec2862,True,True,True,15.0,10,,1,True,evsp-dr-trip-identity-v1
evsp-dr-scale-ladder-duty-membership-summary-v2,k05_s1,5,1,13302,50,fc10ac0707becb960364e76b8c1e1c414d5d5639cbc3b7dadaf67a77e03f5322,9af66f188ade30370a63a3983b6727b0e03fae59f0159dd0f1bfe47c9e76c3f1,True,False,True,1.0,5,no fixed-duty transition 24->26,5,True,evsp-dr-trip-identity-v1
