case_id,chain,target_k,fresh_cg_allowance_min,fresh_cg_minutes,fresh_cg_certified,fresh_cg_stop,fresh_weighted_lp_objective,fresh_fractional_route_weight,fresh_buses,fresh_pool_fleet_bound,fresh_fleet_proven,fresh_mip_status,fresh_meaning,warm_buses,warm_fleet_proven,fresh_cg_source_path,fresh_cg_source_sha256,fresh_mip_source_path,fresh_mip_source_sha256,warm_mip_source_path,warm_mip_source_sha256,snapshot_path,snapshot_sha256
c4_k05,4,5,20.166666666666668,11.326359283186806,True,certified,500221.5718461575,5.000000000000036,5,5.0,True,OPTIMAL,target matched,5,True,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c4_k05/base/135648_r0/cg.json,bd3625b3d505db2bcdd8f5345d7fced63247d50a6791178aba407cb56da963a8,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c4_k05/mip_base/135650_r0/result.json,952df9e22d1387253ca0a352838a1d7a60d720613a4383b8aedc627c96260134,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c4_k05/mip_warm/135649_r0/result.json,480afcb2eb2e488c7eeb3e8b5199cabee1852aaf45ae7c9cbd2cab177b79726d,outputs/post_meeting_20260910/monitor/20260914T215636Z.json,1d33ef956bb17f9af5556fa05e3b17ca4df47104b09c0f101bce89d01c80e402
c4_k08,4,8,387.01666666666665,47.293512854154685,True,certified,800359.8182244832,7.999999999999983,9,9.0,True,TIME_LIMIT,proved pool limit above target,8,True,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c4_k08/base/135653_r0/cg.json,6d64febeeb1d25cc7245e38133c17ea696b76b4419f385d4219f3a17e5a63d4c,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c4_k08/mip_base/135655_r0/result.json,7d5fdb4e6a73f4b6dbb6df9aace22ea50f60d30e96c25cdc518547c7df7da0be,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c4_k08/mip_warm/135654_r0/result.json,97b19ca46cf80aa0a8b0fbd192505fbf6d132d35bb38cb8c4a8594c4a6973553,outputs/post_meeting_20260910/monitor/20260914T215636Z.json,1d33ef956bb17f9af5556fa05e3b17ca4df47104b09c0f101bce89d01c80e402
c4_k10,4,10,716.3833333333333,59.40527100576243,True,certified,1000426.2710758037,10.000000000000014,11,10.000000000000712,False,TIME_LIMIT,fleet gap open,10,True,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c4_k10/base/135658_r0/cg.json,fa9b3f9f5415b964c8093a418640e02f84829b4381d5b92bb57e8fbacff4d43c,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c4_k10/mip_base/135660_r0/result.json,d79480c0e2c528400876c257d7001d5d7b9fbc5c321270c5f75b5bc125f0ae05,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c4_k10/mip_warm/135659_r0/result.json,61dde8d868c3386ff2be3254331a228ea99e9c44d674d8e00c3f8093368ba5e9,outputs/post_meeting_20260910/monitor/20260914T215636Z.json,1d33ef956bb17f9af5556fa05e3b17ca4df47104b09c0f101bce89d01c80e402
c4_k15,4,15,915.5166666666667,246.4985810852532,True,certified,1500637.928983817,14.999999999999904,19,15.000000000000068,False,TIME_LIMIT,fleet gap open,15,True,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c4_k15/base/135663_r0/cg.json,92ff859870255f0704d5093b800bed23b51e86958183a169a6820dc4bf567f04,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c4_k15/mip_base/135665_r0/result.json,f77709fc8398f3376db753c3028fdef8f5dae6c7ca6aa71af89a3601de0c2ba7,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c4_k15/mip_warm/135664_r0/result.json,f82868a317863b9700fce9260c90d7943b203c885fced175f6fddf8fe2efd083,outputs/post_meeting_20260910/monitor/20260914T215636Z.json,1d33ef956bb17f9af5556fa05e3b17ca4df47104b09c0f101bce89d01c80e402
c5_k05,5,5,110.01666666666667,8.019314299353088,True,certified,500276.1920000015,5.000000000000015,6,6.0,True,OPTIMAL,proved pool limit above target,5,True,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c5_k05/base/135669_r0/cg.json,7e351b9b2e90974fc45826f9a9e88273303fda853a308b28f34944beaee8d7c2,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c5_k05/mip_base/135671_r0/result.json,ab66ed3b0f6e5a10951ae34a8a93f48c81e7c826dd64ebeac4b4cbb0aef61926,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c5_k05/mip_warm/135670_r0/result.json,03222826e0c4b3c60c30fae4ef93ac1d51f8e0b8c42af61b6196da6a8ace3d8c,outputs/post_meeting_20260910/monitor/20260914T215636Z.json,1d33ef956bb17f9af5556fa05e3b17ca4df47104b09c0f101bce89d01c80e402
c5_k08,5,8,630.4166666666666,25.948461752089983,True,certified,800431.7722696166,8.000000000000025,9,9.0,True,TIME_LIMIT,proved pool limit above target,8,True,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c5_k08/base/135675_r0/cg.json,364c6a6505bf510678634a2922b51a8185febbbbf276e7e1e7d755db04cd9e2f,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c5_k08/mip_base/135677_r0/result.json,7e0c12ec4fd898f5038f10ca06e6d320e32b3e5c109e465a252a158bd0e66910,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c5_k08/mip_warm/135676_r0/result.json,390a77c4dff0bb3d29f90b62fd4290a5ed74fd7167acb460a86ba774a07b11f1,outputs/post_meeting_20260910/monitor/20260914T215636Z.json,1d33ef956bb17f9af5556fa05e3b17ca4df47104b09c0f101bce89d01c80e402
c5_k10,5,10,1209.8166666666666,33.47974148831175,True,certified,1000456.3339241291,9.999999999999913,11,10.00000000000002,False,TIME_LIMIT,fleet gap open,10,True,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c5_k10/base/135680_r0/cg.json,4795bf7b04a776533055d1c9359631eda385e96af76fb3a76cca08b6467260ee,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c5_k10/mip_base/135682_r0/result.json,db16ef1735444a8c6cc8da16d5f8a2bd884b302a0fce13abd27e6a931547acdf,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c5_k10/mip_warm/135681_r0/result.json,5e76a30d4f27b3e22ecd5ea2acf8dc120e4306ccca932f03a02e493d42ae70af,outputs/post_meeting_20260910/monitor/20260914T215636Z.json,1d33ef956bb17f9af5556fa05e3b17ca4df47104b09c0f101bce89d01c80e402
c5_k15,5,15,1388.7,164.37896558979992,True,certified,1500669.1594586938,14.999999999999904,16,15.0000000000001,False,TIME_LIMIT,fleet gap open,15,True,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c5_k15/base/135685_r0/cg.json,c2cc709f60bdb18f5e5fd02ee66632550791b3f9cb0f7f512f2fede8e14c25ae,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c5_k15/mip_base/135687_r0/result.json,5d205a87cbc701a70b282578f901adb299315a0d1fed0c9cb973755ec6474d20,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c5_k15/mip_warm/135686_r0/result.json,37b52635969393aab3bb15faa8d90bc815e1f45da655732b9a1ba0f8b502080e,outputs/post_meeting_20260910/monitor/20260914T215636Z.json,1d33ef956bb17f9af5556fa05e3b17ca4df47104b09c0f101bce89d01c80e402
c6_k05,6,5,15.016666666666667,6.132772368635051,True,certified,500141.64,5.0,5,5.0,True,OPTIMAL,target matched,5,True,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c6_k05/base/135690_r0/cg.json,c70719fa1c28962db62b72929c106eb2527edf26174b357109d96759e2e2ee19,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c6_k05/mip_base/135692_r0/result.json,9221c110deb9d2ded687e4ff531afefb8a2f5e0a37f4cf60c326e177fc6c5a6e,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c6_k05/mip_warm/135691_r0/result.json,e720b2458291a9be1ebcfc04ed12d3f428d9ce021154be26256a4304b8e1f5a5,outputs/post_meeting_20260910/monitor/20260914T215636Z.json,1d33ef956bb17f9af5556fa05e3b17ca4df47104b09c0f101bce89d01c80e402
c6_k08,6,8,104.56666666666666,12.782074214572397,True,certified,800293.6644705884,8.000000000000002,8,8.0,True,OPTIMAL,target matched,8,True,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c6_k08/base/135696_r0/cg.json,f9e9bbe9754ad34b6522a685fbad123bfbfedbab5546f9d5b7ee3b9fdabf6392,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c6_k08/mip_base/135698_r0/result.json,d5b6260a07a8713ab875f72d821267bba76cfac9e8f84f84bf30d9b7bf4649f9,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c6_k08/mip_warm/135697_r0/result.json,cd9916534fe7fe551a78306675ce8fa9be871c551cfdd0305f6a9001c0737ac8,outputs/post_meeting_20260910/monitor/20260914T215636Z.json,1d33ef956bb17f9af5556fa05e3b17ca4df47104b09c0f101bce89d01c80e402
c6_k10,6,10,353.31666666666666,27.156949346962694,True,certified,1000377.8715555579,10.000000000000023,11,10.000000000000018,False,TIME_LIMIT,fleet gap open,10,True,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c6_k10/base/135701_r0/cg.json,c4157d441b3fd00c90a491710d3855d0b648bfc58d507fb0c067c6fcb7dd922d,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c6_k10/mip_base/135703_r0/result.json,8a312f1c7c75342a84de16915c731e92496c9e796b7155779219cfb39cc9fe9d,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c6_k10/mip_warm/135702_r0/result.json,169b4505a8b5970586084726add6f3095c561beda92f0ce17fa12e37d0544127,outputs/post_meeting_20260910/monitor/20260914T215636Z.json,1d33ef956bb17f9af5556fa05e3b17ca4df47104b09c0f101bce89d01c80e402
c6_k15,6,15,632.1333333333333,219.76146419079353,True,certified,1500606.3379640894,15.000000000000131,20,15.00000000000002,False,TIME_LIMIT,fleet gap open,15,True,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c6_k15/base/135706_r0/cg.json,51ba7a2f4beddfb083a27d4ef8715e1e05f69418a483e9734e69617a7dcb06b5,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c6_k15/mip_base/135708_r0/result.json,86680de39a5ec353b7bb45b3b47fbfc71a375ff2aa7b51212e29f8786cf657cf,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c6_k15/mip_warm/135707_r0/result.json,4ff740dee52be86781cba7095797b2c0e955e41b75cecb684ae5095883be4759,outputs/post_meeting_20260910/monitor/20260914T215636Z.json,1d33ef956bb17f9af5556fa05e3b17ca4df47104b09c0f101bce89d01c80e402
