case_id,chain,target,treatment,starting_sequences,cg_minutes,cg_certificate,cg_stop_reason,weighted_lp_objective,fractional_route_weight,cg_pool_columns,last_reduced_cost,cg_path,cg_sha256,buses,pool_fleet_bound,fleet_proved,pool_columns,total_mip_minutes,fleet_search_minutes,charging_status,individual_route_replay,duplicate_removal_validated,shared_capacity_validated,mip_path,mip_sha256
c4_k20_core512,4,20,previous_k_core512,512,239.05834616529756,False,wall_limit,2000919.6184052986,20.000000000000057,68881,-1.9158276121152156,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c4_k20_core512/cg.json,73e21d95ccaf7194cfed044ec6b24ca196caa91afbcf916026f8a47484b8de43,20,20.0,True,68881,47.4078843275706,0.4448771794637044,OPTIMAL,True,False,False,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c4_k20_core512_mip/mip_result.json,a138941ea9a68385ec2b74c2229f881ea85fe1dc7882ae5ffb923e1b73ba4c27
c4_k25_core,4,25,previous_k_core,406,239.08053709262362,False,wall_limit,2501116.768849839,25.00000000000003,50913,-1.2703521262490605,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c4_k25_core/cg.json,f7fcdfe520dcb7077f7b0fe37e9028285d54d99e49eb3e8943741a1b02936140,,,,,,,,,,,,
c4_k25_core512,4,25,previous_k_core512,512,239.17340919336615,False,wall_limit,2501116.0513454094,25.000000000000085,50629,-0.865239429218418,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c4_k25_core512/cg.json,7520eb1cdc95621472613a5e375b04acf310bf76a8ad276846b13f550c77a0b5,,,,,,,,,,,,
c5_k20_core,5,20,previous_k_core,291,239.0523414902156,False,wall_limit,2000913.6783518698,19.999999999999872,72719,-0.07223495102844346,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c5_k20_core/cg.json,e3e2cc793e74461bc135060a719d2fb7a75ccc2fa6a38bb94fa0c63151069c7e,,,,,,,,,,,,
c5_k20_core512,5,20,previous_k_core512,512,239.0697638373434,False,wall_limit,2000913.6465356478,20.00000000000014,72790,-0.0042818806361486494,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c5_k20_core512/cg.json,572f50624bffb8f4c8eb54cc61e52fd03905ca7d8f2dfa6b2e0677ed37683345,,,,,,,,,,,,
c5_k25_core,5,25,previous_k_core,452,239.2115852964033,False,wall_limit,2501085.963302628,25.000000000000146,49766,-1.1999447558491578,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c5_k25_core/cg.json,86b21b925b887d8b6b2ffb5d23547dc11d4f338a3bf434b73c57800ea185af86,,,,,,,,,,,,
c5_k25_core512,5,25,previous_k_core512,512,239.2258562647039,False,wall_limit,2501085.8031769246,25.000000000000153,49196,-0.9342281864478368,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c5_k25_core512/cg.json,212eb26430cddcbf40bd87dc6ebce10dff4b7d3290e23b2bed20dd7052b2e11f,,,,,,,,,,,,
c6_k20_core,6,20,previous_k_core,288,239.15600003786386,False,wall_limit,2000831.1815628526,20.00000000000009,66987,-0.6153788921743264,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c6_k20_core/cg.json,a5db91c8967216c1291ba7be96b0a2a4b7641fdd2653440c3a0be85f4739ed58,20,19.999999999999314,True,66987,11.245698583126067,0.1418729305267334,OPTIMAL,True,False,False,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c6_k20_core_mip/mip_result.json,eb59336cfa1185b05544f1bbc5b81ce43c4418f07884366505a183a6b70251e5
c6_k20_core512,6,20,previous_k_core512,512,239.15645997455965,False,wall_limit,2000833.321945187,20.000000000000664,45701,-2.7919751346882635,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c6_k20_core512/cg.json,55dc9e91158ac6a5610b86a66a7b342bb1e22f63632b9ce8cb9d623f91b348d7,20,20.0,True,45701,5.35910257101059,0.1374529480934143,OPTIMAL,True,False,False,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c6_k20_core512_mip/mip_result.json,a9ac93cb8d73560c817957e6dff169e80933a36b72f95652e307aea112255508
c6_k25_core,6,25,previous_k_core,403,239.17966567537903,False,wall_limit,2501016.5057897363,24.999999999999787,53693,-0.14860178124045387,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c6_k25_core/cg.json,7a7397c22cfd17dc9ff9a5dbd27425a846cba7b57d9cf74f3c1700a0671aedcb,,,,,,,,,,,,
c6_k25_core512,6,25,previous_k_core512,512,239.15664403851454,False,wall_limit,2501016.8180170218,24.99999999999972,40122,-0.9268995662211159,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c6_k25_core512/cg.json,dd1e0b7d3a0eaa89482ca1deff962d2a134f02ef475b140cc37cebdded1dab84,25,25.0,True,40122,30.76408768494924,1.1281409899393717,OPTIMAL,True,False,False,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c6_k25_core512_mip/mip_result.json,0975b763e0fdc48af3f64f3dfb0de0dac2b5a3b991addbc6d64c050a9621e8b1
