case,target,seed_routes,cg_minutes,weighted_lp_objective,fractional_route_weight,pricing_certified,minimum_reduced_cost,path,sha256,input_sha256,execution_commit
c3_k20_core,20,306,110.7440848493871,2000780.1004924544,20.00000000000036,True,-2.15175814943791e-08,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c3_k20_core/cg.json,03205b4a9060233842d9a24864671a41107b34229640be6482bb88d399e29bff,d6d00c93ee1322c7c375d15803617696c644e1542e0c5f2b081fcf71a7c1c7bb,a0e0bb7681c8451e3cbbbfa06aef390026d9af4b
c3_k20_core512,20,512,102.66127110224528,2000780.1004924024,19.99999999999984,True,-2.769945606218016e-08,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c3_k20_core512/cg.json,4e4f288997551533b31b593c69a02a649077ad06bfbff57e8714f02c14b8bee1,d6d00c93ee1322c7c375d15803617696c644e1542e0c5f2b081fcf71a7c1c7bb,a0e0bb7681c8451e3cbbbfa06aef390026d9af4b
