area,name,display_x,display_y,basis
3127,Heden,0.0,0.0,Approximate equirectangular geographic position
13410,Jons väg,11.930073598979188,4.829339899999987,Approximate equirectangular geographic position
13215,Partille centrum,7.81676154229321,4.006796419999605,Approximate equirectangular geographic position
7581,Gamlestads Torg Västra,1.7627181167422274,2.8379475519996915,Approximate equirectangular geographic position
13801,PARX depot,11.2,1.1,Displaced for clarity; not geographic position
