duty_id,base_duty_id,trip_count,duty_instance_sha256,continuous_physical_feasible_240_240,physical_replay_status,certificate_scope,certificate_sha256,solver,scipy_version,implementation_sha256,problem_identity_sha256,replay_sha256,objective,terminal_soc_kwh,charge_events
13311,13311,14,1e60cf4df1e157c4fa6e10939547fdbd26435025e00c4b207d8f9c1d3db07baa,True,validated,optimal_continuous_charging_for_fixed_trip_sequence,e918fcaf3ff7ac765acc634937139ce2a2ddb901e7a4671eff94e06ebddd6705,scipy.optimize.milp/HiGHS,1.13.1,79828f1fd51e132332b7298a17bc772fb6c1ee5af8855f71c8b288088144611f,9bf066c107b30cab57f3cb02f1e1190a4959801c890e1d8ca07b5dc7c721882c,29b35a11a5002c6260318d653230dfbc0f7c149a8be71921a848d369b53f7270,100012.990361213,0.0,1
13312,13312,46,e0e2f78f4d39b347e0a995be1b71f7e6e3f065ff3554a75b35552285660e221f,True,validated,optimal_continuous_charging_for_fixed_trip_sequence,e2f888f00c0dbe2dd0d0daf403c69e6603bd011ece35d6ceb512591ef3e9c5a8,scipy.optimize.milp/HiGHS,1.13.1,79828f1fd51e132332b7298a17bc772fb6c1ee5af8855f71c8b288088144611f,1ac6354ded3f3c6db098d3ef50c99a48e0ca56890c5b28d5a47948e83d4e177b,d5242455513fea30b6f0b8959519a165cbb36724e137c66fcf5fd30324c5dd91,100110.693282472,0.0,12
13313,13313,37,afb97f4a86185792d0dc6d21be93bd1932df7bd093893f7bad0af550dd9e3f5a,True,validated,optimal_continuous_charging_for_fixed_trip_sequence,9aeb84e5d6d394cf54958165e1ff8f83f09fe62ca8de1634872ab6ae6616b6f8,scipy.optimize.milp/HiGHS,1.13.1,79828f1fd51e132332b7298a17bc772fb6c1ee5af8855f71c8b288088144611f,7169920a846c8e92c7b550678e2388ba963ebcb8573b68523f83efd8eb3c634e,bbffd232d445e754f181dda2960a0112fe3ca862faf1967bfb0bc65b8084beff,100083.908002065,0.0,8
13314,13314,16,a97d95826458839dbab9c11f30d5f82d53c5a517d805f7576b4b169947a6ef73,True,validated,optimal_continuous_charging_for_fixed_trip_sequence,162a97a19fddcdbf5734d7db450545cc641e88eb22c787cec8b22f7528904705,scipy.optimize.milp/HiGHS,1.13.1,79828f1fd51e132332b7298a17bc772fb6c1ee5af8855f71c8b288088144611f,76b7b74d686da80728229f0cb29095f26d11fdf303e50edf4ed124ed59c0af9f,f894f40afc4ef261e3b3f6fa8290136bf38795f26f9795aa9da5b17ba607ac4b,100017.119759946,0.0,1
13315,13315,31,30c7f0d8d96deb4dce99fc57029ed41df25c035e53ba399d2aefa3bf3c37d315,True,validated,optimal_continuous_charging_for_fixed_trip_sequence,5eefa780023c741af4316e331f170214bcc10eca5fb09d89307f33dc7d33bbdf,scipy.optimize.milp/HiGHS,1.13.1,79828f1fd51e132332b7298a17bc772fb6c1ee5af8855f71c8b288088144611f,5ab4d93daee8397ea2fe6400cea313bab03f9a71043c483ed3b1e073d22701ea,b514c085fae4944470b7ed981c6faebaa54b7777d553ebc07ab2516a9c90553b,100045.263583966,0.0,5
13316m,13316,23,fdc892a16332b9ad38811fd2f31641ad93b63b2645d0ae29308e0d761aa40b33,True,validated,optimal_continuous_charging_for_fixed_trip_sequence,7406897f8d9cd91c23c9f4a2e1d698759d97a2cc4cc24041f1ecf87761fcb46c,scipy.optimize.milp/HiGHS,1.13.1,79828f1fd51e132332b7298a17bc772fb6c1ee5af8855f71c8b288088144611f,a155b4661c5c785f98d865dc0c64daf903b6b4ecc71ad0dcac4c81d4a4270c17,ba562182380f6e23ba5c31f0c0bde98e9aa510afc44ff3f55a69231fc3b5d2e0,100033.287916578,0.0,3
13316uwt,13316,21,612bdcea559d126f5f418e084e11820574fff6a6d6ecfaacb0d3b5aaa1d51c73,True,validated,optimal_continuous_charging_for_fixed_trip_sequence,e6517bb9a576985886bbd80352f1dc110b66ea1c80c195bcd8ed58fc7743cabd,scipy.optimize.milp/HiGHS,1.13.1,79828f1fd51e132332b7298a17bc772fb6c1ee5af8855f71c8b288088144611f,625a57dd8e58bdef97f65ec0f9e24f793265926987975674f1bd98e6dc66d6c9,471ed222d12b011d3bb2665a3ba557bfef9a0d1e5e84c532620e4af6d8fee796,100031.718969417,0.0,3
13317,13317,37,df8cc1b27900118f714e60c42cc6706e876ea88fe69b165634c402c25931c9f5,True,validated,optimal_continuous_charging_for_fixed_trip_sequence,2acf6ddc48151b71c79db76e1bfacca3eca935c5d4f3a7fbc1cf56ce131ee5ef,scipy.optimize.milp/HiGHS,1.13.1,79828f1fd51e132332b7298a17bc772fb6c1ee5af8855f71c8b288088144611f,0e49247c29027a071dac90ab42576b8078d7f4b2e841defbde08e1d370460db4,b9528f071e5a7c4aec7068cd3cc0d63c1f16c7da08cf504500feb4983ec7f826,100063.583938904,0.0,5
13318,13318,33,ddaf1db8ef067a06db3ab54c049e82c80c20b202c3fa9d7dad308c5e88949b9c,True,validated,optimal_continuous_charging_for_fixed_trip_sequence,9246dcd59d1618c3fd0a53a072d3f23748495a177055f477513f9088cedf3876,scipy.optimize.milp/HiGHS,1.13.1,79828f1fd51e132332b7298a17bc772fb6c1ee5af8855f71c8b288088144611f,27042e03fe08c18665e10beec096d85a60882cb1dfedb85b3b6a30d112f562de,750c3384494710f7c8d9d1dd01415181809dab6784c844952a5346149031b0c7,100059.58915465,0.0,5
13319,13319,27,acbc6e1b6bbcd938748ab7f08b0be9adc20f00cf747ce4d2b71f3fd9ecc34ceb,True,validated,optimal_continuous_charging_for_fixed_trip_sequence,b51853d26760fbdd586ee54b7c9185309049a10e526ddfda8e008713c174764e,scipy.optimize.milp/HiGHS,1.13.1,79828f1fd51e132332b7298a17bc772fb6c1ee5af8855f71c8b288088144611f,c99e54f86a3932e2a867014c27e1a398739c53bcc7d8022d3903406d0555d3cf,3d3a1f089bacdea266687b8e8677d87b2391da61609d60945d5308e878bc3798,100051.769318038,0.0,5
