Trip,SL
567,nan
568,nan
569,nan
570,nan
571,nan
572,nan
573,nan
574,nan
575,nan
576,nan
577,nan
578,nan
579,nan
580,nan
581,nan
582,nan
583,nan
584,nan
585,nan
586,nan
587,nan
588,nan
589,nan
590,nan
591,nan
592,nan
593,nan
594,nan
595,nan
596,nan
597,nan
598,nan
599,13410.0
600,13410.0
601,nan
602,nan
603,nan
604,nan
605,7880.0
606,7880.0
607,7880.0
608,7880.0
609,7880.0
610,nan
611,nan
612,nan
613,nan
614,nan
615,nan
616,nan
617,nan
618,7880.0
619,7880.0
620,7880.0
621,7880.0
622,7880.0
623,7880.0
624,7880.0
625,7880.0
626,7880.0
627,7880.0
628,7880.0
629,7880.0
630,7880.0
631,7880.0
632,7880.0
633,7880.0
634,7880.0
635,7880.0
636,7880.0
637,7880.0
638,7880.0
639,7880.0
640,7880.0
641,7880.0
642,nan
643,nan
644,nan
645,nan
646,nan
647,nan
648,nan
649,nan
650,nan
651,7581.0
652,7581.0
653,nan
654,nan
655,nan
656,nan
657,nan
658,nan
659,nan
660,nan
661,nan
662,nan
663,nan
664,nan
665,nan
666,nan
667,7581.0
668,7581.0
669,nan
670,nan
671,nan
672,nan
673,nan
674,nan
675,nan
676,nan
677,nan
678,nan
679,nan
680,nan
681,nan
682,nan
683,nan
684,nan
685,nan
686,3127.0
687,3127.0
688,3127.0
689,3127.0
690,3127.0
691,3127.0
692,3127.0
693,3127.0
694,3127.0
695,3127.0
696,3127.0
697,3127.0
698,3127.0
699,3127.0
700,3127.0
701,3127.0
702,3127.0
703,3127.0
704,3127.0
705,3127.0
706,3127.0
707,3127.0
708,3127.0
709,3127.0
710,3127.0
711,3127.0
712,3127.0
713,3127.0
714,3127.0
715,3127.0
716,3127.0
717,3127.0
718,3127.0
719,3127.0
720,3127.0
721,nan
722,nan
723,nan
724,nan
725,nan
726,nan
727,7880.0
728,nan
729,7581.0
730,7581.0
731,7581.0
732,7581.0
733,7581.0
734,7581.0
735,7581.0
736,7581.0
737,7581.0
738,7581.0
739,7581.0
740,7581.0
741,7581.0
742,7581.0
743,7581.0
744,nan
745,nan
746,nan
747,nan
748,nan
749,nan
750,nan
751,nan
752,nan
753,nan
754,nan
755,nan
756,nan
757,nan
758,nan
759,nan
760,nan
761,nan
762,nan
763,nan
764,nan
765,nan
766,nan
767,nan
768,nan
769,3127.0
770,nan
771,3127.0
772,13410.0
773,13410.0
774,13410.0
775,13410.0
776,13410.0
777,13410.0
778,13410.0
779,3127.0
780,3127.0
781,nan
782,nan
783,nan
784,nan
785,nan
786,nan
787,nan
788,nan
789,nan
790,nan
791,nan
792,nan
793,nan
794,nan
795,nan
796,nan
797,nan
798,nan
799,nan
800,nan
801,nan
802,nan
803,nan
804,nan
805,nan
806,nan
807,nan
808,nan
809,nan
810,nan
811,nan
812,nan
813,nan
814,nan
815,nan
816,nan
817,nan
818,13410.0
819,nan
820,nan
821,nan
822,nan
823,nan
824,nan
825,nan
826,nan
827,nan
828,nan
829,nan
830,nan
831,nan
832,nan
833,nan
834,13410.0
835,13410.0
836,13410.0
837,13410.0
838,13410.0
839,13410.0
840,13410.0
841,13410.0
842,3127.0
843,3127.0
844,3127.0
845,3127.0
846,3127.0
847,3127.0
848,7880.0
849,7880.0
850,3127.0
851,nan
852,nan
853,nan
854,nan
855,nan
856,nan
857,nan
858,nan
859,nan
860,nan
861,nan
862,nan
863,nan
864,nan
865,nan
866,nan
867,nan
868,nan
869,nan
870,nan
871,nan
872,nan
873,nan
874,nan
875,nan
876,nan
877,nan
878,nan
879,nan
880,nan
881,nan
882,nan
883,3127.0
884,nan
885,nan
886,nan
887,nan
888,nan
889,nan
890,nan
891,nan
892,nan
893,nan
894,nan
895,nan
896,nan
897,nan
898,nan
899,nan
900,nan
901,nan
902,7581.0
903,7581.0
904,7581.0
905,7581.0
906,7581.0
907,7581.0
908,7581.0
909,7581.0
910,7581.0
911,7581.0
912,7581.0
913,nan
914,nan
915,nan
916,nan
917,nan
918,nan
919,nan
920,nan
921,nan
922,nan
923,nan
924,nan
925,nan
926,nan
927,nan
928,nan
929,nan
930,nan
931,nan
932,nan
933,nan
934,nan
935,3127.0
936,3127.0
937,3127.0
938,3127.0
939,3127.0
940,nan
941,13410.0
942,13410.0
943,13410.0
944,13410.0
945,13410.0
946,13410.0
947,13410.0
948,13410.0
949,13410.0
950,13410.0
951,13410.0
952,13410.0
953,13410.0
954,13410.0
955,13410.0
956,13410.0
957,13410.0
958,7880.0
959,nan
960,nan
961,nan
962,nan
963,nan
964,nan
965,nan
966,nan
967,nan
968,nan
969,nan
970,nan
971,13410.0
972,13410.0
973,nan
974,nan
975,nan
976,nan
977,nan
978,nan
979,nan
980,nan
981,nan
982,nan
983,nan
984,nan
985,nan
986,nan
