Trip,EL
327,7581.0
328,7581.0
329,7581.0
330,7581.0
331,7581.0
332,7581.0
333,7581.0
334,7581.0
335,7581.0
336,7581.0
337,7581.0
338,7581.0
339,7581.0
340,7581.0
341,7581.0
342,7581.0
343,13410.0
344,13410.0
345,13410.0
346,13410.0
347,13410.0
348,13410.0
349,13410.0
350,nan
351,nan
352,nan
353,nan
354,nan
355,nan
356,nan
357,nan
358,nan
359,nan
360,nan
361,nan
362,nan
363,nan
364,nan
365,nan
366,nan
367,nan
368,nan
369,nan
370,nan
371,nan
372,nan
373,nan
374,nan
375,nan
376,nan
377,nan
378,nan
379,nan
380,nan
381,nan
382,nan
383,nan
384,nan
385,nan
386,nan
387,nan
388,nan
389,nan
390,nan
391,nan
392,nan
393,nan
394,nan
395,nan
396,nan
397,nan
398,nan
399,nan
400,nan
401,nan
402,nan
403,nan
404,nan
405,nan
406,nan
407,nan
408,nan
409,nan
410,nan
411,nan
412,nan
413,nan
414,nan
415,nan
416,nan
417,nan
418,nan
419,nan
420,nan
421,nan
422,nan
423,nan
424,nan
425,nan
426,nan
427,nan
428,7880.0
429,nan
430,3127.0
431,7880.0
432,7880.0
433,nan
434,7880.0
435,7880.0
436,nan
437,nan
438,nan
439,nan
440,nan
441,nan
442,nan
443,nan
444,nan
445,nan
446,nan
447,nan
448,nan
449,nan
450,nan
451,nan
452,nan
453,nan
454,nan
455,nan
456,nan
457,nan
458,nan
459,nan
460,nan
461,nan
462,nan
463,nan
464,nan
465,7581.0
466,nan
467,nan
468,nan
469,nan
470,nan
471,nan
472,nan
473,nan
474,nan
475,nan
476,nan
477,nan
478,nan
479,nan
480,nan
481,nan
482,3127.0
483,nan
484,nan
485,nan
486,nan
487,nan
488,nan
489,nan
490,nan
491,nan
492,nan
493,nan
494,nan
495,nan
496,nan
497,nan
498,nan
499,nan
500,nan
501,nan
502,nan
503,nan
504,nan
505,nan
506,nan
507,nan
508,nan
509,nan
510,nan
511,nan
512,nan
513,nan
514,nan
515,nan
516,nan
517,nan
518,3127.0
519,3127.0
520,3127.0
521,3127.0
522,3127.0
523,3127.0
524,3127.0
525,3127.0
526,3127.0
527,3127.0
528,3127.0
529,3127.0
530,3127.0
531,3127.0
532,3127.0
533,3127.0
534,3127.0
535,3127.0
536,3127.0
537,3127.0
538,3127.0
539,nan
540,nan
541,nan
542,nan
543,nan
544,nan
545,nan
546,nan
547,nan
548,nan
549,nan
550,nan
551,nan
552,nan
553,nan
554,nan
555,nan
556,nan
557,nan
558,nan
559,nan
560,nan
561,nan
562,3127.0
563,3127.0
564,3127.0
565,3127.0
566,3127.0
567,nan
568,nan
569,3127.0
570,3127.0
571,3127.0
572,3127.0
573,3127.0
574,3127.0
575,3127.0
576,3127.0
577,3127.0
578,3127.0
579,3127.0
580,3127.0
581,3127.0
582,3127.0
583,3127.0
584,3127.0
585,3127.0
586,3127.0
587,3127.0
588,3127.0
589,3127.0
590,3127.0
591,3127.0
592,3127.0
593,3127.0
594,3127.0
595,3127.0
596,3127.0
597,3127.0
598,3127.0
599,nan
600,nan
601,13410.0
602,13410.0
603,13410.0
604,13410.0
605,nan
606,nan
607,nan
608,nan
609,nan
610,nan
611,nan
612,nan
613,13410.0
614,13410.0
615,13410.0
616,13410.0
617,13410.0
618,nan
619,nan
620,nan
621,nan
622,nan
623,nan
624,nan
625,nan
626,nan
627,nan
628,nan
629,nan
630,nan
631,nan
632,nan
633,nan
634,nan
635,nan
636,nan
637,nan
638,nan
639,nan
640,nan
641,nan
642,13410.0
643,13410.0
644,13410.0
645,13410.0
646,13410.0
647,13410.0
648,13410.0
649,7880.0
650,7880.0
651,nan
652,nan
653,7880.0
654,7880.0
655,7880.0
656,7880.0
657,7880.0
658,7880.0
659,7880.0
660,7880.0
661,7880.0
662,7880.0
663,7880.0
664,7880.0
665,7880.0
666,7880.0
667,nan
668,nan
669,7581.0
670,7581.0
671,7581.0
672,7581.0
673,7581.0
674,7581.0
675,7581.0
676,7581.0
677,7581.0
678,7581.0
679,7581.0
680,7581.0
681,7581.0
682,3127.0
683,3127.0
684,3127.0
685,3127.0
686,nan
687,nan
688,nan
689,nan
690,nan
691,nan
692,nan
693,nan
694,nan
695,nan
696,nan
697,nan
698,nan
699,nan
700,nan
701,nan
702,nan
703,nan
704,nan
705,nan
706,nan
707,nan
708,nan
709,nan
710,nan
711,nan
712,nan
713,nan
714,nan
715,nan
716,nan
717,nan
718,nan
719,nan
720,nan
721,nan
722,nan
723,nan
724,nan
725,3127.0
726,3127.0
727,nan
728,nan
729,nan
730,nan
731,nan
732,nan
733,nan
734,nan
735,nan
736,nan
737,nan
738,nan
739,nan
740,nan
741,nan
742,nan
743,nan
744,3127.0
745,3127.0
746,3127.0
747,3127.0
748,3127.0
749,3127.0
750,3127.0
751,3127.0
752,3127.0
753,3127.0
754,3127.0
755,3127.0
756,3127.0
757,3127.0
758,3127.0
759,3127.0
760,3127.0
761,3127.0
762,3127.0
763,7581.0
764,3127.0
765,7880.0
766,7880.0
767,7880.0
768,7880.0
769,nan
770,nan
771,nan
772,nan
773,nan
774,nan
775,nan
776,nan
777,nan
778,nan
779,nan
780,nan
781,nan
782,nan
783,nan
784,nan
785,nan
786,nan
787,nan
788,nan
789,nan
790,3127.0
791,3127.0
792,nan
793,3127.0
794,3127.0
795,3127.0
796,13410.0
797,13410.0
798,13410.0
799,13410.0
800,13410.0
801,13410.0
802,13410.0
803,13410.0
804,13410.0
805,13410.0
806,13410.0
807,13410.0
808,nan
809,nan
810,nan
811,13410.0
812,13410.0
813,13410.0
814,13410.0
815,13410.0
816,13410.0
817,13410.0
818,nan
819,7581.0
820,7581.0
821,7581.0
822,nan
823,7581.0
824,7581.0
825,7581.0
826,7581.0
827,7581.0
828,7581.0
829,7581.0
830,7581.0
831,7581.0
832,7581.0
833,7581.0
834,nan
835,nan
836,nan
837,nan
838,nan
839,nan
840,nan
841,nan
842,nan
843,nan
844,nan
845,nan
846,nan
847,nan
848,nan
849,nan
850,nan
851,7880.0
852,7880.0
853,7880.0
854,7880.0
855,7880.0
856,7880.0
857,7880.0
858,7880.0
859,nan
860,nan
861,nan
862,nan
863,nan
864,nan
865,nan
866,nan
867,nan
868,nan
869,nan
870,nan
871,nan
872,nan
873,nan
874,nan
875,nan
876,nan
877,nan
878,nan
879,13410.0
880,13410.0
881,13410.0
882,7880.0
883,nan
884,nan
885,nan
886,13410.0
887,13410.0
888,13410.0
889,13410.0
890,13410.0
891,13410.0
892,13410.0
893,13410.0
894,13410.0
895,13410.0
896,13410.0
897,13410.0
898,13410.0
899,13410.0
900,13410.0
901,13410.0
902,nan
903,nan
904,nan
905,nan
906,nan
907,nan
908,nan
909,nan
910,nan
911,nan
912,nan
913,nan
914,nan
915,nan
916,nan
917,nan
918,nan
919,nan
920,nan
921,nan
922,nan
923,nan
924,nan
925,nan
926,3127.0
927,3127.0
928,3127.0
929,3127.0
930,3127.0
931,3127.0
932,3127.0
933,nan
934,nan
935,nan
936,nan
937,nan
938,nan
939,nan
940,nan
941,nan
942,nan
943,nan
944,nan
945,nan
946,nan
947,nan
948,nan
949,nan
950,nan
951,nan
952,nan
953,nan
954,nan
955,nan
956,nan
957,nan
958,nan
959,nan
960,nan
961,13410.0
962,13410.0
963,13410.0
964,13410.0
965,13410.0
966,13410.0
967,nan
968,nan
969,nan
970,nan
971,nan
972,nan
973,13410.0
974,13410.0
975,nan
976,nan
977,nan
978,nan
979,nan
980,nan
981,nan
982,nan
983,nan
984,nan
985,nan
986,nan
