VehicleTask,From,Start,End,To,Duration,Distance,Garage,Identifier,Route,Direction,From1,Refer.,Start1,End1,To1,Refer.1,Duration1,Lay,SOC before,Recharge kWh,Distance1,Usage kWh,SOC after,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Prep-out,,,PARX,13801,4:29,4:36,PARX,13801,0.07,,100,,,,100,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Pull-out,,,PARX,13801,4:36,4:45,JON_A,13410,0.09,0.00,100,,6.4,12.8000002,94.644577,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5518,1,JON_A,13410,4:45,4:57,PC_7,13215,0.12,0.00,94.644577,,5.133,10.2659998,90.34935,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5513,1,PC_5,13215,4:57,5:26,HED_E,3127,0.29,0.00,90.34935,,10.088,20.1809998,81.905777,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Deadhead,,,HED_E,3127,5:26,5:28,HED_D,3127,0.02,0.06,81.905777,,0.05,0.100000001,81.8639374,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5513,2,HED_D,3127,5:34,5:57,PC_5,13215,0.23,0.00,81.8597488,,9.931,19.8619995,73.5496368,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5514,1,PC_6,13215,5:57,6:23,ÖS_J,7880,0.26,0.00,73.5496368,,8.581,17.1669998,66.3670959,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Deadhead,,,ÖS_J,7880,6:23,6:23,7880C,7880,0.00,0.11,66.3670959,,0,0,66.3670959,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Recharge,,,7880C,7880,6:23,6:34,7880C,7880,0.11,,66.3670959,40.3526344,,,83.2503357,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Deadhead,,,7880C,7880,6:34,6:34,ÖS_H,7880,0.00,0.00,83.2503357,,0.02,0.0399999991,83.2336044,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5514,2,ÖS_H,7880,6:34,6:57,PC_6,13215,0.23,0.00,83.2336044,,8.205,16.4099998,76.367775,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5518,2,PC_7,13215,6:57,7:14,JON_B,13410,0.17,0.00,76.367775,,5.137,10.2790003,72.0671158,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Deadhead,,,JON_B,13410,7:14,7:20,13421,,0.06,0.05,72.0671158,,1.9,3.79999995,70.4772263,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5501,1,13421,,7:25,7:44,6480,,0.19,0.00,70.4737396,,10.809,21.618,61.428936,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Pull-in,,,6480,,7:44,7:56,PARX,13801,0.12,,61.428936,,8.8,17.6000004,54.0652199,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Prep-in,,,PARX,13801,7:56,7:59,PARX,13801,0.03,,54.0652199,,,,54.0652199,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Recharge,,,PARX,13801,7:59,10:00,PARX,13801,2.01,,54.0652199,109.788712,,,100,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Prep-out,,,PARX,13801,10:18,10:25,PARX,13801,0.07,,100,,,,100,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Pull-out,,,PARX,13801,10:25,10:30,PC_7,13215,0.05,0.00,100,,1.4,2.79999995,98.8284988,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5515,1,PC_7,13215,10:30,10:54,GMV_G,7581,0.24,0.00,98.8284988,,9.319,18.6380005,91.0304947,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Deadhead,,,GMV_G,7581,10:54,10:56,GMV_H,7581,0.02,0.06,91.0304947,,0.25,0.5,90.8213043,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5515,2,GMV_H,7581,11:02,11:27,PC_7,13215,0.25,0.03,90.8171234,,9.153,18.3059998,83.1580276,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5515,1,PC_7,13215,11:30,11:54,GMV_G,7581,0.24,0.00,83.1559372,,9.319,18.6380005,75.357933,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Deadhead,,,GMV_G,7581,11:54,11:56,GMV_H,7581,0.02,0.06,75.357933,,0.25,0.5,75.148735,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5515,2,GMV_H,7581,12:02,12:27,PC_7,13215,0.25,0.10,75.1445541,,9.153,18.3059998,67.485466,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5518,2,PC_7,13215,12:37,12:54,JON_B,13410,0.17,0.19,67.4784927,,5.137,10.2790003,63.1778297,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Deadhead,,,JON_B,13410,13:13,13:14,JON_A,13410,0.01,0.00,63.1645813,,0.1,0.200000003,63.0809059,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5519,1,JON_A,13410,13:14,13:27,PC_9,13215,0.13,0.00,63.0809059,,6.171,12.342,57.9171066,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5517,2,PC_3,13215,13:27,13:43,13329,,0.16,0.02,57.9171066,,4.783,9.5710001,53.9126701,
