SL,ST,ET,EL,Energy used
2190,14:10,15:09,4808,41.7299995
2190,16:28,17:30,4808,41.7299995
2190,9:40,10:37,4808,41.7299995
2190,17:00,18:00,4808,41.7299995
2190,10:20,11:17,4808,41.7299995
2190,12:29,13:27,4808,41.7299995
2190,17:11,18:10,4808,41.7299995
2190,7:09,8:08,4808,41.7299995
2190,11:29,12:27,4808,41.7299995
2190,15:48,16:51,4808,41.7299995
2190,13:11,14:09,4808,41.7299995
2190,18:25,19:21,4808,41.7299995
2190,24:32,25:23,4808,41.7299995
2190,8:59,9:57,4808,41.7299995
2190,14:00,14:59,4808,41.7299995
2190,20:50,21:45,4808,41.7299995
2190,15:58,17:01,4808,41.7299995
2190,11:59,12:57,4808,41.7299995
2190,24:02,24:53,4808,41.7299995
2190,16:39,17:40,4808,41.7299995
2190,17:51,18:48,4808,41.7299995
4808,6:26,7:20,2190,42.5
2190,10:10,11:07,4808,41.7299995
2190,6:58,7:56,4808,41.7299995
2190,7:20,8:19,4808,41.7299995
2190,7:39,8:39,4808,41.7299995
2190,7:29,8:29,4808,41.7299995
2190,9:20,10:17,4808,41.7299995
2190,11:09,12:07,4808,41.7299995
2190,8:30,9:29,4808,41.7299995
2190,5:44,6:37,4808,41.7299995
2190,6:08,7:03,4808,41.7299995
2190,9:09,10:07,4808,41.7299995
2190,9:30,10:27,4808,41.7299995
13311,7:21,7:27,PC_7,3.87599993
JON_A,6:45,6:57,PC_7,10.2659998
JON_A,14:05,14:17,PC_7,10.2659998
JON_A,16:25,16:37,PC_7,10.2659998
JON_A,6:25,6:37,PC_7,10.2659998
JON_A,18:45,18:57,PC_7,10.2659998
JON_A,10:05,10:17,PC_7,10.2659998
JON_A,4:45,4:57,PC_7,10.2659998
JON_A,17:05,17:17,PC_7,10.2659998
JON_A,5:15,5:27,PC_7,10.2659998
JON_A,12:05,12:17,PC_7,10.2659998
JON_A,15:25,15:37,PC_7,10.2659998
PC_6,8:27,8:54,ÖS_J,17.1669998
PC_10,6:07,6:41,HED_E,22.3409996
PC_10,6:27,7:01,HED_E,22.3409996
PC_7,12:37,12:54,JON_B,10.2790003
PC_7,20:27,20:44,JON_B,10.2790003
PC_7,11:17,11:34,JON_B,10.2790003
PC_7,16:57,17:14,JON_B,10.2790003
PC_7,21:57,22:14,JON_B,10.2790003
PC_7,11:37,11:54,JON_B,10.2790003
PC_7,10:37,10:54,JON_B,10.2790003
PC_3,5:57,6:13,13329,9.5710001
PC_3,15:57,16:13,13329,9.5710001
PC_3,13:57,14:13,13329,9.5710001
PC_3,6:27,6:43,13329,9.5710001
PC_3,6:57,7:13,13329,9.5710001
PC_3,11:27,11:43,13329,9.5710001
PC_3,21:27,21:43,13329,9.5710001
JON_A,24:45,24:57,PC_7,10.2659998
JON_A,13:05,13:17,PC_7,10.2659998
JON_A,12:25,12:37,PC_7,10.2659998
13329,23:16,23:27,PC_3,9.28999996
13329,7:45,7:57,PC_3,9.28999996
13329,18:16,18:27,PC_3,9.28999996
13329,13:15,13:27,PC_3,9.28999996
ÖS_H,8:04,8:27,PC_6,16.4099998
ÖS_H,22:36,22:57,PC_6,16.4099998
ÖS_H,6:34,6:57,PC_6,16.4099998
ÖS_H,9:35,9:57,PC_6,16.4099998
PC_6,19:27,19:53,ÖS_J,17.1669998
PC_6,10:57,11:23,ÖS_J,17.1669998
PC_6,10:57,11:23,ÖS_J,17.1669998
HED_D,6:57,7:27,PC_10,21.3279991
HED_D,14:16,14:47,PC_10,21.3279991
PC_5,5:27,5:56,HED_E,20.1809998
PC_5,8:57,9:28,HED_E,20.1809998
PC_5,7:37,8:11,HED_E,20.1809998
PC_5,24:57,25:23,HED_E,20.1809998
PC_5,8:17,8:49,HED_E,20.1809998
PC_10,16:27,17:03,HED_E,22.3409996
HED_D,7:30,7:57,PC_5,19.8619995
HED_D,15:09,15:37,PC_5,19.8619995
HED_D,6:13,6:37,PC_5,19.8619995
HED_D,5:53,6:17,PC_5,19.8619995
HED_D,21:03,21:27,PC_5,19.8619995
HED_D,12:32,12:57,PC_5,19.8619995
HED_D,12:32,12:57,PC_5,19.8619995
PC_9,17:07,17:24,JON_B,12.3870001
PC_9,15:47,16:04,JON_B,12.3870001
PC_9,8:27,8:42,JON_B,12.3870001
PC_9,6:47,7:02,JON_B,12.3870001
