From,To,Duration,Energy used
12636,HED_P,21,28.0
12636,KRGL,1,0.2
12636,KRG_P,0,0.0
12636,KS_B,8,8.6
12636,KS_E,8,8.6
12636,KS_H,6,6.8
12636,MÖLCL,12,15.0
12636,MÖLC_P,12,15.0
12636,RÄX,12,12.2
12636,SAX,10,9.6
12636C,4760C,19,29.4
12636P,12636,0,0.0
12644,RÄX,7,10.2
12644,SAX,5,7.6
12662,RÄX,8,13.6
12662,SAX,6,11.0
12666,12110,15,20.6
12666,12114,15,19.6
12666,12115,15,19.6
12666,12232,20,25.6
12666,12423,19,24.4
12666,12542,21,28.8
12666,12610,13,14.2
12666,12636,17,16.6
12666,12711,13,16.4
12666,12736,14,17.0
12666,12880,20,32.6
12666,18110,25,34.8
12666,2530,20,32.8
12666,2530C,20,33.2
12666,3127,25,35.6
12666,3127C,23,34.8
12666,4510,23,38.8
12666,4760,21,35.0
12666,4760C,23,39.8
12666,6125,20,32.0
12666,HEDL,23,34.8
12666,HED_P,23,34.8
12666,MÖLCL,18,21.6
12666,MÖLC_P,18,21.6
12666,RÄX,12,15.8
12666,SAX,10,13.2
12710,RÄX,13,19.0
12710,SAX,11,16.4
12711,12110,14,14.4
12711,12114,14,27.0
12711,12115,14,27.0
12711,12232,14,25.2
12711,12423,14,24.4
12711,12542,18,28.8
12711,12610,9,10.4
12711,12636,14,25.2
12711,12666,12,16.2
12711,12736,5,4.4
12711,12880,13,24.2
12711,18110,22,37.6
12711,2530,16,35.6
12711,2530C,16,35.6
12711,3127,24,37.6
12711,3127C,24,37.6
12711,4510,20,41.8
12711,4760,17,35.0
12711,4760C,20,35.0
12711,6125,15,20.6
12711,GVX,23,40.8
12711,HEDL,24,37.6
12711,HED_P,24,37.6
12711,MÖLCL,14,14.4
12711,MÖLC_P,14,14.4
12711,RÄX,14,22.6
12711,SAX,12,20.0
12730,RÄX,11,19.4
12730,SAX,9,16.8
12736,12110,16,27.2
12736,12114,18,30.8
12736,12115,18,30.8
12736,12232,20,31.4
12736,12423,20,31.2
12736,12542,22,35.6
12736,12610,14,15.6
12736,12636,17,17.2
12736,12666,14,17.2
12736,12711,5,4.4
12736,12880,13,23.0
12736,18110,21,33.8
12736,2530,23,39.6
12736,2530C,23,39.6
12736,3127,28,41.6
12736,3127C,28,41.6
12736,4510,26,45.8
12736,4760,21,41.6
12736,4760C,24,41.6
12736,6125,15,21.6
12736,GVX,26,43.6
12736,HEDL,28,41.6
12736,HED_P,28,41.6
12736,MÖLCL,16,27.2
12736,MÖLC_P,16,27.2
12736,RÄX,17,25.4
12736,SAX,15,22.8
12750,RÄX,8,14.4
12750,SAX,6,11.8
12766,RÄX,15,24.0
12766,SAX,13,21.4
12810,RÄX,20,34.4
12810,SAX,18,31.8
12811,RÄX,20,35.8
12811,SAX,18,33.2
12880,12110,23,41.6
12880,12114,24,41.8
12880,12115,24,41.8
12880,12232,24,46.6
12880,12423,26,38.6
12880,12542,24,37.6
12880,12610,21,32.2
12880,12636,14,24.2
12880,12666,21,32.6
12880,12711,13,24.2
12880,12736,13,23.0
12880,18110,19,28.2
12880,2530,30,54.6
12880,2530C,30,54.6
12880,3127,35,56.6
12880,3127C,35,56.6
12880,4510,28,60.4
12880,4760,29,56.8
12880,4760C,30,56.8
12880,6125,23,40.6
12880,GVX,28,57.2
12880,HEDL,35,56.6
12880,HED_P,35,56.6
12880,MÖLCL,23,41.6
12880,MÖLC_P,23,41.6
12880,RÄX,20,39.0
12880,SAX,19,36.4
1310,PARX,14,16.4
13138,PAGX,12,16.0
13138,PARX,11,15.4
13215,13311,6,5.2
13215,13329,7,7.0
13215,13330,8,6.4
13215,13410,9,11.6
13215,13410C,9,11.6
13215,13421,7,10.6
13215,13514,11,7.4
13215,13722,6,4.8
13215,14001,28,64.2
13215,14150,30,62.2
13215,14152,30,62.2
13215,14715,30,66.2
13215,17320,30,49.6
13215,18110,20,32.0
13215,18210,14,29.0
13215,18711,23,40.4
13215,19205,35,77.4
13215,19235,31,77.0
13215,3127,15,20.6
13215,3127C,15,20.6
13215,3180,16,28.2
13215,3215,29,60.8
13215,3860,19,37.2
13215,4485,29,57.0
13215,4490,15,30.0
13215,4510,16,24.6
13215,4524,18,24.6
13215,4760,20,38.6
13215,4945,13,20.8
13215,5147,19,28.4
13215,5180,11,19.6
13215,5421,22,42.0
13215,5865,31,67.8
13215,6125,28,69.6
13215,6225,18,37.4
13215,6480,10,16.2
13215,6650,17,37.2
13215,7300,14,21.0
13215,7488,25,44.0
13215,7492,25,47.6
13215,7880,8,10.8
13215,GRIX,19,27.2
13215,HED_P,14,20.6
13215,JON_P,9,11.6
13215,PAGX,6,3.4
13215,PARX,5,2.8
13215,PC_P,6,2.8
13215,PC_U,2,1.8
13240,PAGX,14,17.0
13240,PARX,13,16.4
13311,13215,6,5.2
13311,13410,6,6.8
13311,3127,14,25.2
13311,3127L,14,25.2
13311,6480,11,18.6
13311,7880,7,13.4
13311,PARX,6,5.6
13329,13215,7,7.0
13329,13410,10,10.0
13329,3127,15,27.4
13329,3127C,15,27.4
13329,6480,16,23.2
13329,7880,10,15.8
13329,7880C,10,15.8
13329,HED_P,15,27.4
13329,JON_P,10,10.0
13329,PARX,7,7.6
13330,13215,8,6.4
13330,3127,18,27.4
13330,3127C,18,27.4
13330,3860,18,37.0
13330,5180,22,31.0
13330,6480,11,21.8
13330,7300,19,25.2
13330,GRIX,21,31.0
13330,HED_P,15,25.8
13330,PARX,8,7.6
13410,13215,9,11.6
13410,13311,6,6.8
13410,13329,10,10.0
13410,13410C,1,0.2
13410,13421,6,3.8
13410,13514,7,10.2
13410,13722,6,7.6
13410,17320,17,38.4
13410,3127,17,28.8
13410,3127C,17,28.8
13410,6480,15,24.8
13410,7581,12,23.0
13410,7880,12,18.8
13410,HED_P,17,28.8
13410,JON_P,1,0.4
13410,PARX,11,12.8
13410C,13215,9,11.6
13410C,13410,0,0.0
13410C,13421,6,3.8
13410C,JON_P,1,0.0
13421,13215,7,10.6
13421,13410,6,3.8
13421,13410C,6,3.8
13421,3127,17,27.0
13421,3127C,17,28.8
13421,6480,12,23.4
13421,7880,9,17.0
13421,7880C,9,17.0
13421,HED_P,17,27.0
13421,JON_P,6,3.8
13421,PARX,7,11.2
13514,1130,25,48.2
13514,13215,11,7.4
13514,13410,7,10.2
13514,17320,19,45.6
13514,18110,15,26.8
13514,18711,20,33.0
13514,19205,44,93.8
13514,19235,38,76.2
13514,3127,17,26.8
13514,3127C,17,27.0
13514,3180,14,26.8
13514,3215,30,62.4
13514,3860,19,38.0
13514,4485,30,64.8
13514,4490,15,28.2
13514,4510,17,32.2
13514,4760,22,41.2
13514,4945,19,26.8
13514,5147,21,32.0
13514,5180,24,32.0
13514,5421,25,47.6
13514,5865,34,66.6
13514,6125,30,69.0
13514,6225,23,41.0
13514,6480,11,21.8
13514,7300,19,26.2
13514,7488,24,48.6
13514,7492,27,49.2
13514,7498,24,47.8
13514,7880,12,16.8
13514,GRIX,21,32.2
13514,HED_P,17,26.8
13514,JON_P,7,10.2
13514,PAGX,8,8.4
13514,PARX,8,8.4
13722,13215,6,4.8
13722,13410,6,7.6
13722,PARX,5,4.2
14001,13215,28,64.2
14001,14002,5,5.8
14001,14150,4,2.8
14001,14152,4,2.8
14001,14715,9,8.0
14001,14948,8,7.6
14001,17320,40,67.0
14001,18110,33,67.6
14001,18711,33,67.6
14001,19205,45,97.0
14001,19235,45,99.0
14001,3127,25,48.0
14001,3180,22,42.6
14001,3215,38,72.8
14001,3860,14,26.8
14001,4490,28,45.0
14001,4760,30,62.6
14001,4945,33,44.8
14001,5147,28,47.0
14001,5180,26,47.0
14001,6125,38,91.0
14001,6480,20,44.2
14001,7300,27,48.8
14001,7488,29,52.0
14001,7492,29,54.4
14001,7498,29,58.6
14001,GRIX,27,40.0
14001,KRC_P,1,0.2
14001,KRC_U,1,0.2
14002,14001,5,5.8
14002,14150,4,3.4
14002,14152,4,3.4
14002,14948,3,6.4
14002,3180,20,38.2
14002,3860,12,21.4
14002,7488,24,46.6
14002,7492,29,54.4
14002,GRIX,28,44.0
14002,KRC_P,5,5.6
1410,1119,3,4.2
1410,1130,12,19.6
1410,1179,9,13.2
1410,1179C,10,14.4
1410,1760,12,20.4
1410,2350,7,6.8
1410,2350C,7,6.8
1410,2530,5,4.8
1410,2530C,5,4.8
1410,3180,12,21.8
1410,3245,7,9.2
1410,3640,12,14.2
1410,3680,14,28.0
1410,3680C,18,29.0
1410,4100,4,6.4
1410,4485,15,21.6
1410,4490,12,19.8
1410,4760,8,13.8
1410,4760C,7,13.2
1410,5125,9,11.4
1410,5175,6,7.6
1410,5180,11,18.4
1410,5767,3,3.6
1410,7485,13,21.6
1410,7630,6,8.0
1410,8566,14,27.2
1410,8570,8,8.0
1410,9620,9,8.8
1410,BGM,8,8.0
1410,KEX,14,27.2
1410,KEXC,14,27.2
14150,13215,30,62.2
14150,14001,4,2.8
14150,14002,4,3.4
14150,14715,8,8.6
14150,14948,5,5.4
14150,3180,19,41.6
14150,GRIX,24,40.8
14152,13215,30,62.2
14152,14001,4,2.8
14152,14002,4,3.4
14152,14715,8,8.6
14152,14948,5,5.4
14152,3180,19,41.6
14152,GRIX,24,40.8
1420,18112,15,23.2
14715,1130,34,73.8
14715,13215,30,66.2
14715,14001,9,8.0
14715,14150,8,8.6
14715,14152,8,8.6
14715,14948,7,9.8
14715,18110,35,71.8
14715,18711,37,75.2
14715,19205,52,118.4
14715,3127,31,50.2
14715,3180,23,47.0
14715,3215,42,89.6
14715,3860,16,27.8
14715,4485,43,87.2
14715,4490,32,50.2
14715,4760,31,68.8
14715,5147,29,54.8
14715,5180,29,52.8
14715,5865,38,86.8
14715,6480,25,46.4
14715,7300,30,51.8
14715,7488,31,54.0
14715,7492,33,64.0
14715,7498,31,60.6
14715,GRIX,27,46.0
14715,HED_P,31,50.2
14715,KRC_P,9,8.0
14948,1130,29,63.8
14948,14001,8,7.6
14948,14002,3,6.4
14948,14150,5,5.4
14948,14152,5,5.4
14948,14715,7,9.8
14948,17320,40,99.0
14948,18711,38,74.6
14948,19205,48,115.6
14948,19235,43,100.0
14948,3127,28,49.2
14948,3180,22,44.6
14948,3215,33,73.6
14948,3860,13,27.8
14948,4490,30,47.6
14948,4760,35,68.0
14948,5147,27,53.8
14948,5180,24,47.2
14948,6225,32,58.0
14948,6480,24,49.4
14948,7300,28,50.0
14948,7488,29,54.0
14948,7492,30,57.0
14948,7498,29,62.2
14948,GRIX,25,44.0
14948,HED_P,28,49.2
14948,KRC_P,8,7.6
14948,PAGX,30,56.0
1595,1595P,0,0.0
1595,2190,8,5.6
1595,2240,3,1.5
1595,2580,12,11.2
1595,8566,12,11.8
1595,BUX,13,15.4
1595,JBX,16,20.0
1595,KEX,15,13.6
1595,KEXC,12,11.8
1595P,1595,0,0.0
1715,4760,16,26.0
1715,4760C,16,26.0
1715,8566,25,48.4
1715,KEX,22,40.4
1715,KEXC,22,40.4
1715,MGU,16,26.0
17320,13215,30,49.6
17320,13410,17,38.4
17320,13514,19,45.6
17320,14001,40,67.0
17320,14948,40,99.0
17320,18110,36,71.8
17320,18711,43,73.8
17320,19205,48,119.6
17320,19235,45,112.6
17320,3127,32,62.0
17320,3180,29,62.0
17320,3215,43,97.4
17320,3860,32,49.6
17320,4485,46,100.0
17320,4490,32,66.2
17320,4510,35,67.6
17320,4760,35,78.4
17320,4945,34,65.4
17320,5147,11,20.4
17320,5180,34,68.0
17320,5421,30,84.0
17320,5865,38,98.6
17320,6125,52,105.4
17320,6225,11,21.4
17320,6480,27,58.2
17320,7300,29,63.0
17320,7488,38,82.6
17320,7498,38,79.4
17320,GRIX,38,69.2
17320,GÅO_P,2,2.0
17320,JON_P,17,38.4
17320,PARX,27,45.2
1740,4290,6,9.8
1740,KEX,5,3.0
1740,PARX,12,20.2
1760,1119,15,23.2
1760,1130,16,25.2
1760,1179,21,32.2
1760,1179C,22,32.8
1760,1410,13,18.2
1760,2350,18,23.8
1760,2350C,19,27.2
1760,2530,13,19.0
1760,2530C,13,19.0
1760,3127,5,1.7
1760,3180,6,6.2
1760,3245,18,25.0
1760,3640,6,2.8
1760,3680,15,16.4
1760,3680C,17,17.4
1760,4100,9,12.0
1760,4290,12,17.0
1760,4485,25,37.4
1760,4490,10,10.4
1760,4760,15,12.6
1760,4760C,13,10.4
1760,4940,3,2.0
1760,5125,25,29.2
1760,5175,17,23.0
1760,5180,6,3.8
1760,5767,15,21.2
1760,6242,6,2.4
1760,7485,17,25.8
1760,7600,3,1.4
1760,7630,22,25.8
1760,8566,10,9.0
1760,8570,10,8.8
1760,9620,20,21.8
1760,HED_P,5,1.7
1760,JBX,22,24.0
1760,KB_B,15,16.4
1760,KEX,10,9.0
1760,KEXC,10,9.0
1760,KÖ_U,12,17.0
18110,12110,14,16.2
18110,12114,13,14.8
18110,12115,13,14.8
18110,12232,16,18.6
18110,12423,8,10.6
18110,12542,8,10.8
18110,12610,20,28.0
18110,12636,25,29.2
18110,12666,26,34.6
18110,12711,22,37.6
18110,12736,21,33.8
18110,12880,19,28.2
18110,13215,20,32.0
18110,13514,15,26.8
18110,14001,33,67.6
18110,14715,35,71.8
18110,17320,36,71.8
18110,18112,2,1.0
18110,18162,5,5.0
18110,18210,14,16.8
18110,18711,6,6.0
18110,19205,29,69.0
18110,19235,32,68.0
18110,2530,21,32.0
18110,2530C,21,32.0
18110,3127,18,27.4
18110,3127C,18,26.8
18110,3215,33,78.0
18110,3860,25,45.0
18110,4485,29,53.6
18110,4510,28,27.2
18110,4760,22,34.2
18110,4760C,22,44.8
18110,5180,27,0.0
18110,6125,30,49.8
18110,7488,25,49.2
18110,cMYT,1,0.0
18110,GRIX,27,38.8
18110,GVX,17,26.4
18110,HEDL,18,27.4
18110,HED_P,18,27.4
18110,KRC_P,33,67.6
18110,MYTL,1,0.2
18110,MYT_P,0,0.0
18110,MÖLCL,14,16.2
18110,MÖLC_P,14,16.2
18110,PAGX,22,36.8
18110,PARX,21,36.2
18110,RÄX,17,19.4
18110,SAX,19,22.0
18112,1420,15,23.2
18112,18110,2,1.0
18112,18117,7,6.8
18112,18130,6,5.6
18112,18711,8,7.0
18112,2043,10,21.4
18112,3127,17,26.2
18112,3980,15,23.0
18112,4524,12,20.2
18112,GRIX,28,38.4
18112,PAGX,20,32.4
18115,PAGX,24,38.6
18115,PARX,23,37.0
18115,RÄX,18,21.4
18115,SAX,20,24.0
18116,3127,18,24.0
18116,3127C,18,24.0
18116,HEDL,18,24.0
18116,HED_P,18,24.0
18116,RÄX,19,22.0
18116,SAX,21,24.6
18117,18112,7,6.8
18120,RÄX,13,18.8
18120,SAX,15,21.4
18125,RÄX,15,33.0
18125,SAX,17,35.6
18130,18112,6,5.6
1815,KEX,11,15.2
1815,KÖ_F,5,5.0
1815,KÖ_U,5,5.0
18162,18110,5,5.0
18162,18711,2,1.8
18162,3180,23,39.8
18162,7488,30,67.4
18162,GRIX,30,42.0
18210,13215,14,29.0
18210,18110,14,16.8
18210,PAGX,19,24.8
18210,PARX,18,25.4
18711,13215,23,40.4
18711,13514,20,33.0
18711,14001,33,67.6
18711,14715,37,75.2
18711,14948,38,74.6
18711,17320,43,73.8
18711,18110,6,6.0
18711,18112,8,7.0
18711,18162,2,1.8
18711,19205,38,60.8
18711,19235,31,53.6
18711,3127,23,32.4
18711,3215,38,66.6
18711,3860,33,51.6
18711,4485,33,57.6
18711,4490,22,42.6
18711,4760,29,41.4
18711,5147,35,65.0
18711,5865,32,63.8
18711,6125,33,45.8
18711,6480,19,31.4
18711,7300,21,32.6
18711,7488,34,70.0
18711,GRIX,31,43.8
18711,HED_P,23,32.4
18711,KRC_P,33,67.6
18711,MYT_P,6,6.0
18711,PAGX,24,38.8
19205,1130,33,65.0
19205,13215,35,77.4
19205,13514,44,93.8
19205,14001,45,97.0
19205,14715,52,118.4
19205,14948,48,115.6
19205,17320,48,119.6
19205,18110,29,69.0
19205,18711,38,60.8
19205,19235,9,10.0
19205,3127,23,44.6
19205,3127C,23,44.6
19205,3180,26,57.0
19205,3215,30,66.8
19205,3860,45,81.6
19205,4485,21,29.6
19205,4490,33,60.4
19205,4510,28,46.6
19205,4760,17,37.2
19205,4760C,17,37.2
19205,4945,27,56.6
19205,5147,40,90.2
19205,5180,33,56.8
19205,5421,13,30.8
19205,5865,20,25.2
19205,6125,8,11.6
19205,6225,40,93.0
19205,6480,23,57.0
19205,7300,30,49.6
19205,7488,33,60.6
19205,7498,30,58.0
19205,GRIX,36,63.0
19205,HED_P,23,44.6
19205,PARX,42,73.6
19235,1130,27,54.2
19235,13215,31,77.0
19235,13514,38,76.2
19235,14001,45,99.0
19235,14948,43,100.0
19235,17320,45,112.6
19235,18110,32,68.0
19235,18711,31,53.6
19235,19205,9,10.0
19235,3127,25,44.2
19235,3127C,25,44.2
19235,3180,29,56.2
19235,3215,32,66.0
19235,3860,44,78.2
19235,4485,15,24.0
19235,4490,28,53.4
19235,4510,22,39.8
19235,4760,20,36.4
19235,4945,30,55.8
19235,5147,42,89.2
19235,5180,30,50.4
19235,5421,15,30.0
19235,5865,14,23.6
19235,6125,7,8.4
19235,6225,42,89.8
19235,6480,25,47.6
19235,7300,27,42.6
19235,7488,28,53.6
19235,7498,30,54.4
19235,GRIX,38,62.6
19235,HED_P,25,44.2
19235,PARX,42,73.2
19240,4510,18,35.8
1950,3160,19,15.8
1950,7880,11,13.0
1950,KEX,9,6.8
