Hour,SEK/kWh
0:00,0.3
1:00,0.3
2:00,0.3
3:00,0.4
4:00,0.4
5:00,0.4
6:00,0.8
7:00,1
8:00,1
9:00,1
10:00,0.7
11:00,0.7
12:00,0.5
13:00,0.5
14:00,0.5
15:00,0.6
16:00,0.7
17:00,0.5
18:00,0.5
19:00,0.5
20:00,1
21:00,0.8
22:00,0.5
23:00,0.6
