Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,JON_A,4:45,4:57,PC_7,5.133,10.2659998,0,769
Regular,GMV_H,4:48,5:12,PC_7,9.153,18.3059998,1,570
Regular,PC_5,4:57,5:26,HED_E,10.088,20.1809998,2,360
Regular,PC_10,5:12,5:45,HED_E,11.168,22.3409996,3,224
Regular,HED_D,5:34,5:57,PC_5,9.931,19.8619995,4,363
Regular,HED_D,5:53,6:17,PC_5,9.931,19.8619995,5,364
Regular,PC_6,5:57,6:23,ÖS_J,8.581,17.1669998,6,491
Regular,PC_7,6:17,6:34,JON_B,5.137,10.2790003,7,775
Regular,ÖS_H,6:34,6:57,PC_6,8.205,16.4099998,8,494
Regular,JON_A,6:45,6:57,PC_7,5.133,10.2659998,9,778
Regular,PC_5,6:57,7:29,HED_E,10.088,20.1809998,10,372
Regular,PC_7,6:57,7:14,JON_B,5.137,10.2790003,11,779
Regular,13421,7:25,7:44,6480,10.809,21.618,12,205
Regular,HED_D,7:37,8:07,PC_10,10.664,21.3279991,13,243
Regular,PC_10,8:07,8:43,HED_E,11.168,22.3409996,14,251
Regular,HED_D,8:47,9:17,PC_10,10.664,21.3279991,15,255
Regular,PC_9,9:17,9:32,JON_B,6.191,12.3870001,16,907
Regular,JON_A,9:34,9:47,PC_9,6.171,12.342,17,908
Regular,PC_10,9:47,10:23,HED_E,11.168,22.3409996,18,259
Regular,PC_7,10:30,10:54,GMV_G,9.319,18.6380005,19,606
Regular,HED_D,10:48,11:17,PC_10,10.664,21.3279991,20,264
Regular,GMV_H,11:02,11:27,PC_7,9.153,18.3059998,21,609
Regular,PC_9,11:17,11:32,JON_B,6.191,12.3870001,22,915
Regular,PC_7,11:30,11:54,GMV_G,9.319,18.6380005,23,613
Regular,JON_A,11:34,11:47,PC_9,6.171,12.342,24,916
Regular,PC_10,11:47,12:22,HED_E,11.168,22.3409996,25,267
