time_block,cost
0,0.3
1,0.3
2,0.3
3,0.4
4,0.4
5,0.4
6,0.8
7,1.0
8,1.0
9,1.0
10,0.7
11,0.7
12,0.5
13,0.5
14,0.5
15,0.6
16,0.7
17,1.5
18,1.5
19,1.5
20,1.0
21,0.8
22,0.5
23,0.2
24,0.3
25,0.3
26,0.3
