case_id,stage,chain,target_k,treatment,cg_minutes,cg_certified,weighted_lp_objective,fractional_route_count,integer_buses,pool_fleet_bound,fleet_proven_in_pool,individual_route_replay,source_path,source_sha256,input_sha256,execution_commit,snapshot_sha256
c1_k08_c200,cg,1,8,c200,149.09236994064412,True,800383.6879776405,8.000000000000034,,,,,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c1_k08_c200/cg.json,8432842da2ab9b641f4a38c02d64cadcb103a2a5c02f9328f0c852b9d93e427a,cca5b6ca0c9af9eeb20adb414e300a130471e9e802ef6543a85b9d3ba2860f9d,e091a4dba549510238507ef5e5367abea958bd30,905751a78c4c7ca598ece741ed1ba8bcea4da8546dce20cbccb519913ef8cc2d
c1_k08_complementary,cg,1,8,complementary,102.39598119606575,True,800383.687977642,8.000000000000048,,,,,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c1_k08_complementary/cg.json,f43685c6095da2aaed183554e501f897af26cda2ff1a6830572429d4cb048378,cca5b6ca0c9af9eeb20adb414e300a130471e9e802ef6543a85b9d3ba2860f9d,e091a4dba549510238507ef5e5367abea958bd30,905751a78c4c7ca598ece741ed1ba8bcea4da8546dce20cbccb519913ef8cc2d
c1_k10_complementary,cg,1,10,complementary,168.77326490875956,True,1000511.204574834,10.000000000000034,,,,,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c1_k10_complementary/cg.json,f9db2422d6725ed96b861a54500d6cbde45fab085024b9a647afc3bf456532cb,c54f31750af49fb66f0bf21995d02d01a5520e37f13152bc95b4aff17ecef1f3,e091a4dba549510238507ef5e5367abea958bd30,905751a78c4c7ca598ece741ed1ba8bcea4da8546dce20cbccb519913ef8cc2d
c2_k08_c200,cg,2,8,c200,40.42198648658038,True,800235.9144683707,7.99999999999997,,,,,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c2_k08_c200/cg.json,facde2be1fc30948ab804e4b22e781dee6a1c0e67eafd87dfb65a971844a9139,c1dbe1dd15d20979799c68d01430a5fd0eddc2ca3ced3f46bd8522123e6c480d,e091a4dba549510238507ef5e5367abea958bd30,905751a78c4c7ca598ece741ed1ba8bcea4da8546dce20cbccb519913ef8cc2d
c2_k08_complementary,cg,2,8,complementary,26.767098756243165,True,800235.9144683577,8.000000000000014,,,,,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c2_k08_complementary/cg.json,c71af03e0bc8ca7abd2954032e2f31a9cbfcd680028f75fa0c45264efec36c04,c1dbe1dd15d20979799c68d01430a5fd0eddc2ca3ced3f46bd8522123e6c480d,e091a4dba549510238507ef5e5367abea958bd30,905751a78c4c7ca598ece741ed1ba8bcea4da8546dce20cbccb519913ef8cc2d
c2_k10_c200,cg,2,10,c200,107.4396061689981,True,1000371.1457444391,10.000000000000016,,,,,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c2_k10_c200/cg.json,4664393d91e9456025bef0a44faf8a91c0e38752461df410f211ebb4bfcba53e,969e49b79b454241e1f4116e405aebdf117dc6adac5497854cf4d7196166a6d6,e091a4dba549510238507ef5e5367abea958bd30,905751a78c4c7ca598ece741ed1ba8bcea4da8546dce20cbccb519913ef8cc2d
c2_k10_complementary,cg,2,10,complementary,75.0957096874481,True,1000371.1457444405,10.00000000000003,,,,,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c2_k10_complementary/cg.json,2e88a4f3a4cab63dfa68339de2ca3c3108d426bce27268c9fe025f7b4fadd04b,969e49b79b454241e1f4116e405aebdf117dc6adac5497854cf4d7196166a6d6,e091a4dba549510238507ef5e5367abea958bd30,905751a78c4c7ca598ece741ed1ba8bcea4da8546dce20cbccb519913ef8cc2d
c3_k08_c200,cg,3,8,c200,25.359503960803462,True,800212.6874707585,8.00000000000001,,,,,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c3_k08_c200/cg.json,1e31a90222023aea6c0b6a82c7279102d56d69f679bc0d83ba30ef4526fab57a,9d1d4ed1ab86dfa3ae09541180d1a67e612d5473d9964db36b08e9ebce72cd2b,e091a4dba549510238507ef5e5367abea958bd30,905751a78c4c7ca598ece741ed1ba8bcea4da8546dce20cbccb519913ef8cc2d
c3_k08_complementary,cg,3,8,complementary,23.477086025686003,True,800212.6874705985,8.000000000000101,,,,,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c3_k08_complementary/cg.json,dd700ce62a972179e6a37d9e37d5ab1e4ba2fafda572d5d59e7a0852a3b95902,9d1d4ed1ab86dfa3ae09541180d1a67e612d5473d9964db36b08e9ebce72cd2b,e091a4dba549510238507ef5e5367abea958bd30,905751a78c4c7ca598ece741ed1ba8bcea4da8546dce20cbccb519913ef8cc2d
c3_k10_c200,cg,3,10,c200,49.93566421029391,True,1000316.8231857865,10.00000000000004,,,,,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c3_k10_c200/cg.json,74b55d88739a4b9865eeafb5af621762accb2bb07b4436c38150fb8fa79246de,0a24efed4fe106a7a0e1d7038964c976e3a46ea62027e1ce879bc151f3a2b18d,e091a4dba549510238507ef5e5367abea958bd30,905751a78c4c7ca598ece741ed1ba8bcea4da8546dce20cbccb519913ef8cc2d
