case_id,chain,target_k,treatment,integer_buses,pool_fleet_bound,fleet_proven_in_pool,individual_route_replay,mip_source_path,mip_sha256,cg_minutes,cg_certified,weighted_lp_objective,cg_source_path,cg_sha256,snapshot_sha256
c1_k08,1,8,original,9,9.0,True,True,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c1_k08/mip_base/135595_r0/result.json,c9dc2e96492adc127590ad89b0d2bfbb13394f358dc49f64438380093245a631,51.09873878766472,True,800383.6879776365,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c1_k08/base/135593_r0/cg.json,c024cc4e235234ed4244abaa1e7738f3600c264a2ffe4c05c5026198b69d56b0,905751a78c4c7ca598ece741ed1ba8bcea4da8546dce20cbccb519913ef8cc2d
c1_k08,1,8,c200,,,,,,,149.09236994064412,True,800383.6879776405,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c1_k08_c200/cg.json,8432842da2ab9b641f4a38c02d64cadcb103a2a5c02f9328f0c852b9d93e427a,905751a78c4c7ca598ece741ed1ba8bcea4da8546dce20cbccb519913ef8cc2d
c1_k08,1,8,complementary,9,9.0,True,True,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c1_k08_complementary_mip/mip_result.json,fc9e06b1d21cc9c33513d322ea877058037c980f35581f2dc776f8f59915d46e,102.39598119606575,True,800383.687977642,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c1_k08_complementary/cg.json,f43685c6095da2aaed183554e501f897af26cda2ff1a6830572429d4cb048378,905751a78c4c7ca598ece741ed1ba8bcea4da8546dce20cbccb519913ef8cc2d
c2_k08,2,8,original,9,8.000000000000005,False,True,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c2_k08/mip_base/135615_r0/result.json,f82b4e049c973036cb00a53c5bd5a3925206c6d8333fc32b2b4a704dfe00c3e4,18.020717868216646,True,800235.9144683554,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c2_k08/base/135613_r0/cg.json,f9544e307dc64585034133ef0e440657e737eb29f94e690646f822a7ad1c8352,905751a78c4c7ca598ece741ed1ba8bcea4da8546dce20cbccb519913ef8cc2d
c2_k08,2,8,c200,9,8.000000000000009,False,True,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c2_k08_c200_mip/mip_result.json,5d176b26b47eb7f5ced24604bd18f13959c54fcb8d3c14ea8ad2a87a7145da2b,40.42198648658038,True,800235.9144683707,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c2_k08_c200/cg.json,facde2be1fc30948ab804e4b22e781dee6a1c0e67eafd87dfb65a971844a9139,905751a78c4c7ca598ece741ed1ba8bcea4da8546dce20cbccb519913ef8cc2d
c2_k08,2,8,complementary,9,8.000000000000002,False,True,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c2_k08_complementary_mip/mip_result.json,81a25d1bf330dce7c32cc0e04a6bc888d000c1bb54d26daae4c97d4390fcd978,26.767098756243165,True,800235.9144683577,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c2_k08_complementary/cg.json,c71af03e0bc8ca7abd2954032e2f31a9cbfcd680028f75fa0c45264efec36c04,905751a78c4c7ca598ece741ed1ba8bcea4da8546dce20cbccb519913ef8cc2d
c2_k10,2,10,original,12,10.000000000000068,False,True,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c2_k10/mip_base/135620_r0/result.json,7b1b3844aaaade471ac6e7b731a9ee751ffb07569a1af953e7c34c1b3d25c69c,45.94994359918249,True,1000371.1457444351,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c2_k10/base/135618_r0/cg.json,41eba3edf8b59b540d63061dd75eea4b50e5d428708f058e0f856723a3ca7922,905751a78c4c7ca598ece741ed1ba8bcea4da8546dce20cbccb519913ef8cc2d
c2_k10,2,10,c200,11,10.000000000000002,False,True,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c2_k10_c200_mip/mip_result.json,7161386f01693a4b07e83c13864935c257e3e3b243114d0ee599b474882ef719,107.4396061689981,True,1000371.1457444391,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c2_k10_c200/cg.json,4664393d91e9456025bef0a44faf8a91c0e38752461df410f211ebb4bfcba53e,905751a78c4c7ca598ece741ed1ba8bcea4da8546dce20cbccb519913ef8cc2d
c2_k10,2,10,complementary,12,10.000000000000014,False,True,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c2_k10_complementary_mip/mip_result.json,5c63c6f9bff1b44be0ef3ec4a06c3a5a0ef8fbbc9a10d8c2ad5980dfe75f7828,75.0957096874481,True,1000371.1457444405,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c2_k10_complementary/cg.json,2e88a4f3a4cab63dfa68339de2ca3c3108d426bce27268c9fe025f7b4fadd04b,905751a78c4c7ca598ece741ed1ba8bcea4da8546dce20cbccb519913ef8cc2d
c3_k08,3,8,original,9,8.000000000000004,False,True,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c3_k08/mip_base/135635_r0/result.json,1d4936bec7def830d91a25a20f8f460fdb8f66ffd383e6a68463bd8a6f584ffc,13.277519489316425,True,800212.6874725271,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c3_k08/base/135633_r0/cg.json,9e8376a2835c071c76011325de652348eda5bf3937a3faad03d9bb7544e78082,905751a78c4c7ca598ece741ed1ba8bcea4da8546dce20cbccb519913ef8cc2d
c3_k08,3,8,c200,8,8.0,True,True,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c3_k08_c200_mip/mip_result.json,b2a8c2668d0947d809783607ea62f01a27679e4b1de1bdacb7dd3689aef7e030,25.359503960803462,True,800212.6874707585,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c3_k08_c200/cg.json,1e31a90222023aea6c0b6a82c7279102d56d69f679bc0d83ba30ef4526fab57a,905751a78c4c7ca598ece741ed1ba8bcea4da8546dce20cbccb519913ef8cc2d
