source_path	source_sha256	source_size_bytes	source_stat_before	archive_path	archive_sha256	archive_size_bytes	compression_ratio	verification	removed_after_verification
/home/nc437/ladder-lite/finetime/k08_s1_c1_g4_b2.json.columns.jsonl	f2611d029b3b0d53e2a5b7bb45c46eceb073aac38c597e6741f075a7a5e9a164	2623103604	2623103604|1787357184|103144298955|255	/home/nc437/ladder-lite/storage_cleanup_20260911_archive/finetime/k08_s1_c1_g4_b2.json.columns.jsonl.gz	37024c84f7e4f17d87859c619814006fee4f0bc36aab5af923a71e925431ecce	224834354	11.667	gzip CRC + decompressed SHA256 matched + source stat stable + fsync	true
/home/nc437/ladder-lite/finetime/k08_s1_c1_g2_b1.json.columns.jsonl	85b59090e9311a88452076e7ec41caa688fa4c886ec1c509afee9e320ee9515c	2443770169	2443770169|1787357211|103157374739|255	/home/nc437/ladder-lite/storage_cleanup_20260911_archive/finetime/k08_s1_c1_g2_b1.json.columns.jsonl.gz	609e35e087c253eb4da1e287b2a57f847e610c85bb82bd7f43d38be20cf330	181980041	13.429	gzip CRC + decompressed SHA256 matched + source stat stable + fsync	true
/home/nc437/ladder-lite/factfill/k13_s1_c1_g4_b5.json.columns.jsonl	2cf06b5b2df89a1e7c8056b3ca71168be2d357871fed8ef11d63b68301ad76b5	1972052569	1972052569|1787360062|107376273908|255	/home/nc437/ladder-lite/storage_cleanup_20260911_archive/factfill/k13_s1_c1_g4_b5.json.columns.jsonl.gz	e15d22a62b3b60a67d350bf44e0e1fdb0ba068a0364ca9fe382368d1d046044b	184189759	10.707	gzip CRC + decompressed SHA256 matched + source stat stable + fsync	true
