source_path	phase	source_sha256	source_size_bytes	archive_path	archive_sha256	archive_size_bytes	event_utc
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_complementary/M__k13_s3__event_2p5_event5.json.columns.jsonl	failed		533417418	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_complementary/M__k13_s3__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:40Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_complementary/M__k20_s3__event_2p5_event5.json.columns.jsonl	failed		530616937	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_complementary/M__k20_s3__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:40Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b060_reduced/M__k20_s2__event_2p5_event5.json.columns.jsonl	failed		510808442	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b060_reduced/M__k20_s2__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:40Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_complementary/M__k13_s2__event_2p5_event5.json.columns.jsonl	failed		451974448	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_complementary/M__k13_s2__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:40Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b030_reduced/M__k13_s4__event_2p5_event5.json.columns.jsonl	failed		442533923	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b030_reduced/M__k13_s4__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:40Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b060_reduced/M__k20_s5__event_2p5_event5.json.columns.jsonl	failed		436229796	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b060_reduced/M__k20_s5__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:40Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b030_reduced/M__k13_s1__event_2p5_event5.json.columns.jsonl	failed		375317339	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b030_reduced/M__k13_s1__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:40Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_complementary/M__k20_s6__event_2p5_event5.json.columns.jsonl	failed		336877257	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_complementary/M__k20_s6__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:40Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b030_reduced/M__k20_s4__event_2p5_event5.json.columns.jsonl	failed		299728111	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b030_reduced/M__k20_s4__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:40Z
/home/nc437/ladder-lite/phys240kw/k08_s3_c1_g2.5_b5.json.columns.jsonl	failed		269799158	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k08_s3_c1_g2.5_b5.json.columns.jsonl.gz			2026-09-12T04:25:40Z
/home/nc437/ladder-lite/phys240kw/k05_s1_c1_g2.5_b10.json.columns.jsonl	failed		197733352	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k05_s1_c1_g2.5_b10.json.columns.jsonl.gz			2026-09-12T04:25:40Z
/home/nc437/ladder-lite/phys240kw/k05_s2_c1_g2.5_b5.json.columns.jsonl	failed		143959906	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k05_s2_c1_g2.5_b5.json.columns.jsonl.gz			2026-09-12T04:25:40Z
/home/nc437/ladder-lite/phys240kw/k03_s2_c1_g2.5_b10.json.columns.jsonl	failed		53565487	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k03_s2_c1_g2.5_b10.json.columns.jsonl.gz			2026-09-12T04:25:40Z
/home/nc437/ladder-lite/phys240kw/k02_s3_c1_g2.5_b5.json.columns.jsonl	failed		38741328	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k02_s3_c1_g2.5_b5.json.columns.jsonl.gz			2026-09-12T04:25:41Z
/home/nc437/ladder-lite/phys240kw/k03_s2_c1_g10.0_b10.json.columns.jsonl	failed		33568680	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k03_s2_c1_g10.0_b10.json.columns.jsonl.gz			2026-09-12T04:25:41Z
/home/nc437/ladder-lite/phys240kw/k03_s3_c1_g10.0_b10.json.columns.jsonl	failed		25475101	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k03_s3_c1_g10.0_b10.json.columns.jsonl.gz			2026-09-12T04:25:41Z
/home/nc437/ladder-lite/phys240kw/k02_s1_c1_g10.0_b10.json.columns.jsonl	failed		10432812	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k02_s1_c1_g10.0_b10.json.columns.jsonl.gz			2026-09-12T04:25:41Z
/home/nc437/ladder-lite/phys240kw/k02_s2_c1_g2.5_b10.json.columns.jsonl	failed		3516851	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k02_s2_c1_g2.5_b10.json.columns.jsonl.gz			2026-09-12T04:25:41Z
/home/nc437/ladder-lite/phys240kw/k02_s2_c1_g10.0_b10.json.columns.jsonl	failed		2389802	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k02_s2_c1_g10.0_b10.json.columns.jsonl.gz			2026-09-12T04:25:41Z
/home/nc437/ladder-lite/cg_acceleration_20260903/network_cache/M__k20_s2__event_2p5_event5.pkl	prepared	10b2d0af241e1b5ed05b8771fd1b9423cfe49274be2a1c34690e59078e2cb41d	8071201792	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/network_cache/M__k20_s2__event_2p5_event5.pkl.gz	4348889b4c8a5cef1f94234f470c69917ff2232fd31ab5329531555048d49465	816316716	2026-09-12T04:36:04Z
/home/nc437/ladder-lite/cg_acceleration_20260903/network_cache/M__k20_s2__event_2p5_event5.pkl	success	10b2d0af241e1b5ed05b8771fd1b9423cfe49274be2a1c34690e59078e2cb41d	8071201792	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/network_cache/M__k20_s2__event_2p5_event5.pkl.gz	4348889b4c8a5cef1f94234f470c69917ff2232fd31ab5329531555048d49465	816316716	2026-09-12T04:37:13Z
/home/nc437/ladder-lite/cg_acceleration_20260903/network_cache/M__k13_s5__event_2p5_event5.pkl	prepared	9c0cdb2173ce8e6c02751355d7acf18219e800661dd365637a7e0dc38fe716bc	5741221609	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/network_cache/M__k13_s5__event_2p5_event5.pkl.gz	6f5c7fc8befbbcfacc59d47e25d81ea869afff04e63ee37757cecdd50f83f724	588489152	2026-09-12T04:41:04Z
/home/nc437/ladder-lite/cg_acceleration_20260903/network_cache/M__k13_s5__event_2p5_event5.pkl	success	9c0cdb2173ce8e6c02751355d7acf18219e800661dd365637a7e0dc38fe716bc	5741221609	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/network_cache/M__k13_s5__event_2p5_event5.pkl.gz	6f5c7fc8befbbcfacc59d47e25d81ea869afff04e63ee37757cecdd50f83f724	588489152	2026-09-12T04:41:58Z
/home/nc437/ladder-lite/cg_acceleration_20260903/network_cache/M__k13_s4__event_2p5_event5.pkl	prepared	4ede3b115cad3f07685ca196047d7ee3be8141e8c0c604939d2c17121a036492	3434774480	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/network_cache/M__k13_s4__event_2p5_event5.pkl.gz	af0ed1e0e62fe4e4be005f77163a6ce5f72c1ffe6ffab1090867e3db0d38c43f	336759948	2026-09-12T04:44:15Z
/home/nc437/ladder-lite/cg_acceleration_20260903/network_cache/M__k13_s4__event_2p5_event5.pkl	success	4ede3b115cad3f07685ca196047d7ee3be8141e8c0c604939d2c17121a036492	3434774480	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/network_cache/M__k13_s4__event_2p5_event5.pkl.gz	af0ed1e0e62fe4e4be005f77163a6ce5f72c1ffe6ffab1090867e3db0d38c43f	336759948	2026-09-12T04:44:44Z
/home/nc437/ladder-lite/phys240kw/k08_s1_c1_g10.0_b5.json.columns.jsonl	prepared	0eb07a076b6f833b3e356ef1ff7348ed9838279875f622e3f116fcb26f64494d	1558712844	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k08_s1_c1_g10.0_b5.json.columns.jsonl.gz	3ebad026628ca7fe33184fc16e9c35eee0c53e12441ef8711cc1fe62edb354a3	139840418	2026-09-12T04:45:37Z
/home/nc437/ladder-lite/phys240kw/k08_s1_c1_g10.0_b5.json.columns.jsonl	success	0eb07a076b6f833b3e356ef1ff7348ed9838279875f622e3f116fcb26f64494d	1558712844	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k08_s1_c1_g10.0_b5.json.columns.jsonl.gz	3ebad026628ca7fe33184fc16e9c35eee0c53e12441ef8711cc1fe62edb354a3	139840418	2026-09-12T04:45:45Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b200_reduced/M__k20_s4__event_2p5_event5.json.columns.jsonl	prepared	adbc0d09f22777be25bd82efb81c5aaf3498b99d88f9e15e8af56e50b72e188b	1148625629	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b200_reduced/M__k20_s4__event_2p5_event5.json.columns.jsonl.gz	66bf374ffdcbde14b918566e58d9c6f6240e9a92636a3d1443489f50ced05c15	121349726	2026-09-12T04:46:26Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b200_reduced/M__k20_s4__event_2p5_event5.json.columns.jsonl	success	adbc0d09f22777be25bd82efb81c5aaf3498b99d88f9e15e8af56e50b72e188b	1148625629	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b200_reduced/M__k20_s4__event_2p5_event5.json.columns.jsonl.gz	66bf374ffdcbde14b918566e58d9c6f6240e9a92636a3d1443489f50ced05c15	121349726	2026-09-12T04:46:32Z
/home/nc437/ladder-lite/phys240kw/k08_s1_c1_g10.0_b10.json.columns.jsonl	prepared	f57551efee1a1608fbd9580b195ad942a57b5f571d6f8563a8390c5b3ff26e87	1085603659	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k08_s1_c1_g10.0_b10.json.columns.jsonl.gz	5034c38815d67ce7b0c095f7bd0a04b09fe58f62870f1593ed245c19fea48d8f	101301383	2026-09-12T04:47:11Z
/home/nc437/ladder-lite/phys240kw/k08_s1_c1_g10.0_b10.json.columns.jsonl	success	f57551efee1a1608fbd9580b195ad942a57b5f571d6f8563a8390c5b3ff26e87	1085603659	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k08_s1_c1_g10.0_b10.json.columns.jsonl.gz	5034c38815d67ce7b0c095f7bd0a04b09fe58f62870f1593ed245c19fea48d8f	101301383	2026-09-12T04:47:16Z
/home/nc437/ladder-lite/phys240kw/k20_s3_c1_g2.5_b5.json.columns.jsonl	prepared	fb40a7319647731e9b865edcdfcb5c1945f2011d78d1c2bccb4479db64356da4	988007664	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k20_s3_c1_g2.5_b5.json.columns.jsonl.gz	4221d95b54c097c1d422dc48fe23a90062fd23cfccaaa7a7747981ea1e287b77	90116731	2026-09-12T04:47:59Z
/home/nc437/ladder-lite/phys240kw/k20_s3_c1_g2.5_b5.json.columns.jsonl	success	fb40a7319647731e9b865edcdfcb5c1945f2011d78d1c2bccb4479db64356da4	988007664	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k20_s3_c1_g2.5_b5.json.columns.jsonl.gz	4221d95b54c097c1d422dc48fe23a90062fd23cfccaaa7a7747981ea1e287b77	90116731	2026-09-12T04:48:08Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b200_reduced/M__k13_s1__event_2p5_event5.json.columns.jsonl	prepared	cd74d320193caac0f416c160efdd6c3697d737dc87c594817412b1c331c391f0	954315654	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b200_reduced/M__k13_s1__event_2p5_event5.json.columns.jsonl.gz	4b2299fc71419edf4c0dc3227bd2becf686b8c2bed4a9ab80b5c14252d043832	114110406	2026-09-12T04:48:46Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b200_reduced/M__k13_s1__event_2p5_event5.json.columns.jsonl	success	cd74d320193caac0f416c160efdd6c3697d737dc87c594817412b1c331c391f0	954315654	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b200_reduced/M__k13_s1__event_2p5_event5.json.columns.jsonl.gz	4b2299fc71419edf4c0dc3227bd2becf686b8c2bed4a9ab80b5c14252d043832	114110406	2026-09-12T04:48:55Z
