source_path	phase	source_sha256	source_size_bytes	archive_path	archive_sha256	archive_size_bytes	event_utc
/home/nc437/ladder-lite/cg_acceleration_20260903/network_cache/M__k20_s4__event_2p5_event5.pkl	failed		8995503654	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/network_cache/M__k20_s4__event_2p5_event5.pkl.gz			2026-09-12T04:25:38Z
/home/nc437/ladder-lite/cg_acceleration_20260903/network_cache/M__k13_s6__event_2p5_event5.pkl	failed		4725304153	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/network_cache/M__k13_s6__event_2p5_event5.pkl.gz			2026-09-12T04:25:38Z
/home/nc437/ladder-lite/cg_acceleration_20260903/network_cache/M__k13_s3__event_2p5_event5.pkl	failed		4053385757	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/network_cache/M__k13_s3__event_2p5_event5.pkl.gz			2026-09-12T04:25:38Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b200_reduced/M__k13_s6__event_2p5_event5.json.columns.jsonl	failed		1238960708	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b200_reduced/M__k13_s6__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:38Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b200_reduced/M__k13_s4__event_2p5_event5.json.columns.jsonl	failed		1086467563	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b200_reduced/M__k13_s4__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:38Z
/home/nc437/ladder-lite/phys240kw/k20_s1_c1_g10.0_b5.json.columns.jsonl	failed		1043434111	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k20_s1_c1_g10.0_b5.json.columns.jsonl.gz			2026-09-12T04:25:38Z
/home/nc437/ladder-lite/phys240kw/k20_s2_c1_g2.5_b5.json.columns.jsonl	failed		967486635	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k20_s2_c1_g2.5_b5.json.columns.jsonl.gz			2026-09-12T04:25:38Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b200_reduced/M__k13_s5__event_2p5_event5.json.columns.jsonl	failed		932187151	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b200_reduced/M__k13_s5__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:38Z
/home/nc437/ladder-lite/phys240kw/k13_s3_c1_g10.0_b10.json.columns.jsonl	failed		900618139	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k13_s3_c1_g10.0_b10.json.columns.jsonl.gz			2026-09-12T04:25:38Z
/home/nc437/ladder-lite/phys240kw/k20_s1_c1_g2.5_b5.json.columns.jsonl	failed		881444889	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k20_s1_c1_g2.5_b5.json.columns.jsonl.gz			2026-09-12T04:25:38Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b200_complementary/M__k13_s6__event_2p5_event5.json.columns.jsonl	failed		832305832	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b200_complementary/M__k13_s6__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:39Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_reduced/M__k13_s4__event_2p5_event5.json.columns.jsonl	failed		825519618	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_reduced/M__k13_s4__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:39Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b200_complementary/M__k13_s5__event_2p5_event5.json.columns.jsonl	failed		794877617	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b200_complementary/M__k13_s5__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:39Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_reduced/M__k20_s3__event_2p5_event5.json.columns.jsonl	failed		745390046	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_reduced/M__k20_s3__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:39Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_reduced/M__k20_s2__event_2p5_event5.json.columns.jsonl	failed		729439714	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_reduced/M__k20_s2__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:39Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_complementary/M__k13_s6__event_2p5_event5.json.columns.jsonl	failed		719767107	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_complementary/M__k13_s6__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:39Z
/home/nc437/ladder-lite/phys240kw/k13_s3_c1_g2.5_b10.json.columns.jsonl	failed		695838574	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k13_s3_c1_g2.5_b10.json.columns.jsonl.gz			2026-09-12T04:25:39Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_reduced/M__k20_s5__event_2p5_event5.json.columns.jsonl	failed		688950103	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_reduced/M__k20_s5__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:39Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b060_reduced/M__k13_s4__event_2p5_event5.json.columns.jsonl	failed		605789483	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b060_reduced/M__k13_s4__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:39Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b200_complementary/M__k20_s5__event_2p5_event5.json.columns.jsonl	failed		594594912	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b200_complementary/M__k20_s5__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:39Z
