source_path	phase	source_sha256	source_size_bytes	archive_path	archive_sha256	archive_size_bytes	event_utc
/home/nc437/ladder-lite/cg_acceleration_20260903/network_cache/M__k20_s6__event_2p5_event5.pkl	failed		7954705682	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/network_cache/M__k20_s6__event_2p5_event5.pkl.gz			2026-09-12T04:25:37Z
/home/nc437/ladder-lite/cg_acceleration_20260903/network_cache/M__k20_s3__event_2p5_event5.pkl	failed		6828728310	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/network_cache/M__k20_s3__event_2p5_event5.pkl.gz			2026-09-12T04:25:37Z
/home/nc437/ladder-lite/cg_acceleration_20260903/network_cache/M__k13_s2__event_2p5_event5.pkl	failed		2507015825	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/network_cache/M__k13_s2__event_2p5_event5.pkl.gz			2026-09-12T04:25:37Z
/home/nc437/ladder-lite/phys240kw/k13_s1_c1_g10.0_b5.json.columns.jsonl	failed		1497701953	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k13_s1_c1_g10.0_b5.json.columns.jsonl.gz			2026-09-12T04:25:37Z
/home/nc437/ladder-lite/phys240kw/k08_s1_c1_g2.5_b5.json.columns.jsonl	failed		1192274359	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k08_s1_c1_g2.5_b5.json.columns.jsonl.gz			2026-09-12T04:25:37Z
/home/nc437/ladder-lite/phys240kw/k13_s3_c1_g10.0_b5.json.columns.jsonl	failed		1080621322	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k13_s3_c1_g10.0_b5.json.columns.jsonl.gz			2026-09-12T04:25:37Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b200_reduced/M__k20_s5__event_2p5_event5.json.columns.jsonl	failed		984545667	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b200_reduced/M__k20_s5__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:37Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b200_reduced/M__k20_s3__event_2p5_event5.json.columns.jsonl	failed		953527516	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b200_reduced/M__k20_s3__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:37Z
/home/nc437/ladder-lite/phys240kw/k20_s3_c1_g10.0_b10.json.columns.jsonl	failed		914019457	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k20_s3_c1_g10.0_b10.json.columns.jsonl.gz			2026-09-12T04:25:37Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b200_complementary/M__k13_s1__event_2p5_event5.json.columns.jsonl	failed		883447947	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b200_complementary/M__k13_s1__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:37Z
/home/nc437/ladder-lite/phys240kw/k20_s2_c1_g10.0_b5.json.columns.jsonl	failed		867152531	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k20_s2_c1_g10.0_b5.json.columns.jsonl.gz			2026-09-12T04:25:37Z
/home/nc437/ladder-lite/phys240kw/k13_s2_c1_g10.0_b5.json.columns.jsonl	failed		823220828	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k13_s2_c1_g10.0_b5.json.columns.jsonl.gz			2026-09-12T04:25:38Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_reduced/M__k13_s6__event_2p5_event5.json.columns.jsonl	failed		773575596	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_reduced/M__k13_s6__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:38Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_reduced/M__k20_s4__event_2p5_event5.json.columns.jsonl	failed		751693091	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_reduced/M__k20_s4__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:38Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_complementary/M__k13_s4__event_2p5_event5.json.columns.jsonl	failed		738901808	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_complementary/M__k13_s4__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:38Z
/home/nc437/ladder-lite/phys240kw/k20_s3_c1_g2.5_b10.json.columns.jsonl	failed		726355131	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k20_s3_c1_g2.5_b10.json.columns.jsonl.gz			2026-09-12T04:25:38Z
/home/nc437/ladder-lite/phys240kw/k13_s2_c1_g2.5_b5.json.columns.jsonl	failed		692096064	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k13_s2_c1_g2.5_b5.json.columns.jsonl.gz			2026-09-12T04:25:38Z
/home/nc437/ladder-lite/phys240kw/k20_s1_c1_g2.5_b10.json.columns.jsonl	failed		686795355	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k20_s1_c1_g2.5_b10.json.columns.jsonl.gz			2026-09-12T04:25:38Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_reduced/M__k20_s1__event_2p5_event5.json.columns.jsonl	failed		607602100	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_reduced/M__k20_s1__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:38Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b200_complementary/M__k20_s1__event_2p5_event5.json.columns.jsonl	failed		593597883	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b200_complementary/M__k20_s1__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:38Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b060_reduced/M__k13_s6__event_2p5_event5.json.columns.jsonl	failed		573517843	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b060_reduced/M__k13_s6__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:38Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b060_reduced/M__k20_s3__event_2p5_event5.json.columns.jsonl	failed		547471402	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b060_reduced/M__k20_s3__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:38Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b200_complementary/M__k20_s3__event_2p5_event5.json.columns.jsonl	failed		528772812	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b200_complementary/M__k20_s3__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:38Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_complementary/M__k20_s5__event_2p5_event5.json.columns.jsonl	failed		498040354	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_complementary/M__k20_s5__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:38Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b060_reduced/M__k20_s4__event_2p5_event5.json.columns.jsonl	failed		471304549	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b060_reduced/M__k20_s4__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:39Z
/home/nc437/ladder-lite/phys240kw/k05_s1_c1_g2.5_b5.json.columns.jsonl	failed		439523415	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k05_s1_c1_g2.5_b5.json.columns.jsonl.gz			2026-09-12T04:25:39Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b060_reduced/M__k20_s6__event_2p5_event5.json.columns.jsonl	failed		427809172	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b060_reduced/M__k20_s6__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:39Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b030_reduced/M__k13_s6__event_2p5_event5.json.columns.jsonl	failed		370493184	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b030_reduced/M__k13_s6__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:39Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b030_reduced/M__k20_s1__event_2p5_event5.json.columns.jsonl	failed		343075424	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b030_reduced/M__k20_s1__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:39Z
