pool,status_sha256,journal_sha256,reference_sha256,deadhead_sha256,journal_records,archived_mip_unique_columns,mip_unique_columns,selected_incumbent_routes,valid_as_recorded,deterministically_repairable,infeasible_after_realization,mapping_set_sha256,mip_unique_valid_as_recorded,mip_unique_deterministically_repairable,mip_unique_infeasible_after_realization,expanded_grid_cost_mismatch_count,cost_unavailable_count,physical_admission_rejected_records
k40_r1_ca_raw_m1440,b3579a6f2ce9b0c0d5d41e7503f9c9fa2e1d3714787e8ae3298a1b5be2fc8cd5,ab095590c6cd65d38ad37b4c957455fff4e2bafee1a6441960f3ca999a2b9ff4,7bda0e1f439dc8bf5081499566eb2c6a0314190ef27294707f1403fd2c13e3a0,5993e922c671f053611635578b32a1be13bab87b3b5fd8c02b699b81fe0eb66c,42237,42237,42237,0,621,41616,0,e4964e964e2f65303be9e0dede747d4db05b607272dd48816d2b1ff878331c48,621,41616,0,0,0,0
k40_r1_cs_raw_m1440,04c3d5d9fe701fbb3bc4fd343e58480fabebf27bb18ef2c60e23a34e29b0200b,128e3d841842bba08e4eba2d9a073322caa8a1de5c64c0e9efe2e747a08c01d4,7bda0e1f439dc8bf5081499566eb2c6a0314190ef27294707f1403fd2c13e3a0,5993e922c671f053611635578b32a1be13bab87b3b5fd8c02b699b81fe0eb66c,47687,47687,47687,496,1956,45731,0,ccc1456d16bd5fe0b084b14ef93827392ab26099c32c0264a1fd21cb8f179f86,1956,45731,0,0,0,0
k40_r2_ca_raw_m1440,e8dbe6c2107a7cf810dc4c77317853a5339ea273f89af1e35908d76a97ec7e32,900d9be8ea65f38117e3b8d0c34aba87970910cb9d97d7175ac6f336ba4ea756,7bda0e1f439dc8bf5081499566eb2c6a0314190ef27294707f1403fd2c13e3a0,5993e922c671f053611635578b32a1be13bab87b3b5fd8c02b699b81fe0eb66c,47307,47307,47307,0,673,46634,0,70d46be712074b08911a9dc0f39d069891710f67e6a12625978e374b1ebf65fe,673,46634,0,0,0,0
k40_r2_cs_raw_m1440,780431fea40763d42576272bd8e9260f3ed2c8541b6d77f751e17f342dfb1202,8290771a7ca3b6f185070f68a9934e6eaa8894c802ae02ac37f013c25a4b7c31,7bda0e1f439dc8bf5081499566eb2c6a0314190ef27294707f1403fd2c13e3a0,5993e922c671f053611635578b32a1be13bab87b3b5fd8c02b699b81fe0eb66c,46367,46367,46367,516,1930,44437,0,0ddf998acf61ead4ed203b00066aa874ea3cc5ca6882a3b0332679ea37ba0e75,1930,44437,0,0,0,0
