Iteration,Master_Obj,Master_Improvement,Master_Time_s,Pricing_Time_s,Cumulative_Master_Time_s,Cumulative_Pricing_Time_s,Cols_Added,Best_RC,Timed_Out,Pricing_TimeLimit_Used,Stagnant_Counter,Total_Runtime_s
1,96500000.0,inf,0.000423431396484375,264.1397280693050,0.000423431396484375,264.1397280693050,150,-24399916.02926390,FALSE,100000.0,0,265.0101275444030
2,61500728.579184600,34999271.420815400,0.0018913745880127000,200.69151973724400,0.0023148059844970700,464.8312478065490,150,-12900302.751209100,FALSE,100000.0,0,465.77103972435
3,38386760.3621915,23113968.216993100,0.0024673938751220700,96.8476345539093,0.004782199859619140,561.6788823604580,150,-8300151.905943450,FALSE,100000.0,0,562.6786005496980
4,25641207.58719380,12745552.774997700,0.0033011436462402300,140.17236018180800,0.008083343505859380,701.8512425422670,150,-6240187.43538192,FALSE,100000.0,0,702.9434475898740
5,17015389.37958220,8625818.20761159,0.00418543815612793,105.28210091590900,0.012268781661987300,807.1333434581760,150,-5193021.483635200,FALSE,100000.0,0,808.2926225662230
6,9467690.225417770,7547699.154164460,0.0052340030670166000,45.201852798461900,0.017502784729003900,852.3351962566380,150,-3333508.7827141900,FALSE,100000.0,0,853.5953924655910
7,6420952.525305680,3046737.7001120900,0.005762577056884770,61.53117275238040,0.023265361785888700,913.866369009018,150,-1876159.6741123500,FALSE,100000.0,0,915.2066938877110
8,4742742.421022100,1678210.1042835800,0.006674766540527340,57.08551383018490,0.029940128326416000,970.9518828392030,150,-1725863.3885468000,FALSE,100000.0,0,972.3823063373570
9,3304533.340038520,1438209.0809835800,0.013026714324951200,45.368289947509800,0.04296684265136720,1016.3201727867100,150,-1370549.177552850,FALSE,100000.0,0,1017.8574924469000
10,2300817.559333230,1003715.7807053000,0.01158452033996580,35.45020055770870,0.05455136299133300,1051.7703733444200,150,-1250255.6055969200,FALSE,100000.0,0,1053.4269223213200
11,1300777.2861138000,1000040.2732194300,0.012100934982299800,33.124481201171900,0.06665229797363280,1084.8948545455900,150,-400184.9423345200,FALSE,100000.0,0,1086.6752817630800
12,1300703.9030380200,73.38307577231900,0.008305549621582030,29.02152729034420,0.07495784759521480,1113.9163818359400,150,-200160.96129491000,FALSE,100000.0,0,1115.8236243724800
13,1275703.2244895800,25000.678548442000,0.011321306228637700,29.29709243774410,0.08627915382385250,1143.2134742736800,150,-250173.66558448600,FALSE,100000.0,0,1145.2827985286700
