Iteration,Master_Obj,Master_Improvement,Master_Time_s,Pricing_Time_s,Cumulative_Master_Time_s,Cumulative_Pricing_Time_s,Cols_Added,Best_RC,Timed_Out,Pricing_TimeLimit_Used,Stagnant_Counter,Total_Runtime_s
1,1.6E+08,inf,0.009029865264892580,93.7570788860321,0.009029865264892580,93.7570788860321,200,-35900000.0,FALSE,100000.0,0,94.85200810432430
2,1.07E+08,57699992.08,0.011722087860107400,73.25225520133970,0.020751953125,167.00933408737200,200,-21200000.0,FALSE,100000.0,0,168.14555311203000
3,7.83E+07,28499996.400000000,0.014864921569824200,65.5363199710846,0.03561687469482420,232.54565405845600,200,-15750000.0,FALSE,100000.0,0,233.7109832763670
4,5.39833530E+07,24316658.506666700,0.016674041748046900,51.77338433265690,0.052290916442871100,284.3190383911130,200,-13516668.346666700,FALSE,100000.0,0,285.5224041938780
5,3.77E+07,16245825.89333330,0.023535966873168900,49.30355215072630,0.07582688331604000,333.6225905418400,200,-12425000.0,FALSE,100000.0,0,334.8737163543700
6,1.828336045E+07,19454166.666666700,0.01681208610534670,35.74314904212950,0.09263896942138670,369.3657395839690,200,-8416673.146666670,FALSE,100000.0,0,370.65839409828200
7,1.260002568E+07,5683334.773333330,0.023658037185668900,22.12768006324770,0.11629700660705600,391.4934196472170,200,-5100004.8,FALSE,100000.0,0,392.8231589794160
8,8.80E+06,3800003.120000000,0.022687911987304700,28.5023512840271,0.13898491859436000,419.9957709312440,200,-3300009.6,FALSE,100000.0,0,421.37207317352300
9,5.90E+06,2900000.000000000,0.02133917808532720,24.95243740081790,0.1603240966796880,444.94820833206200,200,-2300015.6,FALSE,100000.0,0,446.3699812889100
10,3.8000189600E+06,2100003.600000000,0.027751922607421900,21.998395919799800,0.18807601928710900,466.9466042518620,200,-1800011.04,FALSE,100000.0,0,468.41973304748500
11,2.4000189600E+06,1400000.0,0.04035782814025880,17.40993595123290,0.22843384742736800,484.3565402030950,200,-1000015.36,FALSE,100000.0,0,485.8963792324070
12,2.0000161561E+06,400002.80392281000,0.03539919853210450,18.618064880371100,0.26383304595947300,502.9746050834660,200,-1100009.7262638400,FALSE,100000.0,0,504.56614923477200
13,1.400003911E+06,600012.2453823270,0.024447917938232400,28.448646068573000,0.2882809638977050,531.4232511520390,200,-685714.9766076820,FALSE,100000.0,0,533.0498700141910
14,1.3001986881E+06,99805.22256863190,0.0307769775390625,42.57737493515020,0.3190579414367680,574.0006260871890,200,-442991.2115187380,FALSE,100000.0,0,575.6764469146730
15,1.297514949E+06,2683.738941524180,0.03364992141723630,39.767478942871100,0.3527078628540040,613.7681050300600,200,-433139.68678642800,FALSE,100000.0,0,615.5101480484010
16,1.2720161531E+06,25498.796118280400,0.053404808044433600,33.439160108566300,0.4061126708984380,647.2072651386260,200,-495658.8871393430,FALSE,100000.0,0,649.021769285202
17,1.2482412368E+06,23774.91626409020,0.05484414100646970,33.42683506011960,0.4609568119049070,680.6341001987460,200,-415293.17606971800,FALSE,100000.0,0,682.5365161895750
18,1.2482008250E+06,40.41184987430460,0.04770183563232420,36.63544487953190,0.5086586475372310,717.2695450782780,200,-442265.56467980400,FALSE,100000.0,0,719.2407999038700
19,1.241636184E+06,6564.6410417072500,0.0368189811706543,34.065863370895400,0.5454776287078860,751.335408449173,200,-418974.27658370300,FALSE,100000.0,0,753.3614540100100
20,1.2416361839E+06,-6.98491930961609E-10,0.07738709449768070,37.65345907211300,0.6228647232055660,788.988867521286,200,-439067.65216944900,FALSE,100000.0,1,791.1163470745090
21,1.2342160164E+06,7420.167497962950,0.06378889083862310,27.48781704902650,0.6866536140441900,816.4766845703130,200,-510509.75992108800,FALSE,100000.0,0,818.698942899704
22,1.2316744256E+06,2541.590772549160,0.09484076499938970,38.55579686164860,0.7814943790435790,855.0324814319610,200,-339160.63645308400,FALSE,100000.0,0,857.3621070384980
23,1.2307744355E+06,899.990169351222,0.10904979705810500,46.827316999435400,0.8905441761016850,901.8597984313970,200,-436833.93645371400,FALSE,100000.0,0,904.3186390399930
24,1.2277509800E+06,3023.4555155336900,0.0904231071472168,34.16254210472110,0.9809672832489010,936.0223405361180,200,-318903.8915985550,FALSE,100000.0,0,938.6033360958100
25,1.2254049834E+06,2345.9965910890600,0.08869624137878420,40.74325609207150,1.0696635246276900,976.7655966281890,200,-330428.72610135300,FALSE,100000.0,0,979.4477610588070
26,1.2254048351E+06,0.14822617080062600,0.2003798484802250,42.2436089515686,1.2700433731079100,1019.0092055797600,200,-344080.732556086,FALSE,100000.0,1,1021.9147300720200
27,1.2192384286E+06,6166.4065472772300,0.18645310401916500,53.883709192276,1.4564964771270800,1072.8929147720300,200,-365506.92058394400,FALSE,100000.0,0,1076.0043551921800
28,1.217565174E+06,1673.2542478505100,0.26401305198669400,37.171425104141200,1.7205095291137700,1110.064339876180,200,-395754.5628132000,FALSE,100000.0,0,1113.4735028743700
29,1.211396603E+06,6168.571266550110,0.26090407371521000,41.576141119003300,1.9814136028289800,1151.6404809951800,200,-373039.14048094800,FALSE,100000.0,0,1155.4101192951200
30,1.2096031929E+06,1793.4101686463700,0.2376408576965330,50.061214208602900,2.2190544605255100,1201.7016952037800,200,-443045.7169468330,FALSE,100000.0,0,1205.7583348751100
31,1.204485774E+06,5117.418812897520,0.5031177997589110,50.59382605552670,2.722172260284420,1252.2955212593100,200,-332222.0609490430,FALSE,100000.0,0,1256.908429145810
32,1.1937087965E+06,10776.977592189800,0.18398809432983400,36.73864507675170,2.906160354614260,1289.0341663360600,200,-324239.2939183730,FALSE,100000.0,0,1293.8748681545300
33,1.1910866606E+06,2622.135878565720,0.1663219928741460,44.70605802536010,3.0724823474884000,1333.7402243614200,200,-325204.16596428200,FALSE,100000.0,0,1338.773854970930
34,1.1841744957E+06,6912.164886592190,0.21260428428649900,35.55829405784610,3.2850866317749000,1369.2985184192700,200,-239105.7564273000,FALSE,100000.0,0,1374.5720372200000
35,1.1778807627E+06,6293.733040273420,0.24156785011291500,43.99424600601200,3.5266544818878200,1413.2927644252800,200,-240752.85024886000,FALSE,100000.0,0,1418.8282260894800
36,1.1764787294E+06,1402.0332854923300,0.31075406074523900,30.66394305229190,3.8374085426330600,1443.9567074775700,200,-329398.2949019610,FALSE,100000.0,0,1449.8382949829100
37,1.1742505532E+06,2228.176196901830,0.37085890769958500,27.056190967559800,4.208267450332640,1471.0128984451300,200,-281876.73442312900,FALSE,100000.0,0,1477.3163521289800
38,1.1734952862E+06,755.2669651701580,0.30307793617248500,25.314575910568200,4.511345386505130,1496.3274743557000,200,-220977.98606432,FALSE,100000.0,0,1502.9749920368200
39,1.1729805917E+06,514.6945858723480,0.3512749671936040,23.832704067230200,4.8626203536987300,1520.1601784229300,200,-256759.2564593600,FALSE,100000.0,0,1527.1729972362500
40,1.1703112812E+06,2669.310483383950,0.4281642436981200,24.72784996032720,5.290784597396850,1544.888028383260,200,-276382.8404267990,FALSE,100000.0,0,1552.3585510253900
41,1.1680669293E+06,2244.3518434311300,0.3318748474121090,30.720666885376000,5.62265944480896,1575.608695268630,200,-180692.03372997200,FALSE,100000.0,0,1583.4417650699600
42,1.1663106451E+06,1756.2842462966200,0.3633310794830320,34.082051277160600,5.985990524291990,1609.6907465457900,200,-203414.52983293700,FALSE,100000.0,0,1617.9258790016200
43,1.1632619818E+06,3048.6633326772100,0.34358692169189500,27.88197112083440,6.329577445983890,1637.572717666630,200,-237617.26188380300,FALSE,100000.0,0,1646.1928560733800
44,1.1606257830E+06,2636.198736797090,0.2183091640472410,28.45378804206850,6.547886610031130,1666.0265057086900,200,-222824.44928354000,FALSE,100000.0,0,1674.9006671905500
45,1.1585967081E+06,2029.0749691834200,0.558007001876831,20.18602705001830,7.105893611907960,1686.2125327587100,200,-209383.92914769200,FALSE,100000.0,0,1695.693349123000
46,1.1560463064E+06,2550.4016267180000,0.2437129020690920,21.253439903259300,7.349606513977050,1707.465972661970,200,-175136.69464987400,FALSE,100000.0,0,1717.2303092479700
