cell,stage,job_id,array_job_id,array_task_id,restart,state,returncode,started_utc,finished_utc,receipt_path,receipt_sha256
loc_spatial_JON_A_x0p25,cleanup,498931,,,0,finished,0,2026-09-26T01:44:17.219670+00:00,2026-09-26T01:54:57.559308+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_spatial_JON_A_x0p25/cleanup/job498931_r0/attempt.json,6d785259ac4811684eed329865f923965cad5c17a1f5b80634e8b5c73283d1c5
loc_spatial_JON_A_x0p25,fixed_duty,499063,498918,12,0,finished,0,2026-09-25T22:17:56.512936+00:00,2026-09-25T22:24:55.228920+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_spatial_JON_A_x0p25/fixed_duty/job499063_r0/attempt.json,47d4d8dcb7b06381491d023bc3a685266a160e46c55ac1f969177bfc3a35657d
loc_spatial_JON_A_x0p25,fresh_cg,499006,498917,12,0,running,,2026-09-25T22:17:50.011230+00:00,,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_spatial_JON_A_x0p25/fresh_cg/job499006_r0/attempt.json,16fde3d94a91ba0c96c219d30d20003073e20ba02d581e5134090759498c3ce8
loc_spatial_JON_A_x0p25,fresh_cg,499006,498917,12,1,finished,0,2026-09-26T00:52:38.846901+00:00,2026-09-26T01:43:49.553457+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_spatial_JON_A_x0p25/fresh_cg/job499006_r1/attempt.json,4c0a10cce1f6ae5e4571f177d489ee4eef361f9aa3f65d0cda8dd86dcef786f2
loc_spatial_JON_A_x2p00,cleanup,498932,,,0,finished,0,2026-09-26T00:05:24.374062+00:00,2026-09-26T00:18:38.311299+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_spatial_JON_A_x2p00/cleanup/job498932_r0/attempt.json,7f824c95970efe54de1e8893a7c9a91328c19ac2da6f6b7635d3b5c3b422253e
loc_spatial_JON_A_x2p00,fixed_duty,499064,498918,13,0,finished,0,2026-09-25T22:17:56.401980+00:00,2026-09-25T22:25:13.889392+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_spatial_JON_A_x2p00/fixed_duty/job499064_r0/attempt.json,789b31c604636d182a912d6b6ed3be2bcd0ddfc3e466683b3494280fd1ddbe00
loc_spatial_JON_A_x2p00,fresh_cg,499007,498917,13,0,finished,0,2026-09-25T22:17:50.016725+00:00,2026-09-26T00:05:04.421510+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_spatial_JON_A_x2p00/fresh_cg/job499007_r0/attempt.json,10b40625ed17a73e104943de15da4b3fe51a39e20e288e19781044190487d776
loc_spatial_PARX_x0p25,cleanup,498933,,,0,finished,0,2026-09-26T02:03:28.452177+00:00,2026-09-26T03:14:13.073927+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_spatial_PARX_x0p25/cleanup/job498933_r0/attempt.json,b5435541e9390fca9a9cef9f451e0c660388b8e7aba2dad9d15b636717d218fb
loc_spatial_PARX_x0p25,fixed_duty,499065,498918,14,0,finished,0,2026-09-25T22:17:56.394455+00:00,2026-09-25T22:28:10.473485+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_spatial_PARX_x0p25/fixed_duty/job499065_r0/attempt.json,b11cfb14ccbeaa79ea78b34b5a7d6ea779ddacdefe6ba46bb84ab1e072d068a0
loc_spatial_PARX_x0p25,fresh_cg,499008,498917,14,0,running,,2026-09-25T22:17:52.342096+00:00,,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_spatial_PARX_x0p25/fresh_cg/job499008_r0/attempt.json,e9e0b48d743b743d3fb52aa376f2ea03f09df5c0635d3d1e0fb9fc4f29d7cff2
loc_spatial_PARX_x0p25,fresh_cg,499008,498917,14,1,finished,0,2026-09-26T00:44:37.197672+00:00,2026-09-26T02:02:56.298665+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_spatial_PARX_x0p25/fresh_cg/job499008_r1/attempt.json,8d5888d9892087d4180b9725241f1f8353fc8827b9ca7fca954f4a29cdf50c2d
loc_spatial_PARX_x2p00,cleanup,498934,,,0,finished,0,2026-09-26T04:36:02.481070+00:00,2026-09-26T05:32:51.817896+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_spatial_PARX_x2p00/cleanup/job498934_r0/attempt.json,c5a1b449675bd4a80ccf14e7f5047a6ef20402b064169a1d5ab109af7924df1e
loc_spatial_PARX_x2p00,fixed_duty,499066,498918,15,0,finished,0,2026-09-25T22:17:56.394929+00:00,2026-09-25T22:25:22.361344+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_spatial_PARX_x2p00/fixed_duty/job499066_r0/attempt.json,c2bd641a5a3fa328c58e99ccd9ad4d1e477f57772be54f9933478a3390238837
loc_spatial_PARX_x2p00,fresh_cg,499009,498917,15,0,running,,2026-09-25T22:18:02.433696+00:00,,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_spatial_PARX_x2p00/fresh_cg/job499009_r0/attempt.json,9d534c71219ebcd80b52530410dc302bae2e9a8de67a9eda0a4aa7c6bc1c5d19
loc_spatial_PARX_x2p00,fresh_cg,499009,498917,15,1,running,,2026-09-26T00:54:01.235655+00:00,,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_spatial_PARX_x2p00/fresh_cg/job499009_r1/attempt.json,68455910341d9d9aeaf769428b73b8ea2fc6a2c69b05f363d4492fa7af889c73
loc_spatial_PARX_x2p00,fresh_cg,499009,498917,15,2,finished,0,2026-09-26T01:53:11.118483+00:00,2026-09-26T04:35:01.780527+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_spatial_PARX_x2p00/fresh_cg/job499009_r2/attempt.json,7b4fe6c6e77a91d5e2068f65eedeca1c63501025981edd8b6ed34c0740491d07
mix1_duck,cleanup,498952,,,0,finished,0,2026-09-26T05:36:05.563219+00:00,2026-09-26T05:53:08.090202+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/mix1_duck/cleanup/job498952_r0/attempt.json,633de3c77ba42717a6b6c040ee08edb160c18010e6d5c58faff7c9df25f9b169
mix1_duck,fixed_duty,499084,498918,33,0,finished,0,2026-09-25T22:17:55.520268+00:00,2026-09-25T22:27:41.077421+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/mix1_duck/fixed_duty/job499084_r0/attempt.json,e4ec83ac782f52d6dacbddb184e87d9d3be8e1b8378e0fc7bfba8741b49b3507
mix1_duck,fresh_cg_fallback,498952,,,0,finished,0,2026-09-26T05:26:08.884988+00:00,2026-09-26T05:36:01.961124+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/mix1_duck/fresh_cg/job498952_r0/attempt.json,0c1937295d45445cb82c550995f1c0fe2b6f623ef4da4305dd406eb8bb1d6796
mix1_duck,fresh_cg,499011,498917,33,0,running,,2026-09-25T22:18:02.393961+00:00,,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/mix1_duck/fresh_cg/job499011_r0/attempt.json,cb909b4938559aabb17df61371cb334d47562ccde59b9e6bb088e12456e0d7c6
mix1_duck,fresh_cg,499011,498917,33,1,failed,3,2026-09-26T01:11:40.489982+00:00,2026-09-26T05:25:06.934839+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/mix1_duck/fresh_cg/job499011_r1/attempt.json,e763ebcaa0d9c9776264dac625187fdeb34675288f3aa9408a251bae2a39f07a
mix1_duck_solar_depot,cleanup,498953,,,0,finished,0,2026-09-26T06:23:55.296839+00:00,2026-09-26T06:34:57.460180+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/mix1_duck_solar_depot/cleanup/job498953_r0/attempt.json,e3e09555782990d7d304787f1f6fbdd67d2a445b18969ca7d33ca231bc547238
mix1_duck_solar_depot,fixed_duty,499085,498918,34,0,finished,0,2026-09-25T22:17:55.513202+00:00,2026-09-25T22:25:55.282802+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/mix1_duck_solar_depot/fixed_duty/job499085_r0/attempt.json,3d48371fa6c3ca5278f2de64d09c8805e9e6fa0e3bcedf0ba5920a92ee27b062
mix1_duck_solar_depot,fresh_cg_fallback,498953,,,0,finished,0,2026-09-26T06:21:09.019728+00:00,2026-09-26T06:23:51.434535+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/mix1_duck_solar_depot/fresh_cg/job498953_r0/attempt.json,53e937d72f6d773d354956f6d36f67a3c17e246960d82441144ea476afa2b00b
mix1_duck_solar_depot,fresh_cg,499012,498917,34,0,running,,2026-09-25T22:17:52.665287+00:00,,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/mix1_duck_solar_depot/fresh_cg/job499012_r0/attempt.json,14869bef72b4fd988b483320ea8cac4bd86c803407f30d23e07098556deac867
mix1_duck_solar_depot,fresh_cg,499012,498917,34,1,failed,3,2026-09-26T01:38:45.732722+00:00,2026-09-26T06:20:37.260060+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/mix1_duck_solar_depot/fresh_cg/job499012_r1/attempt.json,797bcb58d06df5a512799b91692d79686f2cf8225e050aa6b99d14f6c2953dc6
mix1_duck_spatial_parx_x0p50,cleanup,498961,,,0,finished,0,2026-09-26T02:26:54.843006+00:00,2026-09-26T02:41:54.324965+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/mix1_duck_spatial_parx_x0p50/cleanup/job498961_r0/attempt.json,41bc5c977935b4cf9803333bc7f68d5a7a0d40199883ecf456905492c4f40a4b
mix1_duck_spatial_parx_x0p50,fixed_duty,499093,498918,42,0,finished,0,2026-09-25T22:17:56.555184+00:00,2026-09-25T22:26:02.884813+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/mix1_duck_spatial_parx_x0p50/fixed_duty/job499093_r0/attempt.json,a335988521757f04bdbd29a523e0d547af2cb9883e052852f251689607354084
mix1_duck_spatial_parx_x0p50,fresh_cg,499020,498917,42,0,finished,0,2026-09-25T22:17:52.201396+00:00,2026-09-26T02:26:16.707099+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/mix1_duck_spatial_parx_x0p50/fresh_cg/job499020_r0/attempt.json,e2834b005fdf19b80ff3ba23a47e262c697efeaecbc0989d46eb1b05cc5faf1b
mix1_flat,cleanup,498951,,,0,finished,0,2026-09-26T06:48:07.909755+00:00,2026-09-26T08:03:19.917241+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/mix1_flat/cleanup/job498951_r0/attempt.json,72fe3b60a204a476e27ce2038660856cb949ef03b5958a26a30df8f5e0c2d4a6
mix1_flat,fixed_duty,499083,498918,32,0,finished,0,2026-09-25T22:17:55.538727+00:00,2026-09-25T23:26:28.005605+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/mix1_flat/fixed_duty/job499083_r0/attempt.json,de8c2b1e9a10c0b75e79024872705ab80ec4e276fdae0fdb4a1b9d0091752a78
mix1_flat,fresh_cg_fallback,498951,,,0,finished,0,2026-09-26T05:46:10.244651+00:00,2026-09-26T06:48:03.253758+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/mix1_flat/fresh_cg/job498951_r0/attempt.json,b4004df54e26cfe374333dff54ffd95ba62fffe05d19af660ecf036a85b245d7
mix1_flat,fresh_cg,499010,498917,32,0,running,,2026-09-25T22:18:02.425116+00:00,,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/mix1_flat/fresh_cg/job499010_r0/attempt.json,c64b9955810b02f6f41a89e1d3a09db5921c4ba3ae107520cfe4346ebc4f8079
