root_label,job_id,job_name,stage,state,exit_code,elapsed,start_scheduler_local,end_scheduler_local,restarts
expansion,498919,sx_po_r21_flat,post,COMPLETED,0:0,01:03:42,2026-09-25T18:36:20,2026-09-25T19:40:02,0
expansion,498920,sx_po_r21_spatial_2190L_x0p25,post,COMPLETED,0:0,00:01:58,2026-09-25T18:29:19,2026-09-25T18:31:17,0
expansion,498921,sx_po_r21_spatial_2190L_x2p00,post,COMPLETED,0:0,00:02:02,2026-09-25T18:29:19,2026-09-25T18:31:21,0
expansion,498922,sx_po_r21_spatial_4808_x0p25,post,COMPLETED,0:0,00:01:41,2026-09-25T18:31:19,2026-09-25T18:33:00,0
expansion,498923,sx_po_r21_spatial_4808_x2p00,post,COMPLETED,0:0,01:03:17,2026-09-25T18:36:20,2026-09-25T19:39:37,0
expansion,498924,sx_po_r21_spatial_PARX_x0p25,post,COMPLETED,0:0,00:02:45,2026-09-25T18:35:19,2026-09-25T18:38:04,0
expansion,498925,sx_po_r21_spatial_PARX_x2p00,post,COMPLETED,0:0,01:03:04,2026-09-25T18:38:19,2026-09-25T19:41:23,0
expansion,498916_0,sx_cg_R,fresh_cg,COMPLETED,0:0,00:18:07,2026-09-25T18:17:39,2026-09-25T18:35:46,0
expansion,498916_1,sx_cg_R,fresh_cg,FAILED,3:0,00:11:03,2026-09-25T18:17:39,2026-09-25T18:28:42,0
expansion,498916_2,sx_cg_R,fresh_cg,COMPLETED,0:0,00:11:26,2026-09-25T18:17:39,2026-09-25T18:29:05,0
expansion,498916_3,sx_cg_R,fresh_cg,COMPLETED,0:0,00:12:23,2026-09-25T18:17:39,2026-09-25T18:30:02,0
expansion,498916_4,sx_cg_R,fresh_cg,COMPLETED,0:0,00:18:30,2026-09-25T18:17:39,2026-09-25T18:36:09,0
expansion,498916_5,sx_cg_R,fresh_cg,COMPLETED,0:0,00:17:39,2026-09-25T18:17:39,2026-09-25T18:35:18,0
expansion,498916_6,sx_cg_R,fresh_cg,COMPLETED,0:0,00:19:44,2026-09-25T18:17:39,2026-09-25T18:37:23,0
expansion,498916_16,sx_cg_R,fresh_cg,COMPLETED,0:0,00:42:38,2026-09-25T18:17:39,2026-09-25T19:00:17,0
expansion,498916_17,sx_cg_R,fresh_cg,COMPLETED,0:0,00:44:38,2026-09-25T18:17:39,2026-09-25T19:02:17,0
expansion,498916_18,sx_cg_R,fresh_cg,COMPLETED,0:0,00:45:53,2026-09-25T18:17:39,2026-09-25T19:03:32,0
expansion,498916_19,sx_cg_R,fresh_cg,COMPLETED,0:0,00:46:46,2026-09-25T18:17:39,2026-09-25T19:04:25,0
expansion,498916_20,sx_cg_R,fresh_cg,COMPLETED,0:0,00:27:30,2026-09-25T18:17:39,2026-09-25T18:45:09,0
expansion,498916_21,sx_cg_R,fresh_cg,COMPLETED,0:0,00:42:09,2026-09-25T18:17:39,2026-09-25T18:59:48,0
expansion,498916_22,sx_cg_R,fresh_cg,COMPLETED,0:0,00:34:03,2026-09-25T18:17:39,2026-09-25T18:51:42,0
expansion,498916_23,sx_cg_R,fresh_cg,COMPLETED,0:0,00:42:42,2026-09-25T18:17:39,2026-09-25T19:00:21,0
expansion,498916_24,sx_cg_R,fresh_cg,COMPLETED,0:0,00:31:35,2026-09-25T18:17:39,2026-09-25T18:49:14,0
expansion,498916_27,sx_cg_R,fresh_cg,COMPLETED,0:0,00:22:44,2026-09-25T18:17:39,2026-09-25T18:40:23,0
expansion,498916_28,sx_cg_R,fresh_cg,COMPLETED,0:0,00:16:06,2026-09-25T18:17:39,2026-09-25T18:33:45,0
expansion,498916_29,sx_cg_R,fresh_cg,COMPLETED,0:0,00:18:11,2026-09-25T18:19:17,2026-09-25T18:37:28,0
expansion,498916_30,sx_cg_R,fresh_cg,COMPLETED,0:0,00:19:50,2026-09-25T18:19:17,2026-09-25T18:39:07,0
expansion,498916_31,sx_cg_R,fresh_cg,COMPLETED,0:0,00:19:18,2026-09-25T18:29:19,2026-09-25T18:48:37,0
expansion,498917_7,sx_cg_L,fresh_cg,FAILED,3:0,01:38:21,2026-09-25T18:17:39,2026-09-25T19:56:00,0
expansion,498917_8,sx_cg_L,fresh_cg,COMPLETED,0:0,02:04:06,2026-09-25T18:17:39,2026-09-25T20:21:45,0
expansion,498917_9,sx_cg_L,fresh_cg,COMPLETED,0:0,01:05:56,2026-09-25T18:17:39,2026-09-25T19:23:35,0
expansion,498917_10,sx_cg_L,fresh_cg,COMPLETED,0:0,00:28:42,2026-09-25T18:17:39,2026-09-25T18:46:21,0
expansion,498917_11,sx_cg_L,fresh_cg,FAILED,3:0,01:37:36,2026-09-25T18:17:39,2026-09-25T19:55:15,0
expansion,498917_13,sx_cg_L,fresh_cg,COMPLETED,0:0,01:47:25,2026-09-25T18:17:39,2026-09-25T20:05:04,0
expansion,498917_35,sx_cg_L,fresh_cg,COMPLETED,0:0,01:41:08,2026-09-25T18:17:39,2026-09-25T19:58:47,0
expansion,498917_38,sx_cg_L,fresh_cg,COMPLETED,0:0,02:35:53,2026-09-25T18:17:39,2026-09-25T20:53:32,0
expansion,498917_39,sx_cg_L,fresh_cg,FAILED,3:0,02:53:33,2026-09-25T18:17:39,2026-09-25T21:11:12,0
expansion,498917_40,sx_cg_L,fresh_cg,COMPLETED,0:0,03:20:40,2026-09-25T18:17:39,2026-09-25T21:38:19,0
expansion,498917_41,sx_cg_L,fresh_cg,FAILED,3:0,04:36:26,2026-09-25T18:17:39,2026-09-25T22:54:05,0
expansion,498917_42,sx_cg_L,fresh_cg,COMPLETED,0:0,04:08:38,2026-09-25T18:17:39,2026-09-25T22:26:17,0
expansion,498917_43,sx_cg_L,fresh_cg,COMPLETED,0:0,02:26:01,2026-09-25T18:17:39,2026-09-25T20:43:40,0
expansion,498917_44,sx_cg_L,fresh_cg,COMPLETED,0:0,02:34:09,2026-09-25T18:17:39,2026-09-25T20:51:48,0
expansion,498917_45,sx_cg_L,fresh_cg,COMPLETED,0:0,01:37:49,2026-09-25T18:17:39,2026-09-25T19:55:28,0
expansion,498917_46,sx_cg_L,fresh_cg,COMPLETED,0:0,01:02:36,2026-09-25T18:17:39,2026-09-25T19:20:15,0
expansion,498917_47,sx_cg_L,fresh_cg,COMPLETED,0:0,01:11:49,2026-09-25T18:17:39,2026-09-25T19:29:28,0
expansion,498917_48,sx_cg_L,fresh_cg,COMPLETED,0:0,00:54:47,2026-09-25T18:17:39,2026-09-25T19:12:26,0
expansion,498917_49,sx_cg_L,fresh_cg,COMPLETED,0:0,01:09:54,2026-09-25T18:17:39,2026-09-25T19:27:33,0
expansion,498917_50,sx_cg_L,fresh_cg,COMPLETED,0:0,01:01:11,2026-09-25T18:17:39,2026-09-25T19:18:50,0
expansion,498917_51,sx_cg_L,fresh_cg,COMPLETED,0:0,01:07:26,2026-09-25T18:17:39,2026-09-25T19:25:05,0
expansion,498917_52,sx_cg_L,fresh_cg,COMPLETED,0:0,01:02:31,2026-09-25T18:17:39,2026-09-25T19:20:10,0
expansion,498917_53,sx_cg_L,fresh_cg,COMPLETED,0:0,01:08:52,2026-09-25T18:24:17,2026-09-25T19:33:09,0
expansion,498917_54,sx_cg_L,fresh_cg,COMPLETED,0:0,00:52:42,2026-09-25T18:24:17,2026-09-25T19:16:59,0
expansion,498917_55,sx_cg_L,fresh_cg,FAILED,3:0,00:56:43,2026-09-25T18:47:19,2026-09-25T19:44:02,0
expansion,498917_56,sx_cg_L,fresh_cg,FAILED,3:0,04:41:11,2026-09-25T19:13:20,2026-09-25T23:54:31,0
expansion,498917_57,sx_cg_L,fresh_cg,COMPLETED,0:0,04:37:13,2026-09-25T19:17:20,2026-09-25T23:54:33,0
expansion,498917_58,sx_cg_L,fresh_cg,COMPLETED,0:0,02:22:12,2026-09-25T19:19:20,2026-09-25T21:41:32,0
expansion,498917_59,sx_cg_L,fresh_cg,COMPLETED,0:0,03:46:12,2026-09-25T19:20:19,2026-09-25T23:06:31,0
expansion,498917_60,sx_cg_L,fresh_cg,COMPLETED,0:0,03:09:42,2026-09-25T19:20:19,2026-09-25T22:30:01,0
expansion,498917_61,sx_cg_L,fresh_cg,FAILED,3:0,02:52:40,2026-09-25T19:24:20,2026-09-25T22:17:00,0
expansion,498917_62,sx_cg_L,fresh_cg,FAILED,3:0,02:27:25,2026-09-25T19:25:21,2026-09-25T21:52:46,0
expansion,498917_63,sx_cg_L,fresh_cg,COMPLETED,0:0,02:43:21,2026-09-25T19:27:22,2026-09-25T22:10:43,0
expansion,498917_64,sx_cg_L,fresh_cg,COMPLETED,0:0,02:15:11,2026-09-25T19:28:22,2026-09-25T21:43:33,0
expansion,498917_65,sx_cg_L,fresh_cg,FAILED,3:0,04:35:54,2026-09-25T19:30:22,2026-09-26T00:06:16,0
expansion,498917_66,sx_cg_L,fresh_cg,COMPLETED,0:0,03:26:09,2026-09-25T19:33:22,2026-09-25T22:59:31,0
expansion,498917_67,sx_cg_L,fresh_cg,COMPLETED,0:0,02:11:26,2026-09-25T19:44:24,2026-09-25T21:55:50,0
expansion,498917_68,sx_cg_L,fresh_cg,FAILED,3:0,04:17:11,2026-09-25T19:52:23,2026-09-26T00:09:34,0
expansion,498917_69,sx_cg_L,fresh_cg,FAILED,3:0,04:13:21,2026-09-25T19:52:23,2026-09-26T00:05:44,0
expansion,498917_70,sx_cg_L,fresh_cg,FAILED,3:0,04:40:20,2026-09-25T19:55:47,2026-09-26T00:36:07,0
expansion,498917_71,sx_cg_L,fresh_cg,FAILED,3:0,04:38:55,2026-09-25T19:55:47,2026-09-26T00:34:42,0
expansion,498917_72,sx_cg_L,fresh_cg,FAILED,3:0,04:13:17,2026-09-25T19:56:20,2026-09-26T00:09:37,0
expansion,498917_73,sx_cg_L,fresh_cg,FAILED,3:0,04:11:32,2026-09-25T19:59:43,2026-09-26T00:11:15,0
expansion,498917_74,sx_cg_L,fresh_cg,FAILED,3:0,04:12:24,2026-09-25T20:05:15,2026-09-26T00:17:39,0
expansion,498917_75,sx_cg_L,fresh_cg,FAILED,3:0,04:39:51,2026-09-25T20:08:25,2026-09-26T00:48:16,0
expansion,498917_77,sx_cg_L,fresh_cg,FAILED,3:0,04:08:35,2026-09-25T20:13:25,2026-09-26T00:22:00,0
expansion,498917_79,sx_cg_L,fresh_cg,FAILED,3:0,02:38:40,2026-09-25T20:22:28,2026-09-25T23:01:08,0
expansion,498918_0,sx_fx,fixed_duty,COMPLETED,0:0,00:02:40,2026-09-25T18:17:39,2026-09-25T18:20:19,0
expansion,498918_1,sx_fx,fixed_duty,COMPLETED,0:0,00:01:41,2026-09-25T18:17:39,2026-09-25T18:19:20,0
expansion,498918_2,sx_fx,fixed_duty,COMPLETED,0:0,00:01:58,2026-09-25T18:17:39,2026-09-25T18:19:37,0
expansion,498918_3,sx_fx,fixed_duty,COMPLETED,0:0,00:01:41,2026-09-25T18:17:39,2026-09-25T18:19:20,0
expansion,498918_4,sx_fx,fixed_duty,COMPLETED,0:0,00:02:23,2026-09-25T18:17:39,2026-09-25T18:20:02,0
expansion,498918_5,sx_fx,fixed_duty,COMPLETED,0:0,00:02:04,2026-09-25T18:17:39,2026-09-25T18:19:43,0
expansion,498918_6,sx_fx,fixed_duty,COMPLETED,0:0,00:02:01,2026-09-25T18:17:39,2026-09-25T18:19:40,0
expansion,498918_7,sx_fx,fixed_duty,COMPLETED,0:0,00:08:00,2026-09-25T18:17:39,2026-09-25T18:25:39,0
expansion,498918_8,sx_fx,fixed_duty,COMPLETED,0:0,00:06:36,2026-09-25T18:17:39,2026-09-25T18:24:15,0
expansion,498918_9,sx_fx,fixed_duty,COMPLETED,0:0,00:09:00,2026-09-25T18:17:39,2026-09-25T18:26:39,0
expansion,498918_10,sx_fx,fixed_duty,COMPLETED,0:0,00:06:46,2026-09-25T18:17:39,2026-09-25T18:24:25,0
expansion,498918_11,sx_fx,fixed_duty,COMPLETED,0:0,00:07:19,2026-09-25T18:17:39,2026-09-25T18:24:58,0
expansion,498918_12,sx_fx,fixed_duty,COMPLETED,0:0,00:07:18,2026-09-25T18:17:39,2026-09-25T18:24:57,0
expansion,498918_13,sx_fx,fixed_duty,COMPLETED,0:0,00:07:34,2026-09-25T18:17:39,2026-09-25T18:25:13,0
expansion,498918_14,sx_fx,fixed_duty,COMPLETED,0:0,00:10:31,2026-09-25T18:17:39,2026-09-25T18:28:10,0
expansion,498918_15,sx_fx,fixed_duty,COMPLETED,0:0,00:07:43,2026-09-25T18:17:39,2026-09-25T18:25:22,0
expansion,498918_16,sx_fx,fixed_duty,COMPLETED,0:0,00:46:07,2026-09-25T18:17:39,2026-09-25T19:03:46,0
expansion,498918_17,sx_fx,fixed_duty,COMPLETED,0:0,01:09:27,2026-09-25T18:17:39,2026-09-25T19:27:06,0
expansion,498918_18,sx_fx,fixed_duty,COMPLETED,0:0,01:04:01,2026-09-25T18:17:39,2026-09-25T19:21:40,0
expansion,498918_19,sx_fx,fixed_duty,COMPLETED,0:0,00:02:37,2026-09-25T18:17:39,2026-09-25T18:20:16,0
expansion,498918_20,sx_fx,fixed_duty,COMPLETED,0:0,00:04:04,2026-09-25T18:17:39,2026-09-25T18:21:43,0
expansion,498918_21,sx_fx,fixed_duty,COMPLETED,0:0,00:05:28,2026-09-25T18:17:39,2026-09-25T18:23:07,0
expansion,498918_22,sx_fx,fixed_duty,COMPLETED,0:0,00:02:59,2026-09-25T18:17:39,2026-09-25T18:20:38,0
expansion,498918_23,sx_fx,fixed_duty,COMPLETED,0:0,00:03:56,2026-09-25T18:17:39,2026-09-25T18:21:35,0
expansion,498918_24,sx_fx,fixed_duty,COMPLETED,0:0,00:03:07,2026-09-25T18:17:39,2026-09-25T18:20:46,0
expansion,498918_25,sx_fx,fixed_duty,COMPLETED,0:0,00:05:44,2026-09-25T18:17:39,2026-09-25T18:23:23,0
expansion,498918_26,sx_fx,fixed_duty,COMPLETED,0:0,00:05:16,2026-09-25T18:17:39,2026-09-25T18:22:55,0
expansion,498918_27,sx_fx,fixed_duty,COMPLETED,0:0,00:02:37,2026-09-25T18:17:39,2026-09-25T18:20:16,0
expansion,498918_28,sx_fx,fixed_duty,COMPLETED,0:0,00:02:40,2026-09-25T18:17:39,2026-09-25T18:20:19,0
expansion,498918_29,sx_fx,fixed_duty,COMPLETED,0:0,00:02:58,2026-09-25T18:17:39,2026-09-25T18:20:37,0
expansion,498918_30,sx_fx,fixed_duty,COMPLETED,0:0,01:00:04,2026-09-25T18:17:39,2026-09-25T19:17:43,0
expansion,498918_31,sx_fx,fixed_duty,COMPLETED,0:0,00:03:33,2026-09-25T18:17:39,2026-09-25T18:21:12,0
expansion,498918_32,sx_fx,fixed_duty,COMPLETED,0:0,01:08:49,2026-09-25T18:17:39,2026-09-25T19:26:28,0
expansion,498918_33,sx_fx,fixed_duty,COMPLETED,0:0,00:10:02,2026-09-25T18:17:39,2026-09-25T18:27:41,0
expansion,498918_34,sx_fx,fixed_duty,COMPLETED,0:0,00:08:16,2026-09-25T18:17:39,2026-09-25T18:25:55,0
expansion,498918_35,sx_fx,fixed_duty,COMPLETED,0:0,00:06:04,2026-09-25T18:17:39,2026-09-25T18:23:43,0
expansion,498918_36,sx_fx,fixed_duty,COMPLETED,0:0,00:08:37,2026-09-25T18:17:39,2026-09-25T18:26:16,0
expansion,498918_37,sx_fx,fixed_duty,COMPLETED,0:0,01:07:25,2026-09-25T18:17:39,2026-09-25T19:25:04,0
expansion,498918_38,sx_fx,fixed_duty,COMPLETED,0:0,00:06:49,2026-09-25T18:17:39,2026-09-25T18:24:28,0
expansion,498918_39,sx_fx,fixed_duty,COMPLETED,0:0,00:06:18,2026-09-25T18:17:39,2026-09-25T18:23:57,0
expansion,498918_40,sx_fx,fixed_duty,COMPLETED,0:0,00:06:28,2026-09-25T18:17:39,2026-09-25T18:24:07,0
expansion,498918_41,sx_fx,fixed_duty,COMPLETED,0:0,01:07:09,2026-09-25T18:17:39,2026-09-25T19:24:48,0
