case,arm,fleet,bound,finite_pool_fleet_proven,target,target_attained,gurobi_status,actual_optimize_wall_s,gurobi_runtime_s,artifact_loading_s,model_build_wall_s,start_buses,first_target_time_s,matrix_identity_sha256,host,job_id,status,relative_gap,work_units,log_explored_seconds,runtime_minus_log_explored_seconds,code_commit,start_kind,offline_acquisition_time_included,preparation_time_included,model_rows,model_columns,model_nonzeros,result_sha256,log_sha256,source_result,source_log,optimizer_runtime_ratio_to_default,fleet_difference_from_default
c1_k15_sequential,default,15,15.0,True,15,True,2,104.16801027674228,104.16754388809204,1.4077758421190083,3.846947479993105,87,104.11170983314514,f7d0a404c3081edb304dee1d60856947c1751237c0559ba68bfad555f722d8a4,jingjie-cpu-22.mae.cornell.edu,730247,OPTIMAL,0.0,131.53,104.16,0.007543888092044426,74906efe7d8787c82795d6dd80a640a56a594beb,original deterministic greedy partition,False,False,364,130468,3541122,25f43eaf1812f2806fd401058c6165e50b41e0326dd580eae63766eaa12f3cc0,d890aa7cdfb2a98a454ac2815da8cd5e870a2a76494aa1b1aa8d16f25bfbfd0c,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c1_k15_sequential/default/730247_r0/result.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c1_k15_sequential/default/730247_r0/gurobi.log,1.0,0
c1_k15_sequential,focus1,15,15.0,True,15,True,2,105.08831007219851,105.0874330997467,1.3530922001227736,3.649253913667053,87,105.03446412086487,f7d0a404c3081edb304dee1d60856947c1751237c0559ba68bfad555f722d8a4,jingjie-cpu-06.mae.cornell.edu,730248,OPTIMAL,0.0,132.24,105.08,0.007433099746705807,74906efe7d8787c82795d6dd80a640a56a594beb,original deterministic greedy partition,False,False,364,130468,3541122,d7cbb70233390b632e4a1650d9535a71a3f2e406706205b4a8da0f1b8e46d1b4,f064acdfc9f30a25f34da317a4916cc329965ae4d516f9c201a727bece08ff3f,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c1_k15_sequential/focus1/730248_r0/result.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c1_k15_sequential/focus1/730248_r0/gurobi.log,1.0088347640797908,0
c1_k15_sequential,focus2,15,14.999999999999998,True,15,True,2,80.75172843690962,80.75095295906067,1.346311328932643,3.548326290678233,87,80.68918299674988,f7d0a404c3081edb304dee1d60856947c1751237c0559ba68bfad555f722d8a4,jingjie-cpu-08.mae.cornell.edu,730249,OPTIMAL,1.1842378929335003e-16,98.72,80.74,0.010952959060674061,74906efe7d8787c82795d6dd80a640a56a594beb,original deterministic greedy partition,False,False,364,130468,3541122,5774cbb3468db1e3adcec9d82ccade96a6ef6c414244de33ed43589131434363,943cf0fa1a9fe9d3a7a073cb9fa611bf50058ba0fc647ba60c335571c9771747,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c1_k15_sequential/focus2/730249_r0/result.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c1_k15_sequential/focus2/730249_r0/gurobi.log,0.7752065938705863,0
c1_k15_sequential,presparsify1,15,15.0,True,15,True,2,1779.486721611116,1779.4859330654144,1.3211871339008212,3.5304148951545358,87,1779.3997120857239,f7d0a404c3081edb304dee1d60856947c1751237c0559ba68bfad555f722d8a4,jingjie-cpu-15.mae.cornell.edu,730250,OPTIMAL,0.0,3010.59,1779.47,0.015933065414401426,74906efe7d8787c82795d6dd80a640a56a594beb,original deterministic greedy partition,False,False,364,130468,3541122,c26ec458f379bdacdd8262aa4110b699fdc15155ef97ba807864a5db76af5516,4699a548115942fdd4076abceb40ce730e474fa1ffe1e13ebbd68ad559f5d588,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c1_k15_sequential/presparsify1/730250_r0/result.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c1_k15_sequential/presparsify1/730250_r0/gurobi.log,17.082852181620524,0
c1_k15_sequential,strong_start,15,15.0,True,15,True,2,11.149610604159534,11.148597002029419,1.361515725031495,4.104151820298284,15,0.053175926208496094,f7d0a404c3081edb304dee1d60856947c1751237c0559ba68bfad555f722d8a4,jingjie-cpu-17.mae.cornell.edu,730251,OPTIMAL,0.0,8.29,11.14,0.008597002029418377,74906efe7d8787c82795d6dd80a640a56a594beb,offline saved original stage1 incumbent,False,False,364,130468,3541122,757db43a9562d9012f688d54fbc72ff181e938b90ff9c91f456275759bedbafa,120c5e459336519988b5f2785d275db82f8518bfa17c05589493a9d03238fff7,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c1_k15_sequential/strong_start/730251_r0/result.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c1_k15_sequential/strong_start/730251_r0/gurobi.log,0.10703488119374131,0
c3_k15_fresh,default,18,15.000000000000025,False,15,False,9,1800.0315718781203,1800.0311992168427,0.35621081478893757,1.0102432640269399,100,,d6e8a3cdbadb3e0ded791b855d5a2bd4c7e594e46d7e7087805b6b44f76f0ba8,jingjie-cpu-10.mae.cornell.edu,730242,TIME_LIMIT,0.1666666666666653,4564.45,1800.03,0.001199216842678652,74906efe7d8787c82795d6dd80a640a56a594beb,original deterministic greedy partition,False,False,302,38130,896915,72582bbc1da99e71bb5c8a080026c136d9677662a4d99fd3d4e8b17adee7c25c,f5bfb5ad9e09348ed741894289fd32eea8eb0cbd32ef2ab35f7b8820ac2675cf,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c3_k15_fresh/default/730242_r0/result.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c3_k15_fresh/default/730242_r0/gurobi.log,1.0,0
c3_k15_fresh,focus1,18,15.000000000000025,False,15,False,9,1800.04506888194,1800.0424590110779,0.39335389202460647,0.9737203628756106,100,,d6e8a3cdbadb3e0ded791b855d5a2bd4c7e594e46d7e7087805b6b44f76f0ba8,jingjie-cpu-16.mae.cornell.edu,730243,TIME_LIMIT,0.1666666666666653,3951.37,1800.04,0.002459011077917239,74906efe7d8787c82795d6dd80a640a56a594beb,original deterministic greedy partition,False,False,302,38130,896915,9a46cb069690023e2cc31af1a19fe26f44a79a15f353a3843d74f09e9a0676c6,080717a2f63d2bba1a2110f0a4e308494ee98ff3130bebaaee5f97fa10ec3c4e,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c3_k15_fresh/focus1/730243_r0/result.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c3_k15_fresh/focus1/730243_r0/gurobi.log,1.0000074982039375,0
c3_k15_fresh,focus2,18,15.000000000000055,False,15,False,9,1800.0352854183875,1800.0348739624023,0.4079593797214329,0.9735363009385765,100,,d6e8a3cdbadb3e0ded791b855d5a2bd4c7e594e46d7e7087805b6b44f76f0ba8,jingjie-cpu-17.mae.cornell.edu,730244,TIME_LIMIT,0.1666666666666636,3276.44,1800.03,0.004873962402371035,74906efe7d8787c82795d6dd80a640a56a594beb,original deterministic greedy partition,False,False,302,38130,896915,b46be122da0634000d4769dccf120f71f30ec7dcadc0f6360f76d6af3d0fd63b,753b4d8c7088de3c5d506be24f099d08f681051b0b59e7df51c666356509573e,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c3_k15_fresh/focus2/730244_r0/result.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c3_k15_fresh/focus2/730244_r0/gurobi.log,1.0000020630417406,0
c3_k15_fresh,presparsify1,17,15.000000000001029,False,15,False,9,1800.0306920241565,1800.0303299427032,0.46258351439610124,0.8529205648228526,100,,d6e8a3cdbadb3e0ded791b855d5a2bd4c7e594e46d7e7087805b6b44f76f0ba8,jingjie-cpu-17.mae.cornell.edu,730245,TIME_LIMIT,0.11764705882346892,4490.19,1800.03,0.00032994270327435515,74906efe7d8787c82795d6dd80a640a56a594beb,original deterministic greedy partition,False,False,302,38130,896915,b206812191a28bc8f2214c1807fc55c091fbcc29029f03a8caa09b10f4c7d65c,95531194edfb5644c1a0b0c413217a76fa3963a3b7946dcc47c0ae6608fa86ed,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c3_k15_fresh/presparsify1/730245_r0/result.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c3_k15_fresh/presparsify1/730245_r0/gurobi.log,0.9999995112008158,-1
c3_k15_fresh,strong_start,17,15.000000000000059,False,15,False,9,1800.022630651947,1800.022192955017,0.3902959239203483,1.064076297916472,18,,d6e8a3cdbadb3e0ded791b855d5a2bd4c7e594e46d7e7087805b6b44f76f0ba8,jingjie-cpu-18.mae.cornell.edu,730246,TIME_LIMIT,0.11764705882352597,4658.57,1800.02,0.0021929550171080336,74906efe7d8787c82795d6dd80a640a56a594beb,offline saved original stage1 incumbent,False,False,302,38130,896915,915cff67b77c820d64e05dfa3eb260659eabfc748c4d408543b2a3dfaf047f6f,24cec6f4d772b1925506dd8f372064494fc576d1d1d90e6fcdeae0e7aa339288,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c3_k15_fresh/strong_start/730246_r0/result.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c3_k15_fresh/strong_start/730246_r0/gurobi.log,0.9999950327392514,-1
c4_k08_fresh,default,9,9.0,True,8,False,2,461.95708586391993,461.9568428993225,215.01275239512324,0.5303177109453827,59,,d27e254a66aaf9d608d0a7d1f40718650d74e8f790a3cb1fb46157be6051bb7a,mzhang-cpu-01.mae.cornell.edu,729446,OPTIMAL,0.0,1611.48,461.95,0.006842899322521134,94eabb25b5f1da9b24708320eaaec15a760c5f0e,original deterministic greedy partition,False,False,188,39668,1057136,458175e2c8550ce6d42816ef67fb8683ce83f3bf9d7a253d533cb62a7586d814,6b35e44e42ca2b0e5aa788520eaf9cc86bc7b25163f1fd7472dfa4e9e81be713,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c4_k08_fresh/default/729446_r0/result.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c4_k08_fresh/default/729446_r0/gurobi.log,1.0,0
c4_k08_fresh,focus1,9,9.0,True,8,False,2,700.6527135709766,700.6524701118469,205.77095974399708,0.5030567410867661,59,,d27e254a66aaf9d608d0a7d1f40718650d74e8f790a3cb1fb46157be6051bb7a,mzhang-cpu-01.mae.cornell.edu,729447,OPTIMAL,0.0,2232.84,700.65,0.0024701118469465655,94eabb25b5f1da9b24708320eaaec15a760c5f0e,original deterministic greedy partition,False,False,188,39668,1057136,c893dc696d184785a703d05e41d67c47daa12ced0b60d2dfa79e4d75c4b26d05,d7bd521df4f4744c95724b7740ea708ae9fc91b2b784324e38a8a6374dec7b43,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c4_k08_fresh/focus1/729447_r0/result.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c4_k08_fresh/focus1/729447_r0/gurobi.log,1.516705198407477,0
c4_k08_fresh,focus2,9,9.0,True,8,False,2,511.8087495157961,511.80850410461426,205.8432999891229,0.4859213810414076,59,,d27e254a66aaf9d608d0a7d1f40718650d74e8f790a3cb1fb46157be6051bb7a,mzhang-cpu-01.mae.cornell.edu,729448,OPTIMAL,0.0,1505.06,511.81,-0.0014958953857444612,94eabb25b5f1da9b24708320eaaec15a760c5f0e,original deterministic greedy partition,False,False,188,39668,1057136,8bdc0c6c301c2a2bb2cbb873e821760d23458d1dfae4f6f6bffd733005c5740b,f49f0980a6265aec242b33d813607d735cc0f30c2ab64104f3eb40cbd88fca2b,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c4_k08_fresh/focus2/729448_r0/result.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c4_k08_fresh/focus2/729448_r0/gurobi.log,1.1079140577715072,0
c4_k08_fresh,presparsify1,9,8.99999999999999,True,8,False,2,756.0587868290022,756.0584828853607,218.27751876134425,0.7844452187418938,59,,d27e254a66aaf9d608d0a7d1f40718650d74e8f790a3cb1fb46157be6051bb7a,sablab-cpu-01.ece.cornell.edu,729449,OPTIMAL,1.1842378929335002e-15,1675.61,756.05,0.008482885360763248,94eabb25b5f1da9b24708320eaaec15a760c5f0e,original deterministic greedy partition,False,False,188,39668,1057136,978cc59dc854edbef6e8c8947aee77bdf451333b63a7eb9f9c1b299b962ba7f1,604470dabc7cda7b936b9e1201afffd7af199875a0eda6cb2423674e16a73fd7,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c4_k08_fresh/presparsify1/729449_r0/result.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c4_k08_fresh/presparsify1/729449_r0/gurobi.log,1.636642904643564,0
c4_k08_fresh,strong_start,9,9.0,True,8,False,2,601.2738738069311,601.2730529308319,194.8411624999717,0.6872183177620173,9,,d27e254a66aaf9d608d0a7d1f40718650d74e8f790a3cb1fb46157be6051bb7a,lisbeth.tech.cornell.edu,729450,OPTIMAL,0.0,1471.47,601.27,0.0030529308319273696,94eabb25b5f1da9b24708320eaaec15a760c5f0e,offline saved original stage1 incumbent,False,False,188,39668,1057136,a1023893fe8acac345e1c4d6871485884d522bc1458bb0be4aa711b5eb8b4b33,e337a7bdf0b22c6839eaba7d1010c3b333faedb54f596c98f9316a61cbec87bb,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c4_k08_fresh/strong_start/729450_r0/result.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c4_k08_fresh/strong_start/729450_r0/gurobi.log,1.301579502092647,0
