case_id,target_buses,original_buses,same_pool_target_recovered,recovery_paths
w1_k19,19,20,True,/home/nc437/ladder-lite/mip_repeatability_20260914/cases/w1_k19_newgap_longmip/mip_result.json
w1_k20,20,21,False,
w1_k22,22,23,False,
w2_k17,17,18,True,/home/nc437/ladder-lite/mip_repeatability_20260914/cases/w2_k17_original_budget_repeat1/mip_result.json;/home/nc437/ladder-lite/mip_repeatability_20260914/cases/w2_k17_original_budget_repeat2/mip_result.json;/home/nc437/ladder-lite/mip_repeatability_20260914/cases/w2_k17_original_budget_repeat3/mip_result.json;/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/w2_k17_extension_longmip/mip_result.json
w2_k18,18,19,True,/home/nc437/ladder-lite/mip_repeatability_20260914/cases/w2_k18_original_budget_repeat1/mip_result.json;/home/nc437/ladder-lite/mip_repeatability_20260914/cases/w2_k18_original_budget_repeat2/mip_result.json;/home/nc437/ladder-lite/mip_repeatability_20260914/cases/w2_k18_original_budget_repeat3/mip_result.json;/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/w2_k18_extension_longmip/mip_result.json
w2_k19,19,20,True,/home/nc437/ladder-lite/mip_repeatability_20260914/cases/w2_k19_original_budget_repeat1/mip_result.json;/home/nc437/ladder-lite/mip_repeatability_20260914/cases/w2_k19_original_budget_repeat2/mip_result.json;/home/nc437/ladder-lite/mip_repeatability_20260914/cases/w2_k19_original_budget_repeat3/mip_result.json;/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/w2_k19_extension_longmip/mip_result.json
w2_k20,20,21,True,/home/nc437/ladder-lite/mip_repeatability_20260914/cases/w2_k20_original_budget_repeat1/mip_result.json;/home/nc437/ladder-lite/mip_repeatability_20260914/cases/w2_k20_original_budget_repeat2/mip_result.json;/home/nc437/ladder-lite/mip_repeatability_20260914/cases/w2_k20_original_budget_repeat3/mip_result.json;/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/w2_k20_extension_longmip/mip_result.json
w2_k23,23,25,False,
w2_k24,24,25,False,
w2_k25,25,26,True,/home/nc437/ladder-lite/parallel_pool_followup_20260914/cases/w2_k25_longmip/mip_result.json
w3_k19,19,20,True,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/w3_k19_extension_longmip/mip_result.json
w3_k20,20,21,True,/home/nc437/ladder-lite/mip_repeatability_20260914/cases/w3_k20_original_budget_repeat1/mip_result.json;/home/nc437/ladder-lite/mip_repeatability_20260914/cases/w3_k20_original_budget_repeat2/mip_result.json;/home/nc437/ladder-lite/mip_repeatability_20260914/cases/w3_k20_original_budget_repeat3/mip_result.json;/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/w3_k20_extension_longmip/mip_result.json
w3_k21,21,22,True,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/w3_k21_extension_longmip/mip_result.json
w3_k22,22,23,True,/home/nc437/ladder-lite/mip_repeatability_20260914/cases/w3_k22_newgap_longmip/mip_result.json
w3_k23,23,24,True,/home/nc437/ladder-lite/mip_repeatability_20260914/cases/w3_k23_newgap_longmip/mip_result.json
w3_k25,25,26,False,
w4_k21,21,22,False,
w4_k22,22,23,True,/home/nc437/ladder-lite/parallel_pool_followup_20260914/cases/w4_k22_longmip/mip_result.json
w5_k19,19,20,True,/home/nc437/ladder-lite/mip_repeatability_20260914/cases/w5_k19_original_budget_repeat1/mip_result.json;/home/nc437/ladder-lite/mip_repeatability_20260914/cases/w5_k19_original_budget_repeat2/mip_result.json;/home/nc437/ladder-lite/mip_repeatability_20260914/cases/w5_k19_original_budget_repeat3/mip_result.json;/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/w5_k19_extension_longmip/mip_result.json
w6_k18,18,19,True,/home/nc437/ladder-lite/mip_repeatability_20260914/cases/w6_k18_original_budget_repeat1/mip_result.json;/home/nc437/ladder-lite/mip_repeatability_20260914/cases/w6_k18_original_budget_repeat2/mip_result.json;/home/nc437/ladder-lite/mip_repeatability_20260914/cases/w6_k18_original_budget_repeat3/mip_result.json;/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/w6_k18_extension_longmip/mip_result.json
w6_k23,23,24,True,/home/nc437/ladder-lite/parallel_pool_followup_20260914/cases/w6_k23_longmip/mip_result.json
