case,job_id,scheduler,control_buses,salvage_buses,fleet_bound,fleet_proven,target15_attained,pool_columns,gate_rejected,gate_repaired,charging_cost,charging_bound,reported_overcovered_trips,physical_replay_validated,duplicate_trip_removal_validated,shared_capacity_validated,solver_limit_s,actual_solver_runtime_s,charged_dive_plus_solver_s,gate_wall_s,external_mip_overhead_s
c1_k15,728184,COMPLETED,19,18,15.000000000000059,False,False,97470,0,0,1028.7119999974966,672.9433181406603,88,True,False,False,1852,1857.081954240799,7204.94370462792,135.19393209088594,137.89145715953782
c5_k15,728185,COMPLETED,16,17,15.00000000000005,False,False,88607,0,0,1023.0399999965448,629.1324246510301,83,True,False,False,3266,3268.5309562683105,7202.230225481326,117.14922242192551,117.15482425456867
