peak,arm,bus_or_giro_duty,trips,positive_charging_windows,windows_shorter_than_3_min,shortest_window_seconds,minimum_soc_kwh_production_model,minimum_soc_percent,ending_soc_kwh_production_model,ending_soc_percent,recorded_activity_minimum_soc_kwh_if_original,recorded_activity_ending_soc_kwh_if_original
peak12,"Fixed GIRO trips, charging optimized",13401,12,8,1,154.2857142857133,2.1316282072803006e-14,8.881784197001252e-15,2.0000000000000213,0.8333333333333423,,
peak12,"Fixed GIRO trips, charging optimized",13403,14,10,0,257.14285714286007,2.1316282072803006e-14,8.881784197001252e-15,2.0000000000000213,0.8333333333333423,,
peak12,"Fixed GIRO trips, charging optimized",13405,13,10,0,231.42857142857338,0.7700005000000161,0.3208335416666734,229.7,95.70833333333333,,
peak12,"Fixed GIRO trips, charging optimized",13408,11,8,2,51.42857142857338,1.4210854715202004e-14,5.921189464667502e-15,47.000000000000014,19.58333333333334,,
peak12,"Fixed GIRO trips, charging optimized",13414,12,7,0,334.2857142857133,1.4210854715202004e-14,5.921189464667502e-15,0.47000050000001625,0.1958335416666734,,
peak12,Fresh CG plus exact-once cleanup,route1,13,10,1,25.71428571428669,0.7700005000000161,0.3208335416666734,99.70000000000003,41.54166666666668,,
peak12,Fresh CG plus exact-once cleanup,route2,12,10,3,25.71428571428669,1.4210854715202004e-14,5.921189464667502e-15,17.000000000000014,7.083333333333339,,
peak12,Fresh CG plus exact-once cleanup,route3,14,11,2,25.71428571428669,1.4210854715202004e-14,5.921189464667502e-15,0.47000050000001625,0.1958335416666734,,
peak12,Fresh CG plus exact-once cleanup,route4,12,8,0,257.14285714286007,2.1316282072803006e-14,8.881784197001252e-15,37.00000000000003,15.416666666666679,,
peak12,Fresh CG plus exact-once cleanup,route5,11,7,0,257.14285714286007,2.1316282072803006e-14,8.881784197001252e-15,127.00000000000003,52.91666666666668,,
peak18,"Original GIRO, unchanged charging",13401,12,10,0,300.0,52.62196560000004,21.925819000000015,52.62196560000004,21.925819000000015,50.221965564000016,50.221965564000016
peak18,"Original GIRO, unchanged charging",13403,14,12,0,300.0,54.04900190000009,22.520417458333373,54.04900190000009,22.520417458333373,51.64900186400004,51.64900186400004
peak18,"Original GIRO, unchanged charging",13405,13,12,0,240.0,63.82741500000007,26.59475625000003,63.82741500000007,26.59475625000003,61.427414774000134,61.427414774000134
peak18,"Original GIRO, unchanged charging",13408,11,9,0,360.0,53.926440700000015,22.46935029166667,53.926440700000015,22.46935029166667,51.92644048000001,51.92644048000001
peak18,"Original GIRO, unchanged charging",13414,12,9,0,360.0,45.51461930000002,18.964424708333343,56.35850210000005,23.482709208333354,43.51461907999999,53.95850168400001
peak18,"Fixed GIRO trips, charging optimized",13401,12,8,0,360.0,24.040001000000018,10.016667083333342,132.00000000000003,55.000000000000014,,
peak18,"Fixed GIRO trips, charging optimized",13403,14,10,1,154.2857142857133,1.5400010000000108,0.6416670833333379,2.0000000000000107,0.8333333333333378,,
peak18,"Fixed GIRO trips, charging optimized",13405,13,9,0,334.2857142857133,2.31000150000002,0.9625006250000082,127.20000000000003,53.000000000000014,,
peak18,"Fixed GIRO trips, charging optimized",13408,11,7,1,77.14285714285325,2.0000000000000178,0.8333333333333407,2.0000000000000178,0.8333333333333407,,
peak18,"Fixed GIRO trips, charging optimized",13414,12,8,0,180.0,2.31000150000002,0.9625006250000082,19.70000000000002,8.208333333333341,,
peak18,Fresh CG plus exact-once cleanup,route1,14,11,2,25.714285714279868,1.4210854715202004e-14,5.921189464667502e-15,4.500000000000014,1.875000000000006,,
peak18,Fresh CG plus exact-once cleanup,route2,12,8,0,180.0,2.31000150000002,0.9625006250000082,82.20000000000003,34.250000000000014,,
peak18,Fresh CG plus exact-once cleanup,route3,11,7,1,154.2857142857133,1.5400010000000108,0.6416670833333379,97.0,40.416666666666664,,
peak18,Fresh CG plus exact-once cleanup,route4,12,8,1,154.2857142857133,1.5400010000000108,0.6416670833333379,27.000000000000014,11.250000000000005,,
peak18,Fresh CG plus exact-once cleanup,route5,13,10,2,25.714285714279868,0.7700005000000232,0.3208335416666763,72.20000000000003,30.083333333333346,,
