peak,arm,bus_or_giro_duty,trips,positive_charging_windows,windows_shorter_than_3_min,shortest_window_seconds,minimum_soc_kwh_production_model,minimum_soc_percent,ending_soc_kwh_production_model,ending_soc_percent,recorded_activity_minimum_soc_kwh_if_original,recorded_activity_ending_soc_kwh_if_original
peak08,"Original GIRO, unchanged charging",13401,12,10,0,300.0,52.62196560000004,21.925819000000015,52.62196560000004,21.925819000000015,50.221965564000016,50.221965564000016
peak08,"Original GIRO, unchanged charging",13403,14,12,0,300.0,54.04900190000009,22.520417458333373,54.04900190000009,22.520417458333373,51.64900186400004,51.64900186400004
peak08,"Original GIRO, unchanged charging",13405,13,12,0,240.0,63.82741500000007,26.59475625000003,63.82741500000007,26.59475625000003,61.427414774000134,61.427414774000134
peak08,"Original GIRO, unchanged charging",13408,11,9,0,360.0,53.926440700000015,22.46935029166667,53.926440700000015,22.46935029166667,51.92644048000001,51.92644048000001
peak08,"Original GIRO, unchanged charging",13414,12,9,0,360.0,45.51461930000002,18.964424708333343,56.35850210000005,23.482709208333354,43.51461907999999,53.95850168400001
peak08,"Fixed GIRO trips, charging optimized",13401,12,10,2,25.71428571428669,1.4210854715202004e-14,5.921189464667502e-15,12.000000000000014,5.000000000000005,,
peak08,"Fixed GIRO trips, charging optimized",13403,14,11,1,51.42857142856997,1.4210854715202004e-14,5.921189464667502e-15,154.5,64.375,,
peak08,"Fixed GIRO trips, charging optimized",13405,13,11,3,25.71428571428669,1.4210854715202004e-14,5.921189464667502e-15,2.200000000000016,0.9166666666666734,,
peak08,"Fixed GIRO trips, charging optimized",13408,11,7,0,282.85714285713993,0.0,0.0,112.0,46.666666666666664,,
peak08,"Fixed GIRO trips, charging optimized",13414,12,7,0,360.0,0.0,0.0,0.47000050000000204,0.1958335416666675,,
peak08,Fresh CG plus exact-once cleanup,route1,12,9,1,51.42857142856997,1.4210854715202004e-14,5.921189464667502e-15,192.0,80.0,,
peak08,Fresh CG plus exact-once cleanup,route2,13,9,0,282.85714285713993,0.0,0.0,24.5,10.208333333333334,,
peak08,Fresh CG plus exact-once cleanup,route3,12,10,2,25.71428571428669,0.0,0.0,19.5,8.125,,
peak08,Fresh CG plus exact-once cleanup,route4,12,7,0,282.85714285713993,0.0,0.0,0.47000050000000204,0.1958335416666675,,
peak08,Fresh CG plus exact-once cleanup,route5,13,9,0,180.0,1.4210854715202004e-14,5.921189464667502e-15,44.70000000000002,18.625000000000007,,
peak12,"Original GIRO, unchanged charging",13401,12,10,0,300.0,52.62196560000004,21.925819000000015,52.62196560000004,21.925819000000015,50.221965564000016,50.221965564000016
peak12,"Original GIRO, unchanged charging",13403,14,12,0,300.0,54.04900190000009,22.520417458333373,54.04900190000009,22.520417458333373,51.64900186400004,51.64900186400004
peak12,"Original GIRO, unchanged charging",13405,13,12,0,240.0,63.82741500000007,26.59475625000003,63.82741500000007,26.59475625000003,61.427414774000134,61.427414774000134
peak12,"Original GIRO, unchanged charging",13408,11,9,0,360.0,53.926440700000015,22.46935029166667,53.926440700000015,22.46935029166667,51.92644048000001,51.92644048000001
peak12,"Original GIRO, unchanged charging",13414,12,9,0,360.0,45.51461930000002,18.964424708333343,56.35850210000005,23.482709208333354,43.51461907999999,53.95850168400001
